,lineage,spikegroups_found
0,BE.9,BE.9*
1,BQ.1,BQ.1*
2,BQ.1.1.ALL,BQ.1.1.10* + BQ.1.1.11* + BQ.1.1.15*/BQ.1.1.4* + BQ.1.1.17* + BQ.1.1.22* + BQ.1.1.23*/BQ.1.1.36* + BQ.1.1.49* + BQ.1.1*/BQ.1.1.1*/BQ.1.1.13*/BQ.1.1.18*/BQ.1.1.29*/BQ.1.1.3*/BQ.1.1.40*/BQ.1.1.5*/BQ.1.1.52*/BQ.1.1.6*/BQ.1.1.60*/BQ.1.1.7*/BQ.1.1.74*/BQ.1.1.76*
