lineages_l,number_genomes_per_lineage
nan,9
AY.119.1,1
AY.29,24
AY.29.2,95
AY.57,4
B.1.1.529,11
B.1.617.2,1
BA.1,68
BA.1.1,6851
BA.1.1.1,123
BA.1.1.10,8
BA.1.1.13,4
BA.1.1.14,3
BA.1.1.18,12
BA.1.1.2,27386
BA.1.1.5,2
BA.1.1.6,1
BA.1.1.7,1
BA.1.13.1,19
BA.1.14,5
BA.1.14.1,5
BA.1.14.2,2
BA.1.15,680
BA.1.15.2,4
BA.1.17,11
BA.1.17.2,45
BA.1.18,35
BA.1.20,41
BA.1.21,8
BA.2,13903
BA.2.1,16
BA.2.10,5091
BA.2.10.1,704
BA.2.10.2,1870
BA.2.10.3,1
BA.2.11,1
BA.2.12,42
BA.2.12.1,2289
BA.2.12.2,197
BA.2.13,146
BA.2.13.1,164
BA.2.14,1
BA.2.16,1
BA.2.17,114
BA.2.18,1435
BA.2.2,36
BA.2.2.1,1
BA.2.20,7
BA.2.21,2
BA.2.22,3
BA.2.23,23
BA.2.23.1,7
BA.2.24,8435
BA.2.26,2
BA.2.27,6
BA.2.28,1
BA.2.29,8960
BA.2.3,8902
BA.2.3.1,11670
BA.2.3.10,1
BA.2.3.11,2268
BA.2.3.12,57
BA.2.3.13,6833
BA.2.3.14,42
BA.2.3.15,1
BA.2.3.16,13
BA.2.3.17,14
BA.2.3.18,719
BA.2.3.2,594
BA.2.3.20,560
BA.2.3.4,4
BA.2.3.6,3
BA.2.3.7,75
BA.2.3.8,7
BA.2.3.9,2
BA.2.30,1
BA.2.31,8
BA.2.31.1,5
BA.2.32,20
BA.2.33,1
BA.2.35,1
BA.2.36,59
BA.2.37,9
BA.2.38,118
BA.2.38.1,8
BA.2.38.2,1
BA.2.38.3,4
BA.2.38.4,3
BA.2.4,15
BA.2.40.1,15
BA.2.42,9
BA.2.43,9
BA.2.44,1
BA.2.47,2
BA.2.48,7
BA.2.49,7
BA.2.5,213
BA.2.50,3
BA.2.52,5
BA.2.53,2
BA.2.54,1
BA.2.56,1365
BA.2.56.1,129
BA.2.57,7
BA.2.58,1
BA.2.61,49
BA.2.63,1
BA.2.64,21
BA.2.65,279
BA.2.68,45
BA.2.7,8
BA.2.71,16
BA.2.72,28
BA.2.73,2
BA.2.74,20
BA.2.75,112
BA.2.75.1,59
BA.2.75.10,13
BA.2.75.2,170
BA.2.75.3,19
BA.2.75.4,4
BA.2.75.5,59
BA.2.75.6,1
BA.2.75.7,12
BA.2.75.8,3
BA.2.76,126
BA.2.76.2,74
BA.2.78,4
BA.2.79,1
BA.2.8,1
BA.2.82,13
BA.2.85,176
BA.2.86,2
BA.2.86.1,87
BA.2.86.2,1
BA.2.86.3,5
BA.2.86.4,1
BA.2.9,249
BA.2.9.2,1
BA.2.9.3,7
BA.2.9.5,81
BA.2.9.7,2
BA.3,5
BA.4,371
BA.4.1,756
BA.4.1.1,100
BA.4.1.2,22
BA.4.1.4,3
BA.4.1.6,7
BA.4.1.9,15
BA.4.2,12
BA.4.4,10
BA.4.5,17
BA.4.6,308
BA.4.6.1,4
BA.4.6.2,1
BA.4.6.3,4
BA.4.6.4,6
BA.4.6.5,10
BA.4.7,1
BA.5,570
BA.5.1,7680
BA.5.1.1,286
BA.5.1.10,78
BA.5.1.11,2
BA.5.1.12,5
BA.5.1.15,26
BA.5.1.16,1404
BA.5.1.17,24
BA.5.1.19,2
BA.5.1.2,514
BA.5.1.21,4
BA.5.1.22,547
BA.5.1.23,491
BA.5.1.24,115
BA.5.1.25,24
BA.5.1.26,1
BA.5.1.27,82
BA.5.1.28,15
BA.5.1.29,2
BA.5.1.3,233
BA.5.1.30,378
BA.5.1.31,1
BA.5.1.32,6
BA.5.1.33,40
BA.5.1.34,2
BA.5.1.35,22
BA.5.1.37,3
BA.5.1.38,154
BA.5.1.5,1085
BA.5.1.6,10
BA.5.1.7,6
BA.5.1.9,37
BA.5.10,70
BA.5.10.1,7
BA.5.11,15
BA.5.12,1
BA.5.2,48626
BA.5.2.1,35043
BA.5.2.12,5933
BA.5.2.13,1
BA.5.2.14,3
BA.5.2.16,62
BA.5.2.18,186
BA.5.2.19,213
BA.5.2.2,37
BA.5.2.20,1423
BA.5.2.21,812
BA.5.2.22,351
BA.5.2.23,5
BA.5.2.24,38
BA.5.2.25,13
BA.5.2.26,1010
BA.5.2.27,570
BA.5.2.28,1133
BA.5.2.29,3
BA.5.2.3,322
BA.5.2.30,21
