lineage,group
AY.119.1,AY.119.1/AY.29/AY.57
AY.29.2,AY.29.2
B.1.1.529,B.1.1.529
B.1.617.2,B.1.617.2
BA.1,BA.1/BA.1.13.1/BA.1.14/BA.1.14.1/BA.1.14.2/BA.1.15/BA.1.15.2/BA.1.17/BA.1.17.2/BA.1.18/BA.1.20/BA.1.21
BA.1.1,BA.1.1/BA.1.1.1/BA.1.1.10/BA.1.1.13/BA.1.1.14/BA.1.1.18/BA.1.1.2/BA.1.1.5/BA.1.1.6/BA.1.1.7/BC.1
BA.2,BA.2/BA.2.1/BA.2.10/BA.2.10.1/BA.2.10.2/BA.2.10.3/BA.2.12/BA.2.14/BA.2.16/BA.2.17/BA.2.2/BA.2.2.1/BA.2.21/BA.2.22/BA.2.23/BA.2.23.1/BA.2.26/BA.2.27/BA.2.29/BA.2.3/BA.2.3.1/BA.2.3.10/BA.2.3.11/BA.2.3.12/BA.2.3.13/BA.2.3.14/BA.2.3.16/BA.2.3.17/BA.2.3.18/BA.2.3.2/BA.2.3.4/BA.2.3.7/BA.2.3.8/BA.2.3.9/BA.2.30/BA.2.31/BA.2.31.1/BA.2.32/BA.2.33/BA.2.36/BA.2.37/BA.2.4/BA.2.42/BA.2.49/BA.2.5/BA.2.50/BA.2.57/BA.2.58/BA.2.61/BA.2.63/BA.2.64/BA.2.68/BA.2.7/BA.2.71/BA.2.72/BA.2.8/BA.2.85/BA.2.9/BA.2.9.2/BA.2.9.3/BA.2.9.5/BA.2.9.7/XAC/XAF/XAG/XAP/XAT/XAU/XE/XN/XW/XZ
BA.2.11,BA.2.11/BA.2.28/BA.2.35
BA.2.12.1,BA.2.12.1/BG.2/BG.4/BG.5
BA.2.12.2,BA.2.12.2
BA.2.13,BA.2.13/BA.2.13.1/BA.2.56/BA.2.56.1/BA.2.78
BA.2.18,BA.2.18/BA.2.38/BA.2.40.1
BA.2.20,BA.2.20
BA.2.24,BA.2.24/BA.2.65
BA.2.3.15,BA.2.3.15
BA.2.3.20,BA.2.3.20/CM.12/CM.2/CM.4/CM.5/XBJ
BA.2.3.6,BA.2.3.6
BA.2.38.1,BA.2.38.1
BA.2.38.2,BA.2.38.2
BA.2.38.3,BA.2.38.3
BA.2.38.4,BA.2.38.4
BA.2.43,BA.2.43/BA.2.44
