,date,Spike. A,Spike. AY.100,Spike. BA.1.1,Spike. BA.1.10,Spike. BA.1.13.1,Spike. BA.1,Spike. BA.2.12.1,Spike. BA.2.12,Spike. BA.2.13,Spike. BA.2.15,Spike. BA.2.18,Spike. BA.2.3.20,Spike. BA.2.75.2,Spike. BA.2.86,Spike. BA.2.9.2,Spike. BA.2,Spike. BA.4.1.8,Spike. BA.4.7,Spike. BA.4,Spike. BA.5.2.25,Spike. BA.5.2.32,Spike. BA.5.2.46,Spike. BE.4.2,Spike. BN.1,Spike. BQ.1.1.32,Spike. BQ.1.1.74,Spike. BQ.1.1,Spike. CH.1.1.13,Spike. CH.1.1,Spike. CM.2.1,Spike. DV.7.1,Spike. EG.1.4.1,Spike. EG.1,Spike. EG.10.1,Spike. EG.12,Spike. EG.2,Spike. EG.4.3,Spike. EG.5,Spike. EG.5.1.6,Spike. EG.5.1.8,Spike. EG.5.1,Spike. EU.1.1,Spike. FL.1.5.1,Spike. FL.1.5.2,Spike. FL.1,Spike. FL.15.1.1,Spike. FL.2.2.1,Spike. FP.2.1.1,Spike. GA.6.1,Spike. GB.1,Spike. GD.1,Spike. GE.1,Spike. GJ.1.1,Spike. GJ.3,Spike. GK.2.2,Spike. GR.1,Spike. GW.5,Spike. GZ.1,Spike. HA.2,Spike. HG.2,Spike. HK.3.2,Spike. HK.6,Spike. HT.1,Spike. HU.1.1,Spike. HV.1,Spike. HZ.1,Spike. HZ.2,Spike. JD.1.1.1,Spike. JD.1.1.3,Spike. JE.1.1,Spike. JF.1,Spike. JM.2,Spike. JN.1,Spike. JN.3,Spike. XBB,Spike. XBB.1,Spike. XBB.1.15,Spike. XBB.1.41.1,Spike. XBB.1.5.30,Spike. XBB.1.5.44,Spike. XBB.1.5.70,Spike. XBB.1.9,Spike. XBB.2.10,Spike. XBB.2.3.12,Spike. XBB.2.3.5,Spike. XBB.8.2,Wuhan-Hu-1
0,2022-01-03,2.0312320990933017,4.9711733049854985,51.20843037964883,2.947577416449249,1.7792371406086447,36.959260813461675,0.0038181103294976683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06490779478591303,0.0,0.0,0.01527242111410384,0.0,0.0,0.0038181103294976683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01527242111410384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-01-04,0.812193267543338,3.9469136689040196,53.770650445179704,3.2556853479171535,1.7038777949356463,36.42773208277139,0.024192987286824834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04838598469599708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003456143933074237,0.0,0.0,0.003456143933074237,0.0,0.0,0.003456143933074237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-01-05,0.8648223642432444,3.9752346360851933,53.21605817977818,3.847476784522458,1.9507640924085718,35.98840352273043,0.009827525486682732,0.004913762743341366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12284408881939482,0.004913762743341366,0.0,0.0147412882300241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-01-06,0.6832861754803191,3.5338707142720174,53.51518710389303,3.528532540788875,1.8416697808396831,36.47573800354375,0.032029040898855346,0.016014520449427673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35231943976676605,0.005338173483142557,0.0,0.016014520449427673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-01-07,1.3084225911207024,3.1828140177755717,54.02872444187429,3.657497563777734,1.5640214220281845,36.01509250169055,0.018257057906401048,0.018257057906401048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19474196784983416,0.006085689338444946,0.0,0.0,0.0,0.0,0.006085689338444946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-01-08,0.6079907329500742,2.711831692474818,57.0449720156992,3.5321366534792773,2.0652383680124955,33.709708553891744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509168094614409,0.0,0.0,0.07720517291930429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2022-01-09,0.9963867316242537,3.1315011449633943,57.86707544125136,3.3504872438308597,2.41979634389159,31.982919083575638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2518340096480931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022-01-10,0.8336787783346558,2.5609138228480286,58.43581594495292,3.297867438609154,1.6949933202896479,33.03394592342986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1335728474006449,0.0,0.0,0.009211921206778707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-01-11,0.6784771918504793,1.9411986429028472,60.11590651922047,3.1615152656760426,1.573690158090588,32.2983415018101,0.0,0.0,0.009423296295673251,0.0,0.0,0.0,0.0,0.0,0.0,0.21673577438962913,0.004711643096479671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-01-12,0.42389000677804656,1.9509809247434975,60.974947018400336,3.3476441498712197,1.510787453833019,31.585239932343427,0.010868976088287892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1902070512124475,0.0,0.0,0.005434488044143946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
