,Day since infection,Proba Neut Min,Proba Neut Max
0,1,0.10854994375363047,0.2501502548838419
1,2,0.1973048094864689,0.39583571309711585
2,3,0.27058889986457046,0.4867975067192316
3,4,0.3316263702752663,0.5464664403131522
4,5,0.3828549829205392,0.5869842611749805
5,6,0.426141654376333,0.6151369130422202
6,7,0.46293303121812757,0.6349571673553214
7,8,0.49436230314746255,0.6489663401442065
8,9,0.5213260500586415,0.6588090294975044
9,10,0.5445402563183457,0.665596887756136
10,11,0.564581637132396,0.6701042201228076
11,12,0.5819184736433762,0.6728841395515823
12,13,0.5969338629746394,0.674340191063016
13,14,0.6099434220186011,0.6747720239587698
14,15,0.6212088926337949,0.6744054066091525
15,16,0.6309486878658856,0.6740522909193276
16,17,0.6393461337353312,0.6746969795901641
17,18,0.6465559597187794,0.6747014110550047
18,19,0.6527094472260786,0.6741725470640954
19,20,0.6565441597847013,0.6745363014670988
20,21,0.6509976061343976,0.6747720239587698
21,22,0.6449697074970233,0.6745577638828235
22,23,0.6385207225759009,0.6743434642239887
23,24,0.6317031277471272,0.6747262758999939
24,25,0.6245629905965646,0.6747280171531845
25,26,0.6171410437967528,0.6743905916231963
26,27,0.6094735327552597,0.674619902884514
27,28,0.6015928910432493,0.6747720239587698
28,29,0.5935282836721218,0.6746294589529459
29,30,0.5853060481795873,0.6742192489210589
30,31,0.5769500560930587,0.6735654502984245
31,32,0.5684820118847156,0.672689536152896
32,33,0.5599217024799132,0.6716107344318529
33,34,0.5512872073485535,0.6703463143263951
34,35,0.5425950769266762,0.6689118297202674
35,36,0.5338604853879497,0.6673213269889624
36,37,0.5250973624703661,0.6655875230623621
37,38,0.5163185080587192,0.6637219585848568
38,39,0.5075356924519103,0.6617351301409972
39,40,0.4987597446490676,0.659636604816989
40,41,0.49000063052747667,0.657435119803627
41,42,0.4812675224265853,0.6551386692873098
42,43,0.47256886137182974,0.6527545805013
43,44,0.46391241295155805,0.6502895805026676
44,45,0.45530531768605953,0.6477498549882209
45,46,0.4467541365891339,0.6451411002547343
46,47,0.43826489251165845,0.6424685692366305
47,48,0.4298431077671331,0.6397371124113426
48,49,0.42149383846642263,0.636951214243511
49,50,0.4132217059292781,0.6341150257397359
50,51,0.40503092549089614,0.6312323936022609
51,52,0.3969253329806328,0.6283068863999866
52,53,0.3889084091153544,0.6253418181162348
53,54,0.38098330202049047,0.6223402693828917
54,55,0.373152848066703,0.619305106668387
55,56,0.36541959118836154,0.6162389996511728
56,57,0.35778580083116396,0.6131444369799086
57,58,0.3502534886597768,0.6100237405955661
58,59,0.34282442414189906,0.606879078768465
59,60,0.3355001491123978,0.6037124779841885
60,61,0.3282819914098727,0.6005258337959808
61,62,0.3211710776679948,0.5973209207471253
62,63,0.3141683453350467,0.5940994014546435
63,64,0.3072745539871732,0.5908628349351261
64,65,0.3004902959937892,0.587612684244377
65,66,0.2938160065872901,0.5843503234946053
66,67,0.2872519733836145,0.58107704430599
