lineages_l,number_genomes_per_lineage
AY.121,1
AY.122,1
AY.126,1
AY.4,3
AY.4.2,3
AY.4.6,2
AY.7.1,1
AY.9.2.2,1
B,17
B.1.1.529,3
BA.1,979
BA.1.1,1602
BA.1.1.1,277
BA.1.1.11,7
BA.1.1.12,1
BA.1.1.13,2
BA.1.1.14,20
BA.1.1.15,30
BA.1.1.16,1
BA.1.1.18,10
BA.1.1.2,3
BA.1.1.4,4
BA.1.1.7,1
BA.1.10,2
BA.1.12,5
BA.1.13,5
BA.1.14,27
BA.1.14.2,1
BA.1.15,48
BA.1.15.1,24
BA.1.15.2,1
BA.1.16,3
BA.1.17,94
BA.1.17.2,358
BA.1.18,108
BA.1.19,35
BA.1.20,7
BA.1.21,34
BA.1.5,1
BA.2,112305
BA.2.1,82
BA.2.10,270
BA.2.10.1,63
BA.2.10.2,4
BA.2.11,11
BA.2.12,43
BA.2.12.1,2704
BA.2.12.2,6
BA.2.13,146
BA.2.13.1,5
BA.2.14,1204
BA.2.15,2
BA.2.16,1
BA.2.17,2
BA.2.18,426
BA.2.19,1
BA.2.2,25
BA.2.20,1
BA.2.21,1
BA.2.22,24
BA.2.23,264
BA.2.23.1,100
BA.2.24,3
BA.2.25,64
BA.2.26,21
BA.2.27,4
BA.2.28,4
BA.2.29,2
BA.2.3,992
BA.2.3.10,8
BA.2.3.11,1
BA.2.3.15,28
BA.2.3.2,14
BA.2.3.20,88
BA.2.3.4,1
BA.2.3.5,3
BA.2.3.6,1
BA.2.3.7,6
BA.2.3.9,41
BA.2.31,37
BA.2.31.1,8
BA.2.32,14
BA.2.34,27
BA.2.35,6
BA.2.36,750
BA.2.37,60
BA.2.38,148
BA.2.38.1,10
BA.2.38.4,1
BA.2.39,3
BA.2.4,9
BA.2.40,5
BA.2.40.1,22
BA.2.41,12
BA.2.42,2
BA.2.43,25
BA.2.44,63
BA.2.45,98
BA.2.47,540
BA.2.48,38
BA.2.49,43
BA.2.5,210
BA.2.50,10
BA.2.51,243
BA.2.52,125
BA.2.53,192
BA.2.54,41
BA.2.55,4
BA.2.56,258
BA.2.58,1
BA.2.6,84
BA.2.61,1
BA.2.62,2
BA.2.63,8
BA.2.65,67
BA.2.67,7
BA.2.7,72
BA.2.70,1
BA.2.71,69
BA.2.72,20
BA.2.73,16
BA.2.74,78
BA.2.75,27
BA.2.75.1,58
BA.2.75.2,152
BA.2.75.3,1
BA.2.75.4,2
BA.2.75.5,23
BA.2.75.7,1
BA.2.76,55
BA.2.79,2
BA.2.8,41
BA.2.80,25
BA.2.81,2
BA.2.82,8
BA.2.83,8
BA.2.86,20
BA.2.86.1,395
BA.2.86.2,1
BA.2.86.3,5
BA.2.9,43359
BA.2.9.1,371
BA.2.9.2,15
BA.2.9.3,100
BA.2.9.4,4
BA.2.9.5,41
BA.2.9.6,96
BA.2.9.7,81
BA.3,3
BA.3.1,13
BA.4,1370
BA.4.1,1494
BA.4.1.1,170
BA.4.1.10,3
BA.4.1.11,125
BA.4.1.2,5
BA.4.1.3,35
BA.4.1.4,25
BA.4.1.5,2
BA.4.1.6,4
BA.4.1.7,1
BA.4.1.8,26
BA.4.1.9,17
BA.4.2,36
BA.4.3,6
BA.4.4,73
BA.4.5,9
BA.4.6,1445
BA.4.6.1,43
BA.4.6.3,60
BA.4.6.4,1
BA.4.6.5,135
BA.4.7,110
BA.5,1345
BA.5.1,15282
BA.5.1.1,134
BA.5.1.10,677
BA.5.1.11,522
BA.5.1.12,103
BA.5.1.15,59
BA.5.1.16,4
BA.5.1.17,82
BA.5.1.18,41
BA.5.1.19,23
BA.5.1.2,709
BA.5.1.20,1
BA.5.1.21,61
BA.5.1.22,1112
BA.5.1.23,857
BA.5.1.24,618
BA.5.1.25,57
BA.5.1.26,23
BA.5.1.27,5
BA.5.1.28,4
BA.5.1.3,758
BA.5.1.30,599
BA.5.1.31,17
BA.5.1.32,4
BA.5.1.33,62
BA.5.1.34,1466
BA.5.1.35,80
BA.5.1.4,367
BA.5.1.5,571
BA.5.1.6,26
BA.5.1.7,5
BA.5.1.8,2
BA.5.1.9,51
BA.5.10,36
BA.5.10.1,3
BA.5.11,2033
BA.5.12,18
BA.5.2,10024
BA.5.2.1,10454
BA.5.2.10,3
BA.5.2.11,6
BA.5.2.12,6
BA.5.2.13,216
BA.5.2.14,25
BA.5.2.16,40
BA.5.2.18,87
BA.5.2.19,18
BA.5.2.2,106
BA.5.2.20,1073
BA.5.2.21,262
BA.5.2.22,97
BA.5.2.23,15
BA.5.2.24,73
BA.5.2.25,50
BA.5.2.26,176
BA.5.2.27,165
BA.5.2.28,111
BA.5.2.29,277
BA.5.2.3,764
BA.5.2.30,93
BA.5.2.31,9
BA.5.2.32,4
BA.5.2.33,28
BA.5.2.34,119
BA.5.2.35,78
BA.5.2.36,69
BA.5.2.37,12
BA.5.2.38,6
BA.5.2.4,34
BA.5.2.41,10
BA.5.2.43,3
BA.5.2.44,51
BA.5.2.46,1
BA.5.2.47,46
BA.5.2.48,1
BA.5.2.5,1
BA.5.2.51,13
BA.5.2.52,12
BA.5.2.53,1
BA.5.2.54,2
BA.5.2.56,7
BA.5.2.57,58
BA.5.2.58,265
BA.5.2.59,8
BA.5.2.6,534
BA.5.2.60,10
BA.5.2.61,11
BA.5.2.62,8
BA.5.2.7,116
BA.5.2.8,16
BA.5.2.9,318
BA.5.3,169
BA.5.3.1,243
BA.5.3.2,209
BA.5.3.3,163
BA.5.3.4,42
BA.5.3.5,4
BA.5.5,515
BA.5.5.1,28
BA.5.5.2,13
BA.5.5.3,4
BA.5.6,631
BA.5.6.1,1
BA.5.6.2,1
BA.5.6.3,11
BA.5.6.4,4
BA.5.7,1
BA.5.8,459
BA.5.9,508
BD.1,15
BE.1,1101
BE.1.1,4100
BE.1.1.1,145
BE.1.1.2,549
BE.1.2,9
BE.1.2.1,11
BE.1.3,86
BE.1.4,28
BE.1.4.1,11
BE.1.4.2,3
BE.10,16
BE.11,18
BE.2,33
BE.3,252
BE.4,26
BE.4.1,105
BE.4.1.1,4
BE.4.2,4
BE.5,18
BE.6,9
BE.7,58
BE.8,22
BE.9,92
BF.1,569
BF.1.1,8
BF.10,301
BF.11,230
BF.11.1,51
BF.11.2,97
BF.11.3,21
BF.11.4,160
BF.11.5,29
BF.12,18
BF.13,61
BF.14,479
BF.15,70
BF.16,7
BF.17,3
BF.18,19
BF.19,6
BF.2,398
BF.20,2
BF.21,75
BF.23,12
BF.24,5
BF.25,7
BF.26,277
BF.27,238
BF.28,332
BF.29,237
