lineage,group
AY.121,AY.121/AY.4/AY.4.6/AY.7.1
AY.122,AY.122
AY.126,AY.126
AY.4.2,AY.4.2
AY.9.2.2,AY.9.2.2
B,B
B.1.1.529,B.1.1.529
BA.1,BA.1/BA.1.10/BA.1.12/BA.1.13/BA.1.14/BA.1.14.2/BA.1.15/BA.1.15.1/BA.1.16/BA.1.17/BA.1.17.2/BA.1.18/BA.1.19/BA.1.21/BA.1.5/BD.1
BA.1.1,BA.1.1/BA.1.1.1/BA.1.1.11/BA.1.1.13/BA.1.1.14/BA.1.1.15/BA.1.1.16/BA.1.1.18/BA.1.1.2/BA.1.1.4/BA.1.1.7
BA.1.1.12,BA.1.1.12
BA.1.15.2,BA.1.15.2
BA.1.20,BA.1.20
BA.2,BA.2/BA.2.1/BA.2.10/BA.2.10.1/BA.2.10.2/BA.2.12/BA.2.14/BA.2.16/BA.2.17/BA.2.19/BA.2.2/BA.2.21/BA.2.22/BA.2.23/BA.2.23.1/BA.2.25/BA.2.26/BA.2.27/BA.2.29/BA.2.3/BA.2.3.10/BA.2.3.11/BA.2.3.15/BA.2.3.2/BA.2.3.5/BA.2.3.7/BA.2.3.9/BA.2.31/BA.2.31.1/BA.2.32/BA.2.34/BA.2.36/BA.2.37/BA.2.39/BA.2.40/BA.2.41/BA.2.42/BA.2.49/BA.2.5/BA.2.50/BA.2.51/BA.2.52/BA.2.55/BA.2.58/BA.2.6/BA.2.62/BA.2.63/BA.2.65/BA.2.67/BA.2.7/BA.2.70/BA.2.71/BA.2.72/BA.2.8/BA.2.9/BA.2.9.3/BA.2.9.5/BA.2.9.7/NONE/XAB/XAF/XAG/XAL/XAM/XAP/XE/XG/XH/XM/XN/XV/XZ
BA.2.11,BA.2.11
BA.2.12.1,BA.2.12.1/BG.2/BG.4/BG.5
BA.2.12.2,BA.2.12.2
BA.2.13,BA.2.13/BA.2.13.1/BA.2.56/BA.2.9.1/BA.2.9.6
BA.2.15,BA.2.15
BA.2.18,BA.2.18/BA.2.38
BA.2.20,BA.2.20
BA.2.24,BA.2.24
BA.2.28,BA.2.28
BA.2.3.20,BA.2.3.20/CM.2/CM.4/XBJ.2
BA.2.3.4,BA.2.3.4/BA.2.61
BA.2.3.6,BA.2.3.6
BA.2.35,BA.2.35
BA.2.38.1,BA.2.38.1
BA.2.38.4,BA.2.38.4
BA.2.4,BA.2.4/XAC/XR/XW
