lineages_l,number_genomes_per_lineage
BA.5.2.62,81
BA.5.2.63,9
BA.5.2.7,477
BA.5.2.8,60
BA.5.2.9,829
BA.5.3,173
BA.5.3.1,589
BA.5.3.2,150
BA.5.3.3,1577
BA.5.3.4,39
BA.5.3.5,135
BA.5.5,1065
BA.5.5.1,56
BA.5.5.2,51
BA.5.5.3,6
BA.5.6,828
BA.5.6.1,7
BA.5.6.2,8
BA.5.6.3,85
BA.5.6.4,5
BA.5.7,4
BA.5.8,1088
BA.5.9,710
BD.1,3488
BE.1,4928
BE.1.1,4017
BE.1.1.1,355
BE.1.1.2,451
BE.1.2,124
BE.1.2.1,18
BE.1.3,126
BE.1.4,268
BE.1.4.1,17
BE.1.4.4,46
BE.10,15
BE.11,4
BE.12,130
BE.13,30
BE.2,15
BE.3,130
BE.4,191
BE.4.1,53
BE.4.1.1,123
BE.4.2,17
BE.5,131
BE.6,20
BE.7,26
BE.8,13
BE.9,132
BF.1,2400
BF.1.1,1
BF.10,603
BF.11,1391
BF.11.1,319
BF.11.2,568
BF.11.3,7
BF.11.4,51
BF.11.5,274
BF.12,20
BF.13,49
BF.14,342
BF.15,86
BF.16,9
BF.17,2
BF.18,16
BF.19,3
BF.2,203
BF.20,36
BF.21,89
BF.23,14
BF.24,6
BF.25,16
BF.26,293
BF.27,257
BF.28,1216
BF.29,6
BF.3,95
BF.3.1,2
BF.30,81
BF.31,36
BF.31.1,5
BF.34,33
BF.36,190
BF.38,3
BF.39,93
BF.4,895
BF.40,23
BF.41,74
BF.5,1885
BF.5.1,6
BF.5.5,67
BF.6,910
BF.7,2727
BF.7.1,5
BF.7.10,38
BF.7.11,27
BF.7.12,32
BF.7.13,2
BF.7.13.1,3
BF.7.13.2,24
BF.7.14,1
BF.7.16,25
BF.7.19,47
BF.7.20,52
BF.7.21,177
BF.7.22,86
BF.7.23,103
BF.7.24,123
BF.7.26,32
BF.7.3,15
BF.7.4,363
BF.7.4.1,67
BF.7.4.2,100
BF.7.5,244
BF.7.5.1,1
BF.7.6,181
BF.7.7,166
BF.7.8,25
BF.7.9,5
BF.8,37
BF.9,6
BG.1,11
BG.2,27
BG.4,21
BG.5,25
BG.6,1
BH.1,10
BJ.1,3
BK.1,19
BL.1,135
BL.1.1,2
BL.1.3,1
BL.1.4,16
BL.2,21
BL.3,1
BL.4,11
BL.5,1
BM.1,5
BM.1.1,37
BM.1.1.1,7
BM.1.1.2,12
BM.1.1.3,228
BM.1.1.4,11
BM.1.1.5,26
BM.2,4
BM.2.1,1
BM.2.3,1
BM.4.1,13
BM.4.1.1,107
BM.5,5
BN.1,421
