lineages_l,number_genomes_per_lineage
nan,210
AY.122,1
AY.122.3,1
AY.127,3
AY.4.13,1
AY.4.6,2
AY.43,2
AY.46.6,3
B.1,5
B.1.1.529,8
B.1.1.7,1
B.1.617.2,1
BA.1,756
BA.1.1,2445
BA.1.1.1,246
BA.1.1.10,3
BA.1.1.11,3
BA.1.1.14,9
BA.1.1.15,2
BA.1.1.18,3
BA.1.1.2,4
BA.1.1.4,52
BA.1.1.6,1
BA.1.1.7,1
BA.1.10,7
BA.1.13,142
BA.1.14,13
BA.1.15,376
BA.1.15.1,16
BA.1.16,10
BA.1.17,211
BA.1.17.2,227
BA.1.18,255
BA.1.19,2
BA.1.20,14
BA.1.21,24
BA.1.8,2
BA.2,18045
BA.2.1,40
BA.2.10,44
BA.2.10.1,8
BA.2.11,1
BA.2.12,5
BA.2.12.1,615
BA.2.12.2,4
BA.2.13,66
BA.2.14,6
BA.2.18,81
BA.2.22,2
BA.2.23,42
BA.2.25,377
BA.2.27,2
BA.2.3,225
BA.2.3.12,8
BA.2.3.15,5
BA.2.3.2,1
BA.2.3.20,21
BA.2.3.7,2
BA.2.31,6
BA.2.31.1,2
BA.2.32,2
BA.2.34,16
BA.2.35,2
BA.2.36,86
BA.2.37,4
BA.2.38,7
BA.2.39,3
BA.2.4,17
BA.2.40.1,10
BA.2.41,1
BA.2.42,1
BA.2.44,10
BA.2.45,568
BA.2.47,7
BA.2.48,9
BA.2.49,1
BA.2.5,37
BA.2.50,1
BA.2.51,5
BA.2.52,2
BA.2.53,24
BA.2.54,9
BA.2.56,147
BA.2.58,1
BA.2.6,2
BA.2.65,254
BA.2.69,1
BA.2.7,17
BA.2.71,173
BA.2.72,3
BA.2.73,1
BA.2.74,11
BA.2.75,21
BA.2.75.1,4
BA.2.75.2,26
BA.2.75.4,2
BA.2.75.5,27
BA.2.75.6,2
BA.2.76,22
BA.2.8,2
BA.2.82,2
BA.2.86,4
BA.2.86.1,147
BA.2.86.4,1
BA.2.9,8029
BA.2.9.1,10
BA.2.9.2,39
BA.2.9.3,15
BA.2.9.5,11
BA.2.9.6,9
BA.2.9.7,10
BA.3,15
BA.3.1,2
BA.4,621
BA.4.1,481
BA.4.1.1,115
BA.4.1.10,17
BA.4.1.11,2
BA.4.1.2,12
BA.4.1.4,2
BA.4.1.5,1
BA.4.1.6,2
BA.4.1.8,4
BA.4.1.9,15
BA.4.2,11
BA.4.4,118
BA.4.5,2
BA.4.6,487
BA.4.6.1,15
BA.4.6.3,8
BA.4.6.5,18
BA.4.7,141
BA.5,503
BA.5.1,5918
BA.5.1.1,61
BA.5.1.10,344
BA.5.1.11,21
BA.5.1.12,30
BA.5.1.15,20
BA.5.1.16,1
BA.5.1.17,38
BA.5.1.18,22
BA.5.1.19,22
BA.5.1.2,167
BA.5.1.21,17
BA.5.1.22,387
BA.5.1.23,408
BA.5.1.24,457
BA.5.1.25,79
BA.5.1.26,240
BA.5.1.28,7
BA.5.1.29,1
BA.5.1.3,183
BA.5.1.30,946
BA.5.1.31,1
BA.5.1.33,5
BA.5.1.34,20
BA.5.1.35,27
BA.5.1.4,48
BA.5.1.5,578
BA.5.1.6,1
BA.5.1.7,10
BA.5.1.9,16
BA.5.10,9
BA.5.10.1,21
BA.5.11,13
BA.5.12,2
BA.5.2,4673
BA.5.2.1,3526
BA.5.2.12,2
BA.5.2.13,38
BA.5.2.14,63
BA.5.2.16,25
BA.5.2.18,202
BA.5.2.19,4
BA.5.2.2,46
BA.5.2.20,480
BA.5.2.21,146
BA.5.2.22,79
BA.5.2.23,46
BA.5.2.24,58
BA.5.2.25,25
BA.5.2.26,68
BA.5.2.27,88
BA.5.2.28,48
BA.5.2.29,86
BA.5.2.3,448
BA.5.2.30,2
BA.5.2.31,2
BA.5.2.32,2
BA.5.2.33,49
BA.5.2.34,74
BA.5.2.35,66
BA.5.2.36,62
BA.5.2.4,7
BA.5.2.40,19
BA.5.2.41,62
BA.5.2.44,11
BA.5.2.47,2
BA.5.2.52,1
BA.5.2.56,6
BA.5.2.57,21
BA.5.2.58,47
BA.5.2.59,13
BA.5.2.6,200
BA.5.2.60,22
BA.5.2.61,31
BA.5.2.62,16
BA.5.2.7,38
BA.5.2.8,8
BA.5.2.9,164
BA.5.3,72
BA.5.3.1,122
BA.5.3.2,42
BA.5.3.3,60
BA.5.3.4,11
BA.5.3.5,1
BA.5.5,141
BA.5.5.1,6
BA.5.5.2,8
BA.5.6,152
BA.5.6.1,1
BA.5.6.2,1
BA.5.6.4,5
BA.5.8,252
BA.5.9,299
BD.1,1
BE.1,519
BE.1.1,1541
BE.1.1.1,34
BE.1.1.2,182
BE.1.2,23
BE.1.2.1,78
BE.1.3,187
BE.1.4,6
BE.1.4.1,3
BE.1.4.2,3
BE.10,16
BE.11,3
BE.12,26
BE.2,3
BE.3,30
BE.4,12
BE.4.1,2
BE.4.1.1,9
BE.4.2,3
BE.5,1
BE.6,2
BE.7,11
BE.8,1
BE.9,12
BF.1,187
BF.1.1,2
BF.10,171
BF.11,364
BF.11.1,11
BF.11.2,137
BF.11.3,11
BF.11.4,3
BF.11.5,5
BF.12,24
BF.13,67
BF.14,44
BF.15,3
BF.19,9
BF.2,21
BF.20,2
BF.21,18
BF.24,5
BF.25,1
BF.26,479
BF.27,23
BF.28,108
BF.29,3
BF.3,4
BF.31.1,7
BF.34,1
BF.36,286
BF.38,24
BF.39,52
BF.4,32
BF.40,1
BF.41,7
BF.5,751
BF.5.5,19
BF.6,25
BF.7,1727
BF.7.1,2
BF.7.10,32
BF.7.11,1
BF.7.12,1
BF.7.13,1
BF.7.13.1,5
BF.7.14,5
BF.7.16,1
BF.7.19,15
BF.7.19.1,1
BF.7.20,564
BF.7.21,128
BF.7.22,39
BF.7.23,12
BF.7.24,33
BF.7.26,195
BF.7.3,2
BF.7.4,103
BF.7.4.1,20
BF.7.4.2,297
BF.7.5,377
BF.7.5.1,4
BF.7.6,115
BF.7.7,4
BF.7.8,9
BF.7.9,5
BF.8,22
BF.9,4
BG.2,1
BG.5,11
BK.1,3
BL.1,18
BL.2,3
BL.3,1
BM.1.1,2
BM.1.1.1,3
BM.1.1.3,30
BM.2,1
BM.4.1.1,9
BM.5,1
BN.1,50
BN.1.1,5
BN.1.1.1,1
BN.1.10,2
BN.1.2,83
BN.1.2.1,84
BN.1.2.3,40
BN.1.2.4,128
BN.1.3,223
BN.1.3.1,87
BN.1.3.12,127
BN.1.3.3,2
BN.1.3.5,12
BN.1.3.6,7
BN.1.3.7,1
BN.1.3.9,3
BN.1.4,11
BN.1.4.1,2
BN.1.4.2,3
BN.1.4.3,3
BN.1.4.4,1
BN.1.5,56
BN.1.7,5
BN.1.9,9
BN.3,1
BN.3.1,21
BN.6,2
BQ.1,1913
BQ.1.1,3807
BQ.1.1.1,65
BQ.1.1.10,766
BQ.1.1.11,11
BQ.1.1.12,15
BQ.1.1.13,24
BQ.1.1.15,41
BQ.1.1.17,27
BQ.1.1.18,150
BQ.1.1.19,17
BQ.1.1.2,83
BQ.1.1.20,86
BQ.1.1.22,187
BQ.1.1.23,102
BQ.1.1.24,41
BQ.1.1.26,3
BQ.1.1.27,9
BQ.1.1.28,10
BQ.1.1.29,142
BQ.1.1.3,30
BQ.1.1.31,8
BQ.1.1.32,7
BQ.1.1.36,3
BQ.1.1.37,10
BQ.1.1.38,19
BQ.1.1.39,2
BQ.1.1.4,177
BQ.1.1.40,1
BQ.1.1.42,8
BQ.1.1.44,56
BQ.1.1.45,61
BQ.1.1.46,31
BQ.1.1.47,15
BQ.1.1.5,85
BQ.1.1.51,1
BQ.1.1.52,13
BQ.1.1.53,1
BQ.1.1.56,5
BQ.1.1.57,6
BQ.1.1.58,9
BQ.1.1.6,29
BQ.1.1.63,13
BQ.1.1.66,11
BQ.1.1.67,41
BQ.1.1.68,4
BQ.1.1.69,32
BQ.1.1.7,76
BQ.1.1.72,20
BQ.1.1.74,5
BQ.1.1.76,4
BQ.1.1.8,87
BQ.1.1.9,1
BQ.1.10,98
BQ.1.10.1,107
BQ.1.10.2,2
BQ.1.10.3,22
BQ.1.11,61
BQ.1.12,34
BQ.1.13,8
BQ.1.13.1,135
BQ.1.14,32
BQ.1.15,62
BQ.1.16,10
BQ.1.17,1
BQ.1.18,239
BQ.1.2,247
BQ.1.2.1,10
BQ.1.2.3,3
BQ.1.20,1
BQ.1.21,21
BQ.1.22,8
BQ.1.23,58
BQ.1.25,52
BQ.1.26,24
BQ.1.26.1,1
BQ.1.3,20
BQ.1.3.1,53
BQ.1.3.2,51
BQ.1.31,1
BQ.1.33,2
BQ.1.4,7
BQ.1.5,275
BQ.1.8,290
BQ.1.8.2,90
BR.1,1
BR.1.2,5
BR.2.1,9
BR.4,3
BT.1,18
BT.2,6
BU.1,9
BU.3,29
BV.1,5
BV.2,1
BW.1.1.1,1
BY.1,93
BY.1.1.1,2
CA.1,1
CA.2,1
CA.3,2
CA.7,34
CB.1,8
