lineage,group
AY.122,AY.122
AY.122.3,AY.122.3
AY.127,AY.127/AY.4.13
AY.4.6,AY.4.6/AY.43/AY.46.6/B.1.617.2
B.1,B.1/UNASSIGNED
B.1.1.529,B.1.1.529
B.1.1.7,B.1.1.7
BA.1,BA.1/BA.1.14/BA.1.15/BA.1.15.1/BA.1.16/BA.1.17/BA.1.17.2/BA.1.18/BA.1.21/BA.1.8
BA.1.1,BA.1.1/BA.1.1.1/BA.1.1.10/BA.1.1.14/BA.1.1.2
BA.1.1.11,BA.1.1.11
BA.1.1.15,BA.1.1.15/BA.1.1.18
BA.1.1.4,BA.1.1.4
BA.1.1.6,BA.1.1.6
BA.1.1.7,BA.1.1.7
BA.1.10,BA.1.10
BA.1.13,BA.1.13
BA.1.19,BA.1.19
BA.1.20,BA.1.20
BA.2,BA.2/BA.2.14/BA.2.25/BA.2.3.15/BA.2.51/BA.2.7
BA.2.1,BA.2.1/BA.2.34/BA.2.65/BA.2.9/XJ
BA.2.10,BA.2.10/BA.2.3.12/BA.2.42/BA.2.50
BA.2.10.1,BA.2.10.1/BA.2.31.1/BA.2.49/BA.2.9.3
BA.2.11,BA.2.11
BA.2.12,BA.2.12/BA.2.3
BA.2.12.1,BA.2.12.1/BG.2
BA.2.12.2,BA.2.12.2
BA.2.13,BA.2.13
BA.2.18,BA.2.18
BA.2.22,BA.2.22/BA.2.23/BA.2.6/BA.2.71/XAC/XE/XG
BA.2.27,BA.2.27/BA.2.3.2/BA.2.31/BA.2.32/BA.2.37/BA.2.5/BA.2.69/BA.2.72/BA.2.8/BA.2.9.5/BA.2.9.7/XAH/XN
BA.2.3.20,BA.2.3.20
BA.2.3.7,BA.2.3.7
BA.2.35,BA.2.35
BA.2.36,BA.2.36/BA.2.58/BA.2.9.2
BA.2.38,BA.2.38
BA.2.39,BA.2.39
BA.2.4,BA.2.4/XAU
BA.2.40.1,BA.2.40.1
BA.2.41,BA.2.41
BA.2.44,BA.2.44
BA.2.45,BA.2.45
BA.2.47,BA.2.47
BA.2.48,BA.2.48
BA.2.52,BA.2.52
BA.2.53,BA.2.53
BA.2.54,BA.2.54
