,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. BA.5 antigen","Proba Neut Max
 vs. BA.5 antigen","Proba Neut Min
 vs. BA.5/XBT antigen","Proba Neut Max
 vs. BA.5/XBT antigen","Proba Neut Min
 vs. BA.5=0.75/XBT=0.25 antigen","Proba Neut Max
 vs. BA.5=0.75/XBT=0.25 antigen"
0,1,0.26517776992461495,0.5285302098082909,0.26603379046501185,0.5298698915044305,0.22171014009217327,0.4561641182630588,0.24387196527859256,0.49301700488374467
1,2,0.4400256484870275,0.7211526057054699,0.44125335301505053,0.7224929508256964,0.37528788682207015,0.643142900292353,0.4082706199185603,0.6828179255590248
2,3,0.559910642946907,0.8090097059048516,0.561275285536025,0.8101934448705357,0.48547780127942264,0.7362466865182193,0.5233765434077238,0.7732200656943775
3,4,0.6448534637848629,0.8552924539141391,0.646240507778747,0.8563342139879596,0.5668663515808274,0.7886111906076388,0.6065534296797872,0.8224727022977992
4,5,0.7067392514329762,0.8821543859511296,0.7080940051641149,0.8830885868697778,0.6284582796744744,0.8205258351618847,0.6682761424192947,0.8518072110158312
5,6,0.7529148220916986,0.8988087558308026,0.7542130292503749,0.899664825105298,0.6760329732013226,0.8410488566629838,0.7151230012258487,0.8703568408841409
6,7,0.7880827961065946,0.909598152622839,0.7893158106027366,0.9103981547226603,0.7134249272827955,0.8547110397034716,0.751370368942766,0.882554597213066
7,8,0.8153461333796729,0.9167755230768276,0.8165132509735578,0.917535572745862,0.7432521957062282,0.863984023026117,0.779882723339893,0.8907597978859895
8,9,0.8368077005026797,0.9216020044225278,0.83791212175072,0.9223338933954287,0.7673474961911727,0.8703119050206778,0.8026298089709464,0.8963228992080532
9,10,0.8539267172394832,0.924828512919134,0.8549734035074414,0.925540960874369,0.7870222629599568,0.8745867226487573,0.8209978332336991,0.9000638417615631
10,11,0.867737341967068,0.9269256151766342,0.8687318794041567,0.9276251516360706,0.8032333342722435,0.8773854122902502,0.8359826068382001,0.9025052819631604
11,12,0.8789864703645841,0.9282011115435174,0.8799344787785485,0.9288926858075297,0.8166910251880242,0.8790957083051226,0.8483127519832864,0.9039941970563261
12,13,0.8882227837569685,0.9288637639460166,0.8891296226430353,0.9295511684799468,0.8279308855361829,0.8799867180464583,0.8585302540896091,0.9047689432632026
13,14,0.8958555940498264,0.9290595777533723,0.8967262308225314,0.9297457457498279,0.8373623742870816,0.880250338432726,0.8670443025548065,0.9049980420912771
14,15,0.9021945254121344,0.928893356741226,0.9030334913347408,0.9295805745293126,0.8453025184380953,0.8800265486549268,0.8741680048864181,0.9048035615921197
15,16,0.9074767717951415,0.9287330347434014,0.9082881641179682,0.9294212636989752,0.8519995988671664,0.8798108031087672,0.8801438814925673,0.9046160334038712
16,17,0.9118861390932471,0.929025572460674,0.9126736462308523,0.9297119553398718,0.8576500856905972,0.8802045470034905,0.8851618659607248,0.9049582511716812
17,18,0.9155665559864069,0.9290275807900075,0.9163334928513367,0.92971395098006,0.8624109247944163,0.8802072512882813,0.8893722088228766,0.9049606011341707
18,19,0.9186317982433726,0.928787658105461,0.9193811446802498,0.9294755426965189,0.8664085718460645,0.8798842985976099,0.8928948582631572,0.9046799206470644
19,20,0.9205069944412796,0.9289527302999874,0.9212453675188517,0.9296395732721546,0.8688694043393087,0.8801064731782957,0.8950573859290802,0.9048730232252252
20,21,0.9177860480111639,0.9290595777533723,0.9185402904825243,0.9297457457498279,0.8653025126735718,0.880250338432726,0.891921401578048,0.9049980420912771
21,22,0.9147650964182166,0.9289624627320898,0.9155365631530117,0.9296492442473614,0.8613706221842358,0.8801195756096416,0.8884535926686237,0.9048844099285015
22,23,0.9114586095536228,0.9288652493826297,0.9122484682860534,0.9295526445437775,0.8570997232765265,0.8799887172977472,0.88467409578129,0.9047706809207623
23,24,0.9078783652114305,0.9290388488412386,0.9086876154678573,0.929725147832906,0.8525119097622338,0.8802224244009371,0.8805997626150455,0.9049737861169215
24,25,0.904034136832568,0.9290396378878703,0.9048636251291736,0.9297259318936131,0.8476262652543591,0.8802234869185707,0.8762449451917664,0.9049747094060918
25,26,0.8999342108607884,0.9288866348131848,0.9007846431026207,0.9295738950241309,0.8424595337072531,0.8800175009337556,0.8716220884049369,0.9047956979789433
26,27,0.8955857794167715,0.9289906359831481,0.8964577311957432,0.9296772395662842,0.8370266308036287,0.8801575063541485,0.866742180999686,0.9049173729602165
27,28,0.890995240551977,0.9290595777533723,0.8918891658685193,0.9297457457498279,0.8313410367266174,0.880250338432726,0.8616151012975684,0.9049980420912771
28,29,0.8861684291732795,0.9289949680169313,0.8870846679774527,0.9296815442368136,0.8254150996612364,0.8801633390150505,0.8562498838193445,0.904922441625932
29,30,0.8811107953824476,0.928808864431973,0.8820495802335333,0.9294966152890762,0.8192602715105519,0.879912834746472,0.8506549258720426,0.9047047250177741
30,31,0.8758275425211419,0.9285116404937218,0.8767890045915872,0.9292012636026565,0.81288729172305,0.8795130369394495,0.8448381481573186,0.904357150271053
31,32,0.8703237340466476,0.9281122652540149,0.8713079086406443,0.9288043968486321,0.8063063311058437,0.878976373772814,0.8388071198732441,0.9038903853107231
32,33,0.8646043760858706,0.9276185303486129,0.8656112078004166,0.9283137517035459,0.7995271045718615,0.8783137627232069,0.832569156186139,0.9033137572133765
33,34,0.8586744808572336,0.9270372353383399,0.8597038284810085,0.9277360783454909,0.7925589596178368,0.8775348352008141,0.8261313940494227,0.9026354567731525
34,35,0.8525391149301988,0.9263743398576691,0.8535907561506191,0.9270772918845605,0.7854109457335077,0.8766481227345821,0.8195008509420634,0.9018627073095713
35,36,0.8462034353853742,0.9256350891719141,0.8472770713549835,0.9263425973081632,0.7780918687475584,0.8756612120497258,0.812684470051271,0.9010019046789445
36,37,0.8396727162578096,0.9248241183078967,0.8407679760563858,0.9255365930889375,0.7706103332145631,0.8745808748430955,0.8056891546354745,0.9000587339660165
37,38,0.8329523671311869,0.9239455388249856,0.8340688121485849,0.9246633575079358,0.7629747752625555,0.8734131768737781,0.7985217937055702,0.8990382671908569
38,39,0.8260479453578776,0.9230030114482585,0.8271850736139197,0.9237265209030161,0.7551934877975939,0.8721635700619583,0.7911892807057568,0.8979450454824872
39,40,0.8189651630781735,0.9219998071307633,0.8201224134892435,0.9227293263995857,0.747274639559511,0.8708369705655604,0.7836985265243773,0.896783148482573
40,41,0.8117098899788343,0.9209388586013627,0.8128866465757807,0.921674681171986,0.7392262892124652,0.8694378252345352,0.776056467894123,0.8955562532032606
41,42,0.8042881525498768,0.919822804054277,0.8054837486480306,0.9205651998847938,0.7310563954129924,0.8679701683916543,0.7682700720305116,0.894267684138224
42,43,0.7967061304570104,0.9186540243206436,0.7979198527763056,0.919403241648632,0.7227728236107251,0.8664376705296861,0.7603463381935154,0.892920456089159
43,44,0.788970150536114,0.9174346746119573,0.7902012432672437,0.9181909415755589,0.7143833501903927,0.8648436802276305,0.7522922967288181,0.8915173109015947
44,45,0.7810866788287352,0.9161667117255885,0.782334347639826,0.9169302378201998,0.7058956644488645,0.8631912603578176,0.7441150060443453,0.8900607490890087
45,46,0.7730623110084818,0.9148519174426043,0.7743257269857945,0.9156228948334534,0.6973173688106662,0.8614832194692116,0.7358215478982304,0.8885530571513325
46,47,0.764903761493331,0.9134919187193277,0.7661820650088882,0.9142705234273492,0.6886559776141101,0.8597221390810006,0.7274190213114992,0.8869963312541749
47,48,0.7566178514951408,0.9120882051699258,0.7579101559938803,0.9128745981459211,0.6799189147437118,0.8579103974973366,0.718914535368796,0.8853924978216288
48,49,0.7482114962226101,0.9106421442527121,0.7495168919215773,0.9114364723527382,0.6711135103396111,0.8560501906533011,0.7103152011305942,0.8837433315030195
49,50,0.73969169142563,0.9091549945038538,0.7410092489178374,0.9099573913770385,0.6622469967787463,0.8541435504194312,0.7016281228482919,0.8820504708982349
50,51,0.7310654994459671,0.9076279171056646,0.7323942732017958,0.9084385040041684,0.6533265040935409,0.8521923607239423,0.6928603886476684,0.8803154323640553
51,52,0.7223400349202849,0.9060619860302113,0.723679066679674,0.9068808725497922,0.6443590549703146,0.8501983717953951,0.6840190608249943,0.8785396221725937
52,53,0.7135224502657445,0.9044581969606451,0.7148707723148631,0.9052854817192051,0.6353515594503029,0.8481632127817733,0.675111165882583,0.8767243472504892
53,54,0.7046199210650985,0.9028174751609372,0.705976559391725,0.9036532464215027,0.6263108094401336,0.8460884029629784,0.6661436844159293,0.8748708246922405
54,55,0.6956396314567175,0.901140682438345,0.6970036087791228,0.9019850186821451,0.6172434731251177,0.8439753617412522,0.6571235409521203,0.8729801902116987
55,56,0.6865887596249431,0.899428623320977,0.6879590982896904,0.9002815937755995,0.6081560893672169,0.8418254175667945,0.6480575938284536,0.871053505671197
56,57,0.6774744634771797,0.8976820505544747,0.6788501882218922,0.8985437156814913,0.5990550621595767,0.8396398159329965,0.6389526251907345,0.8690917658072439
57,58,0.66830386658598,0.8959016700064415,0.6696840071637853,0.8967720819523889,0.5899466552007908,0.8374197265564577,0.629815331182288,0.8670959042544233
58,59,0.6590840444668193,0.8940881450543283,0.6604676381298424,0.8949673480684908,0.5808369866442409,0.8351662498407151,0.6206523123870417,0.8650667989546029
59,60,0.6498220112551867,0.8922421005215905,0.6512081050951265,0.8931301313436479,0.5717320240708459,0.8328804227088653,0.6114700645829863,0.8630052770262566
60,61,0.6405247068398832,0.89036412621773,0.6419123599843659,0.8912610144380055,0.5626375797271188,0.8305632238786078,0.6022749698557424,0.8609121191583067
61,62,0.6311989845030161,0.8884547801300515,0.6325872701670567,0.8893605485248003,0.553559306064528,0.8282155786433276,0.5930732881157923,0.858788063584064
62,63,0.6218515991109681,0.886514591308347,0.6232396065035023,0.8874292561522787,0.5445026916106754,0.825838363214396,0.5838711490570888,0.8566338096833374
63,64,0.6124891958946719,0.8845440624781085,0.6138760319807186,0.8854676338361102,0.5354730571977047,0.8234324086726585,0.5746745445892116,0.8544500212543844
64,65,0.6031182998517506,0.8825436724130789,0.6045030909713409,0.8834761544129132,0.5264755525685744,0.8209985045709236,0.5654893217699577,0.8522373294919184
65,66,0.5937453057975115,0.8805138780938616,0.5951271991430662,0.88145526918144,0.5175151533773859,0.8185374022239651,0.556321176260226,0.8499963357027025
66,67,0.5843764690864337,0.8784551166758167,0.5857546340407829,0.8794054098545,0.5085966585957824,0.8160498177180304,0.5471756463182826,0.8477276137862653
67,68,0.5750178970206323,0.8763678072864725,0.5763915263583449,0.8773269903417115,0.4997246883335484,0.8135364346679239,0.5380581073459466,0.8454317125048176
68,69,0.5656755409568667,0.8742523526701149,0.5670438519119985,0.8752204083806262,0.4909036820779326,0.8109979067463717,0.5289737669949656,0.843109157563499
69,70,0.5563551891189873,0.8721091406950012,0.5577174243227592,0.8730860470315687,0.4821378973528763,0.8084348600074676,0.5199276608378177,0.8407604535195181
