t,date,smoothed_phi
2,2022-01-03,721.4183120022742
3,2022-01-04,726.7650567847123
4,2022-01-05,732.6554899479122
5,2022-01-06,739.1124038558107
6,2022-01-07,746.1289983544909
7,2022-01-08,753.6572760132229
8,2022-01-09,761.5979380382951
9,2022-01-10,769.7955966067999
10,2022-01-11,778.0442245618834
11,2022-01-12,786.1074539263174
12,2022-01-13,793.7554729577573
13,2022-01-14,800.8145580813007
14,2022-01-15,807.218323789052
15,2022-01-16,813.0452098156481
16,2022-01-17,818.5283793487033
17,2022-01-18,824.0330144054749
18,2022-01-19,830.0081562519349
19,2022-01-20,836.9288591144552
20,2022-01-21,845.2442011398058
21,2022-01-22,855.3379451971074
22,2022-01-23,867.497042917646
23,2022-01-24,881.8755854640604
24,2022-01-25,898.4424407283968
25,2022-01-26,916.9108106952422
26,2022-01-27,936.666330654081
27,2022-01-28,956.7324094331177
28,2022-01-29,975.8245381112724
29,2022-01-30,992.5294459425606
30,2022-01-31,1005.5898463084677
31,2022-02-01,1014.2049752544392
32,2022-02-02,1018.2267584815927
33,2022-02-03,1018.1773672349925
34,2022-02-04,1015.1051976557208
35,2022-02-05,1010.3617366882684
36,2022-02-06,1005.3825854858148
37,2022-02-07,1001.5123122940876
38,2022-02-08,999.8680608774123
39,2022-02-09,1001.2185318478416
40,2022-02-10,1005.8676772413974
41,2022-02-11,1013.5655710822762
42,2022-02-12,1023.4996536062425
43,2022-02-13,1034.4171449388837
44,2022-02-14,1044.8771923157199
45,2022-02-15,1053.5558109371132
46,2022-02-16,1059.488688251611
47,2022-02-17,1062.1720596985838
48,2022-02-18,1061.5199212410148
49,2022-02-19,1057.7359305968644
50,2022-02-20,1051.1704273460373
51,2022-02-21,1042.210994406103
52,2022-02-22,1031.226348985636
53,2022-02-23,1018.5632395928559
54,2022-02-24,1004.5847186475302
55,2022-02-25,989.7302581636727
56,2022-02-26,974.5711527721496
57,2022-02-27,959.8324855288453
58,2022-02-28,946.3630314798963
59,2022-03-01,935.0582230086542
60,2022-03-02,926.7665136349581
61,2022-03-03,922.217245501114
62,2022-03-04,921.9912612174693
63,2022-03-05,926.5268184178863
64,2022-03-06,936.1328364869644
65,2022-03-07,950.9792602195972
66,2022-03-08,971.0479979852569
67,2022-03-09,996.0504080626285
68,2022-03-10,1025.3414685210942
69,2022-03-11,1057.8771774337347
70,2022-03-12,1092.2579910752274
71,2022-03-13,1126.870108289164
72,2022-03-14,1160.08916642649
73,2022-03-15,1190.4765223631562
74,2022-03-16,1216.9020279293766
75,2022-03-17,1238.5665803275776
76,2022-03-18,1254.9448109243783
77,2022-03-19,1265.6955361309278
78,2022-03-20,1270.5874437684047
79,2022-03-21,1269.46962980317
80,2022-03-22,1262.2943174304596
81,2022-03-23,1249.1803127275205
82,2022-03-24,1230.4927329756872
83,2022-03-25,1206.9076629682775
84,2022-03-26,1179.4312167118085
85,2022-03-27,1149.3534321822456
86,2022-03-28,1118.138023391583
87,2022-03-29,1087.272251195734
88,2022-03-30,1058.11542452113
89,2022-03-31,1031.7816462900273
90,2022-04-01,1009.0746704037213
91,2022-04-02,990.4711467506304
92,2022-04-03,976.1341561916308
93,2022-04-04,965.9361623665575
94,2022-04-05,959.4772830074144
95,2022-04-06,956.0968885843823
96,2022-04-07,954.8904426513456
97,2022-04-08,954.7554804983156
98,2022-04-09,954.4938648937641
99,2022-04-10,952.9821997180601
100,2022-04-11,949.3845732326574
101,2022-04-12,943.33787936609
102,2022-04-13,935.026380783715
103,2022-04-14,925.1042020515819
104,2022-04-15,914.4994258050023
105,2022-04-16,904.1842315389292
106,2022-04-17,894.9886796420832
107,2022-04-18,887.4909274569828
108,2022-04-19,881.9756870076462
109,2022-04-20,878.4383809251494
110,2022-04-21,876.6199276812874
111,2022-04-22,876.068984872131
112,2022-04-23,876.2304168117465
113,2022-04-24,876.5483051266286
114,2022-04-25,876.5595276440563
115,2022-04-26,875.9536006344329
116,2022-04-27,874.5890002633314
117,2022-04-28,872.4745440632962
118,2022-04-29,869.7337059390379
119,2022-04-30,866.5667870071492
120,2022-05-01,863.2167661100483
121,2022-05-02,859.9372328695883
122,2022-05-03,856.9592993559563
123,2022-05-04,854.4583512766985
124,2022-05-05,852.5269656050598
125,2022-05-06,851.1625119252868
