lineages_l,number_genomes_per_lineage
nan,426
AY.100,3
AY.122,24
AY.122.6,5
AY.125,5
AY.126,3
AY.127,4
AY.129,1
AY.33,1
AY.34,1
AY.34.1,2
AY.34.2,2
AY.36,1
AY.4,13
AY.4.13,1
AY.4.2,2
AY.4.2.3,2
AY.42,3
AY.43,37
AY.43.4,2
AY.43.8,1
AY.46,3
AY.46.6,7
AY.5,3
AY.9,1
AY.9.2,3
AY.92,1
AY.98,1
AY.98.1,10
B,27
B.1,3
B.1.1.161,1
B.1.1.529,114
B.1.1.7,4
B.1.160,1
B.1.351,1
B.1.525,1
B.1.617.2,24
B.1.640.1,2
BA.1,2338
BA.1.1,11653
BA.1.1.1,9145
BA.1.1.10,57
BA.1.1.11,25
BA.1.1.12,4
BA.1.1.13,17
BA.1.1.14,197
BA.1.1.15,175
BA.1.1.16,3
BA.1.1.18,17
BA.1.1.2,22
BA.1.1.3,1
BA.1.1.4,5
BA.1.1.5,1
BA.1.1.7,3
BA.1.1.8,1
BA.1.1.9,2
BA.1.10,4
BA.1.12,2
BA.1.13,173
BA.1.14,127
BA.1.14.1,6
BA.1.15,253
BA.1.15.1,80
BA.1.16,19
BA.1.17,730
BA.1.17.2,629
BA.1.18,4737
BA.1.19,25
BA.1.20,19
BA.1.21,29
BA.1.21.1,5
BA.1.4,8
BA.1.5,5
BA.1.6,4
BA.1.7,1
BA.1.8,2
BA.1.9,1
BA.2,88721
BA.2.1,173
BA.2.10,320
BA.2.10.1,163
BA.2.10.2,5
BA.2.10.3,1
BA.2.10.4,2
BA.2.11,1020
BA.2.12,448
BA.2.12.1,2331
BA.2.12.2,4
BA.2.13,198
BA.2.13.1,3
BA.2.14,35
BA.2.15,10
BA.2.16,4
BA.2.17,2
BA.2.18,772
BA.2.19,8
BA.2.2,14
BA.2.2.1,2
BA.2.20,2
BA.2.21,7
BA.2.22,20
BA.2.23,344
BA.2.23.1,6
BA.2.24,12
BA.2.25,10
BA.2.26,3
BA.2.27,21
BA.2.28,2
BA.2.29,3
BA.2.3,2076
BA.2.3.10,6
BA.2.3.11,2
BA.2.3.13,1
BA.2.3.14,1
BA.2.3.15,59
BA.2.3.16,105
BA.2.3.17,1
BA.2.3.2,13
BA.2.3.20,97
BA.2.3.21,1
BA.2.3.5,7
BA.2.3.6,7
BA.2.3.7,6
BA.2.3.9,21
BA.2.30,2
BA.2.31,30
BA.2.31.1,6
BA.2.32,32
BA.2.33,1
BA.2.34,17
BA.2.35,109
BA.2.36,1769
BA.2.37,119
BA.2.38,144
BA.2.38.1,1
BA.2.38.3,4
BA.2.38.4,1
BA.2.39,4
BA.2.4,3
BA.2.40,2
BA.2.40.1,114
BA.2.41,14
BA.2.42,1
BA.2.43,1
BA.2.44,153
BA.2.45,60
BA.2.47,11
BA.2.48,20
BA.2.49,941
BA.2.5,349
BA.2.50,24
BA.2.51,15
BA.2.52,234
BA.2.53,25
BA.2.54,37
BA.2.55,4
BA.2.56,621
BA.2.57,9
BA.2.58,69
BA.2.6,2126
BA.2.61,2
BA.2.63,15
BA.2.64,7
BA.2.65,140
BA.2.67,2
BA.2.68,1
BA.2.69,63
BA.2.7,37
BA.2.70,2
BA.2.71,48
BA.2.72,31
BA.2.73,7
BA.2.74,2
BA.2.75,45
BA.2.75.1,25
BA.2.75.10,1
BA.2.75.2,92
BA.2.75.3,8
BA.2.75.4,9
BA.2.75.5,20
BA.2.75.6,3
BA.2.75.7,11
BA.2.76,20
BA.2.76.1,1
BA.2.77,1
BA.2.78,4
BA.2.79,18
BA.2.8,11
BA.2.81,3
BA.2.82,8
BA.2.86,5
BA.2.86.1,176
BA.2.86.2,5
BA.2.86.3,1
BA.2.9,8335
BA.2.9.1,7
BA.2.9.2,14
BA.2.9.3,2209
BA.2.9.4,731
BA.2.9.5,42
BA.2.9.6,19
BA.2.9.7,5
BA.3,8
BA.3.1,22
BA.4,2006
BA.4.1,2191
BA.4.1.1,121
BA.4.1.10,258
BA.4.1.2,2
BA.4.1.3,6
BA.4.1.4,17
BA.4.1.5,7
BA.4.1.6,6
BA.4.1.8,62
BA.4.1.9,25
BA.4.2,27
BA.4.3,11
BA.4.4,228
BA.4.5,5
BA.4.6,1839
BA.4.6.1,25
BA.4.6.2,9
BA.4.6.3,19
BA.4.6.4,1
BA.4.6.5,76
BA.4.7,113
BA.4.8,12
BA.5,2732
BA.5.1,24850
BA.5.1.1,102
BA.5.1.10,640
BA.5.1.11,2
BA.5.1.12,75
BA.5.1.15,45
BA.5.1.16,37
BA.5.1.17,1104
BA.5.1.18,9
BA.5.1.19,20
BA.5.1.2,746
BA.5.1.20,10
BA.5.1.21,56
BA.5.1.22,2083
BA.5.1.23,1112
BA.5.1.24,318
BA.5.1.25,58
BA.5.1.26,16
BA.5.1.27,3
BA.5.1.28,21
BA.5.1.29,4
BA.5.1.3,346
BA.5.1.30,1192
BA.5.1.31,48
BA.5.1.32,1
BA.5.1.33,173
BA.5.1.34,19
BA.5.1.35,90
BA.5.1.38,13
BA.5.1.4,71
BA.5.1.5,670
BA.5.1.6,12
BA.5.1.7,7
BA.5.1.8,4
BA.5.1.9,70
BA.5.10,15
BA.5.11,12
BA.5.12,83
BA.5.2,10842
BA.5.2.1,9270
BA.5.2.10,6
BA.5.2.12,14
BA.5.2.13,24
BA.5.2.14,8
BA.5.2.16,58
BA.5.2.18,112
BA.5.2.19,15
BA.5.2.2,1466
BA.5.2.20,1871
BA.5.2.21,114
BA.5.2.22,104
BA.5.2.23,21
BA.5.2.24,19
BA.5.2.25,248
BA.5.2.26,120
BA.5.2.27,61
BA.5.2.28,92
BA.5.2.29,1
BA.5.2.3,493
BA.5.2.30,12
BA.5.2.31,6
BA.5.2.32,3
BA.5.2.33,72
BA.5.2.34,132
BA.5.2.35,86
BA.5.2.36,8
BA.5.2.37,15
BA.5.2.4,28
BA.5.2.40,1
BA.5.2.44,36
BA.5.2.47,41
BA.5.2.48,2
BA.5.2.49,1
BA.5.2.5,4
BA.5.2.52,34
BA.5.2.53,4
BA.5.2.54,1
BA.5.2.56,5
BA.5.2.57,56
BA.5.2.58,19
BA.5.2.59,11
BA.5.2.6,558
BA.5.2.60,4
BA.5.2.61,4
BA.5.2.62,7
BA.5.2.7,62
BA.5.2.8,19
BA.5.2.9,210
BA.5.3,141
BA.5.3.1,445
BA.5.3.2,67
BA.5.3.3,91
BA.5.3.4,17
BA.5.3.5,4
BA.5.5,420
BA.5.5.1,24
BA.5.5.2,9
BA.5.5.3,1
BA.5.6,391
BA.5.6.1,12
BA.5.6.2,7
BA.5.6.3,11
BA.5.6.4,16
BA.5.7,1
BA.5.8,311
BA.5.9,414
BC.1,1
BC.2,2
BD.1,14
BE.1,926
BE.1.1,2014
BE.1.1.1,86
BE.1.1.2,198
BE.1.2,18
BE.1.2.1,2
BE.1.3,32
BE.1.4,21
BE.1.4.1,4
BE.1.4.2,6
BE.1.4.4,13
BE.10,16
BE.11,6
BE.12,17
BE.13,7
BE.2,41
BE.3,63
BE.4,40
BE.4.1,42
BE.4.1.1,4
BE.4.2,4
BE.5,18
BE.6,224
BE.7,3
BE.8,2
BE.9,52
BF.1,536
BF.1.1,2
BF.10,170
BF.11,201
BF.11.1,20
BF.11.2,8
BF.11.3,26
BF.11.4,4
BF.11.5,11
BF.12,78
BF.13,54
BF.14,153
BF.15,13
BF.16,3
BF.17,6
BF.18,38
BF.19,1
BF.2,488
BF.20,1
BF.21,44
BF.23,2
BF.24,5
BF.25,3
BF.26,54
BF.27,45
BF.28,245
BF.29,5
BF.3,19
BF.30,4
BF.31,5
BF.31.1,2
BF.32,3
BF.33,2
BF.34,4
BF.35,1
BF.36,67
BF.38,34
BF.38.1,1
BF.39,35
BF.4,151
BF.40,4
BF.41,11
BF.41.1,1
BF.5,1400
BF.5.1,9
BF.5.5,12
BF.6,58
BF.7,4222
BF.7.1,22
BF.7.10,6
BF.7.12,11
BF.7.13,41
BF.7.13.1,1
BF.7.13.2,2
BF.7.14,7
BF.7.14.4,1
BF.7.14.5,1
BF.7.14.6,2
BF.7.16,2
BF.7.19,96
BF.7.19.1,1
BF.7.2,3
BF.7.20,154
BF.7.21,138
BF.7.22,65
BF.7.23,21
BF.7.24,37
BF.7.26,131
BF.7.3,38
BF.7.4,255
BF.7.4.1,44
BF.7.4.2,15
BF.7.5,186
BF.7.5.1,4
BF.7.6,161
BF.7.7,31
BF.7.8,54
BF.7.9,32
BF.8,49
BF.9,3
BG.2,13
BG.3,1
BG.4,5
BG.5,2
BK.1,17
BL.1,30
BL.1.1,1
BL.1.4,5
BL.2,18
BL.4,2
BM.1,3
BM.1.1,37
BM.1.1.1,4
BM.1.1.3,44
BM.1.1.5,11
BM.2,2
BM.4.1.1,23
BN.1,163
BN.1.1,3
BN.1.1.1,1
BN.1.10,7
BN.1.11,1
BN.1.2,240
BN.1.2.1,70
BN.1.2.2,13
BN.1.2.3,11
BN.1.2.5,1
BN.1.2.6,3
BN.1.3,184
BN.1.3.1,133
BN.1.3.12,33
BN.1.3.3,3
BN.1.3.4,4
BN.1.3.5,16
BN.1.3.6,20
BN.1.3.7,11
BN.1.3.8,2
BN.1.3.9,1
BN.1.4,27
BN.1.4.1,2
BN.1.4.2,11
BN.1.4.3,38
BN.1.4.5,8
BN.1.5,91
BN.1.5.2,8
BN.1.6,7
BN.1.7,9
BN.1.8,1
BN.1.9,8
BN.3,7
BN.3.1,85
BN.5,19
BN.6,5
BQ.1,1718
BQ.1.1,18092
BQ.1.1.1,368
BQ.1.1.10,23
BQ.1.1.11,94
BQ.1.1.12,18
BQ.1.1.13,181
BQ.1.1.14,1
BQ.1.1.15,216
BQ.1.1.16,1
BQ.1.1.17,171
BQ.1.1.18,2312
BQ.1.1.19,19
BQ.1.1.2,37
BQ.1.1.20,13
BQ.1.1.21,161
BQ.1.1.22,103
BQ.1.1.23,650
BQ.1.1.24,25
BQ.1.1.26,25
BQ.1.1.27,127
BQ.1.1.28,17
BQ.1.1.29,20
BQ.1.1.3,300
BQ.1.1.30,8
BQ.1.1.31,126
BQ.1.1.32,19
BQ.1.1.35,61
BQ.1.1.36,51
BQ.1.1.37,21
BQ.1.1.39,2
BQ.1.1.4,1287
BQ.1.1.40,4
BQ.1.1.41,3
BQ.1.1.42,354
BQ.1.1.43,11
BQ.1.1.44,12
BQ.1.1.45,286
BQ.1.1.46,334
BQ.1.1.47,43
BQ.1.1.49,1
BQ.1.1.5,397
BQ.1.1.51,6
BQ.1.1.52,15
BQ.1.1.53,22
BQ.1.1.55,1
BQ.1.1.56,114
BQ.1.1.57,13
BQ.1.1.58,27
BQ.1.1.59,60
BQ.1.1.6,27
BQ.1.1.60,12
BQ.1.1.62,82
BQ.1.1.65,4
BQ.1.1.66,80
BQ.1.1.67,26
BQ.1.1.68,4
BQ.1.1.69,469
BQ.1.1.7,141
BQ.1.1.70,2
BQ.1.1.72,116
BQ.1.1.74,5
BQ.1.1.76,20
BQ.1.1.77,54
BQ.1.1.79,7
BQ.1.1.8,79
BQ.1.1.9,14
BQ.1.10,402
BQ.1.10.1,39
BQ.1.10.2,11
BQ.1.10.3,6
BQ.1.11,62
BQ.1.11.1,1
BQ.1.12,27
BQ.1.13,18
BQ.1.13.1,274
BQ.1.14,26
BQ.1.15,12
BQ.1.16,87
BQ.1.17,5
BQ.1.18,78
BQ.1.19,1
BQ.1.2,174
BQ.1.2.1,5
BQ.1.2.2,4
BQ.1.2.3,12
BQ.1.20,19
