lineage,group
AY.100,AY.100/AY.122/AY.34.1/AY.34.2/AY.4.13/AY.42/AY.43/AY.43.4/AY.43.8/AY.46.6/AY.92/AY.98/B.1.617.2
AY.122.6,AY.122.6
AY.125,AY.125
AY.126,AY.126/B/B.1/B.1.1.161/B.1.1.529/B.1.1.7/BA.1.1.5/BA.1.1.7/BA.1.12/BA.1.5
AY.127,AY.127/AY.34
AY.129,AY.129
AY.33,AY.33
AY.36,AY.36
AY.4,AY.4/AY.5
AY.4.2,AY.4.2/AY.4.2.3
AY.46,AY.46
AY.9,AY.9
AY.9.2,AY.9.2
AY.98.1,AY.98.1
B.1.160,B.1.160
B.1.351,B.1.351
B.1.525,B.1.525
B.1.640.1,B.1.640.1
BA.1,BA.1
BA.1.1,BA.1.1
BA.1.1.1,BA.1.1.1
BA.1.1.10,BA.1.1.10
BA.1.1.11,BA.1.1.11
BA.1.1.12,BA.1.1.12/BA.1.1.14/BA.1.1.16/BA.1.1.18/BA.1.1.2/BA.1.1.3/BA.1.1.9/BA.2.2.1
BA.1.1.13,BA.1.1.13
BA.1.1.15,BA.1.1.15
BA.1.1.4,BA.1.1.4
BA.1.1.8,BA.1.1.8
BA.1.10,BA.1.10
BA.1.13,BA.1.13/BA.1.14/BA.1.14.1/BA.1.15.1/BA.1.17/BA.1.17.2/BA.1.20/BA.1.21.1/BA.1.6/BA.1.8/BA.1.9
BA.1.15,BA.1.15
BA.1.16,BA.1.16/BA.1.21
BA.1.18,BA.1.18
BA.1.19,BA.1.19
BA.1.4,BA.1.4
BA.1.7,BA.1.7
BA.2,BA.2/BA.2.10.1/BA.2.19/BA.2.3/BA.2.31.1/BA.2.36/BA.2.37/BA.2.51/BA.2.8/BA.2.9/XAP/XAU/XJ
BA.2.1,BA.2.1/BA.2.10/BA.2.12/BA.2.14/BA.2.16/BA.2.2/BA.2.23/BA.2.23.1/BA.2.27/BA.2.3.10/BA.2.3.15/BA.2.3.17/BA.2.3.2/BA.2.3.9/BA.2.31/BA.2.32/BA.2.34/BA.2.42/BA.2.49/BA.2.5/BA.2.50/BA.2.57/BA.2.58/BA.2.6/BA.2.61/BA.2.63/BA.2.68/BA.2.69/BA.2.7/BA.2.70/BA.2.9.2/BA.2.9.3/BA.2.9.7/XAC/XAF/XAM/XAR/XE/XW/XZ
BA.2.10.2,BA.2.10.2/BA.2.15/BA.2.17/BA.2.22/BA.2.26/BA.2.3.14/BA.2.3.5/BA.2.3.7/BA.2.39/BA.2.41/BA.2.45/BA.2.55/BA.2.65/BA.2.72/BA.2.9.6/BA.4.3/BA.4.8/BE.5/BW.1/XAB/XAD/XAE/XH/XY
