,lineage,spikegroups_found
0,EG.5.1,EG.5.1*
1,XBB.1.16/XBB.1.16.1,XBB.1.16* + XBB.1.16.1*
2,XBB.1.9/EG.1.3/XBB.1.9.2,XBB.1.9* + EG.1.3* + XBB.1.9.2*
3,BA_2_86,BA_2_86
