lineage,group
AY.103,AY.103/AY.122/AY.124/AY.16/AY.23/AY.25/AY.43/AY.43.8/AY.44/AY.45/AY.46/AY.46.2/AY.46.6/AY.5/AY.5.4/AY.5.5/AY.6/AY.7/AY.7.1/AY.7.2/AY.84/AY.88/AY.91/AY.91.1/AY.98/B.1.617.2
AY.106,AY.106
AY.112,AY.112/AY.116/AY.118/AY.119/AY.120/AY.121/AY.125/AY.126/AY.127/AY.128/AY.129/AY.20/AY.34/AY.34.1/AY.36/AY.36.1/AY.4/AY.4.10/AY.4.4/AY.4.5/AY.4.6/AY.4.7/AY.4.9/AY.42/AY.85
AY.120.2.1,AY.120.2.1
AY.121.1,AY.121.1
AY.22,AY.22
AY.24,AY.24/AY.26/AY.37/AY.60/AY.61/AY.65/AY.66/AY.71/AY.72/AY.73/AY.75/AY.9/AY.9.2
AY.33,AY.33
AY.33.2,AY.33.2
AY.4.2,AY.4.2/AY.4.2.3
AY.4.2.1,AY.4.2.1
AY.41,AY.41
AY.50,AY.50
AY.51,AY.51
AY.53,AY.53
AY.68,AY.68
AY.70,AY.70
AY.82,AY.82
AY.92,AY.92
AY.98.1,AY.98.1/AY.98.1.1
AZ.2,AZ.2
B.1.1,B.1.1
B.1.1.318,B.1.1.318
B.1.1.529,B.1.1.529
B.1.1.7,B.1.1.7
B.1.258,B.1.258
B.1.619.1,B.1.619.1
B.1.621,B.1.621
BA.1,BA.1/BA.1.15/BA.1.15.1/BA.1.17/BA.1.17.2/BA.1.18/BA.1.19/BA.1.20/BA.1.21
BA.1.1,BA.1.1/BA.1.1.1/BA.1.1.11/BA.1.1.14
BA.1.1.15,BA.1.1.15
BA.1.14,BA.1.14
BA.2,BA.2/BA.2.1/BA.2.23/BA.2.3/BA.2.5/BA.2.9
BA.2.10,BA.2.10/BA.2.65
BA.2.12.1,BA.2.12.1
BA.2.18,BA.2.18
BA.2.3.15,BA.2.3.15
BA.2.3.20,BA.2.3.20
BA.2.36,BA.2.36
BA.2.52,BA.2.52
BA.2.54,BA.2.54
BA.2.56,BA.2.56
BA.2.75.5,BA.2.75.5
BA.4,BA.4/BA.5.1/BA.5.1.1/BA.5.1.21/BA.5.1.22/BA.5.1.23/BA.5.1.24/BA.5.1.30/BA.5.2.3/BA.5.3/BA.5.3.2/BA.5.3.4/BE.1/BE.1.1/BE.1.1.2/BF.27/XAZ
BA.4.1,BA.4.1
BA.4.6,BA.4.6/BA.5.1.26/BA.5.2.13/BA.5.2.34/BA.5.2.35/BA.5.2.6/BF.11/BF.11.1/BF.11.3/BF.11.4/BF.7/BF.7.13.2/BF.7.19/BF.7.21/BF.7.22/BF.7.24/BF.7.4/BF.7.4.2/BF.7.5/BF.7.6/CP.8
BA.5,BA.5/BA.5.1.10/BA.5.1.2/BA.5.1.5/BA.5.2/BA.5.2.1/BA.5.2.20/BA.5.2.21/BA.5.2.26/BA.5.2.28/BA.5.2.48/BA.5.3.1/BA.5.6/BF.10/BF.26/BF.28/BF.5
BA.5.1.12,BA.5.1.12
BA.5.1.28,BA.5.1.28
BA.5.1.3,BA.5.1.3
BA.5.2.18,BA.5.2.18
BA.5.2.25,BA.5.2.25
BA.5.2.7,BA.5.2.7/CG.1
BA.5.5,BA.5.5
BA.5.9,BA.5.9/CE.1
BE.1.1.1,BE.1.1.1
BE.10,BE.10/BQ.1/BQ.1.10/BQ.1.11/BQ.1.12/BQ.1.14/BQ.1.2/BQ.1.26/BQ.1.3.2/BQ.1.5/BQ.1.8
BF.1,BF.1
BF.14,BF.14
BF.6,BF.6
BF.7.1,BF.7.1
BF.7.3,BF.7.3
BM.4.1.1,BM.4.1.1
BN.1,BN.1/BN.1.4.2
BN.1.2,BN.1.2
BN.1.3,BN.1.3/BN.1.3.1/BN.1.4/BN.1.5/DS.2
BN.1.4.1,BN.1.4.1
BN.1.4.3,BN.1.4.3
BN.3.1,BN.3.1
