,date,BA.5,BQ.1,EF.1,XBB.1,XBB.1.5,XBT
0,2023-01-06,2.127659574468085,59.57446808510638,4.25531914893617,10.638297872340425,17.02127659574468,6.382978723404255
1,2023-01-07,0.0,73.33333333333333,13.333333333333334,0.0,6.666666666666667,6.666666666666667
2,2023-01-08,8.0,44.0,0.0,8.0,16.0,24.0
3,2023-01-09,4.545454545454546,57.57575757575758,7.575757575757576,18.181818181818183,9.090909090909092,3.0303030303030303
4,2023-01-10,3.7037037037037033,42.592592592592595,20.37037037037037,14.814814814814813,14.814814814814813,3.7037037037037033
5,2023-01-11,0.0,54.054054054054056,10.81081081081081,13.513513513513514,10.81081081081081,10.81081081081081
6,2023-01-12,0.0,47.368421052631575,13.157894736842104,18.421052631578945,15.789473684210526,5.263157894736842
7,2023-01-13,0.0,53.48837209302325,9.30232558139535,16.27906976744186,20.930232558139537,0.0
8,2023-01-14,0.0,48.275862068965516,3.4482758620689653,20.689655172413794,27.586206896551722,0.0
9,2023-01-15,7.142857142857142,64.28571428571429,0.0,0.0,28.57142857142857,0.0
10,2023-01-16,1.5625,42.1875,1.5625,18.75,25.0,10.9375
11,2023-01-17,0.0,42.5,5.0,15.0,30.0,7.5
12,2023-01-18,0.0,34.69387755102041,8.16326530612245,20.408163265306122,28.57142857142857,8.16326530612245
13,2023-01-19,0.0,50.0,10.344827586206897,13.793103448275861,24.137931034482758,1.7241379310344827
14,2023-01-20,0.0,28.57142857142857,5.357142857142857,19.642857142857142,37.5,8.928571428571429
15,2023-01-21,0.0,57.89473684210527,10.526315789473683,10.526315789473683,15.789473684210526,5.263157894736842
16,2023-01-22,0.0,56.25,6.25,12.5,18.75,6.25
17,2023-01-23,2.564102564102564,35.8974358974359,5.982905982905983,6.837606837606838,47.863247863247864,0.8547008547008548
18,2023-01-24,0.0,30.952380952380953,4.761904761904762,28.57142857142857,33.33333333333333,2.380952380952381
19,2023-01-25,1.6129032258064515,46.774193548387096,0.0,8.064516129032258,41.935483870967744,1.6129032258064515
20,2023-01-26,0.0,45.614035087719294,7.017543859649122,10.526315789473683,35.08771929824561,1.7543859649122806
21,2023-01-27,0.0,24.65753424657534,2.73972602739726,20.54794520547945,49.31506849315068,2.73972602739726
