Days,Mean dProp
2023-01-06,105.52836289098016
2023-01-07,105.52836289098016
2023-01-08,105.52836289098016
2023-01-09,105.52836289098016
2023-01-10,105.52836289098016
2023-01-11,105.52836289098016
2023-01-12,105.52836289098016
2023-01-13,105.52836289098016
2023-01-14,105.52836289098016
2023-01-15,105.52836289098016
2023-01-16,105.52836289098016
2023-01-17,105.52836289098016
2023-01-18,105.52836289098016
2023-01-19,105.52836289098016
2023-01-20,105.52836289098016
2023-01-21,105.52836289098016
2023-01-22,105.52836289098016
2023-01-23,105.52836289098016
2023-01-24,105.52836289098016
2023-01-25,105.52836289098016
2023-01-26,105.52836289098016
2023-01-27,105.52836289098016
2023-01-28,105.52836289098016
2023-01-29,105.52836289098016
2023-01-30,105.52836289098016
2023-01-31,105.52836289098016
2023-02-01,105.52836289098016
2023-02-02,105.52836289098016
2023-02-03,105.52836289098016
2023-02-04,105.52836289098016
2023-02-05,105.52836289098016
2023-02-06,105.52836289098016
2023-02-07,105.52836289098016
2023-02-08,105.52836289098016
2023-02-09,105.52836289098016
2023-02-10,105.52836289098016
2023-02-11,105.52836289098016
2023-02-12,105.52836289098016
2023-02-13,105.52836289098016
2023-02-14,105.52836289098016
2023-02-15,105.52836289098016
2023-02-16,105.52836289098016
2023-02-17,105.52836289098016
2023-02-18,105.52836289098016
2023-02-19,105.52836289098016
2023-02-20,105.52836289098016
2023-02-21,105.52836289098016
2023-02-22,105.52836289098016
2023-02-23,105.52836289098016
2023-02-24,105.52836289098016
2023-02-25,105.52836289098016
2023-02-26,105.52836289098016
2023-02-27,105.52836289098016
2023-02-28,105.52836289098016
2023-03-01,105.52836289098016
2023-03-02,105.52836289098016
2023-03-03,105.52836289098016
2023-03-04,105.52836289098016
2023-03-05,105.52836289098016
2023-03-06,105.52836289098016
2023-03-07,105.52836289098016
2023-03-08,105.52836289098016
2023-03-09,105.52836289098016
2023-03-10,105.52836289098016
2023-03-11,105.52836289098016
2023-03-12,105.52836289098016
2023-03-13,105.52836289098016
2023-03-14,105.52836289098016
2023-03-15,105.52836289098016
2023-03-16,105.52836289098016
2023-03-17,105.52836289098016
2023-03-18,105.52836289098016
2023-03-19,105.52836289098016
2023-03-20,105.52836289098016
2023-03-21,105.52836289098016
2023-03-22,105.52836289098016
2023-03-23,105.52836289098016
2023-03-24,105.52836289098016
2023-03-25,105.52836289098016
2023-03-26,105.52836289098016
2023-03-27,105.52836289098016
2023-03-28,105.52836289098016
2023-03-29,105.52836289098016
2023-03-30,105.52836289098016
