,lineage,relative_advantage
0,Spike. BA.5,Done
1,Spike. BQ.1,Done
2,Spike. EF.1,Done
3,Spike. XBB.1,Done
4,Spike. XBB.1.5,Done
5,Spike. XBT,Done
