,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.04132897612407049,0.10067980675913124,0.10932153688239932,0.2511231814393332,0.05008716908381486,0.12067308952110814,0.058845362043559224,0.14066637228308504
1,2,0.07771592854709086,0.17017842583706544,0.19830628726045063,0.3961300724688248,0.09354912825425804,0.20133266549688075,0.10938232796142522,0.23248690515669607
2,3,0.10985173017746641,0.21943692127619918,0.2715186707324847,0.48626685894107113,0.13144083998928582,0.25720867004958103,0.15302994980110524,0.29498041882296283
3,4,0.13830769341859572,0.2549795123931371,0.33232410147480407,0.5452562089706473,0.16460973023555678,0.2968640755978838,0.19091176705251783,0.3387486388026305
4,5,0.16355979147294675,0.2809117117160187,0.3832435020605045,0.5852630180576699,0.1937433378133273,0.32544826974043106,0.22392688415370787,0.36998482776484337
5,6,0.18600732005903564,0.2999317719024196,0.42619240312434004,0.6130426502454567,0.2194045986236433,0.3462269079257524,0.252801877188251,0.3925220439490852
6,7,0.20598741644099916,0.31387711228579585,0.46264535775294024,0.6325938551745253,0.24205831568731945,0.361361509859017,0.27812921493363973,0.40884590743223814
7,8,0.22378645782543416,0.32403591604066095,0.4937510006576371,0.6464106451689204,0.2620912552473127,0.37233340063370507,0.3003960526691912,0.4206308852267492
8,9,0.23964908521793182,0.3313331602488746,0.5204138647676,0.6561174622379793,0.27982757227506183,0.3801870188003097,0.3200060593321919,0.4290408773517448
9,10,0.25378540344320843,0.336446172628586,0.5433534162910064,0.6628114231743722,0.29554077158788705,0.3856760892430228,0.33729613973256567,0.4349060058574597
10,11,0.2663767680195783,0.33987894848986044,0.5631472277176008,0.667256364998607,0.30946307016540164,0.3893549747637362,0.352549372311225,0.438831001037612
11,12,0.2775804681181563,0.3420114330944798,0.5802629443785052,0.6699978021161342,0.3217927895074958,0.39163777024582214,0.36600511089683524,0.4412641073971645
12,13,0.28753354054266267,0.34313310136226516,0.5950822264985205,0.6714336993521862,0.3327002401299763,0.39283770869621093,0.3778669397172899,0.44254231603015665
13,14,0.2963558947297543,0.34346639315907035,0.607918873179024,0.6718595553546205,0.34233244139222196,0.39319415243130384,0.38830898805468966,0.4429219117035374
14,15,0.30415288777464533,0.3431834166871388,0.6190326789661399,0.671498012251755,0.3508169340858396,0.39289152223762996,0.3974809803970338,0.4425996277881211
15,16,0.3110174576305471,0.3429110582617264,0.6286401264457603,0.6711497840830509,0.3582648806818196,0.3926002147356916,0.40551230373309205,0.44228937120965695
16,17,0.3170318992166645,0.3434084526238391,0.6369227092415003,0.6717855496404816,0.3647736020812882,0.3931321905488621,0.4125153049459119,0.44285592847388505
17,18,0.3222693502668803,0.34341187384314964,0.6440334635312153,0.6717899197712673,0.3704286654775163,0.3931358492574435,0.41858798068815223,0.4428598246717373
18,19,0.3267950399633427,0.3430037902766635,0.6501021331090193,0.6712683757311917,0.37530561225642056,0.39269940210576815,0.4238161845494984,0.4423950139348728
19,20,0.32964193892692006,0.34328442501047607,0.6538838940745451,0.6716270954125125,0.37836891072795115,0.3929995499358592,0.42709588252898223,0.4427146748612424
20,21,0.32553080315898464,0.34346639315907035,0.6484139081645506,0.6718595553546205,0.37394414878939203,0.39319415243130384,0.4223574944197994,0.4429219117035374
21,22,0.32111108555876045,0.34330098955741617,0.6424690394590811,0.6716482607719163,0.3691790725694583,0.3930172651808859,0.4172470595801562,0.4427335408043557
22,23,0.3164366818063993,0.34313562652592944,0.6361086154141482,0.6714369272093129,0.3641301698385788,0.3928404094502491,0.41182365787075836,0.44254519237456885
23,24,0.3115541157424305,0.3434310707888142,0.6293842732840915,0.6718144404727704,0.35884628185306566,0.3931563786948084,0.40613844796370074,0.4428816866008026
24,25,0.3065036393502173,0.343432415162196,0.6223413177438917,0.6718161576260632,0.3533697701725619,0.3931578163773753,0.4002359009949065,0.4428832175925546
25,26,0.30132014183623546,0.34317198599990617,0.6150197832161886,0.6714834023191807,0.3477374725704784,0.392879296918402,0.3941548033047213,0.4425866078368978
26,27,0.2960339064980362,0.343348952041173,0.6074552730988694,0.6717095397252175,0.34198149259172417,0.3930685588282338,0.38792907868541215,0.44278816561529466
27,28,0.2906712451708455,0.34346639315907035,0.599679629001965,0.6718595553546205,0.33612985671303675,0.39319415243130384,0.381588468255228,0.4429219117035374
28,29,0.28525503338731484,0.3433563284994855,0.5917214694073738,0.6717189635312183,0.33020706520742915,0.39307644751901744,0.3751590970275435,0.4427965665385493
29,30,0.27980516436637215,0.34303980907647613,0.5836066272387133,0.6713144311797947,0.3242345569461078,0.3927379272766543,0.3686639495258435,0.44243604547683246
30,31,0.2743389361342681,0.34253587351573744,0.5753585085675419,0.6706696820999987,0.31823110395182885,0.392198874158152,0.3621232717693897,0.4418618748005666
31,32,0.2688713831624655,0.3418617677285065,0.5669983893260051,0.669805892499066,0.31221314816413503,0.3914776199224384,0.35555491316580456,0.4410934721163703
32,33,0.2634155616566265,0.3410331366200904,0.5585456629147171,0.6687420243902416,0.3061950903134095,0.39059076232857326,0.34897461897019255,0.4401483880370561
33,34,0.2579827958829831,0.3400641919404047,0.5500180486149482,0.66749510784296,0.3001895388269858,0.3895533536101587,0.34239628177098846,0.4390425152799127
34,35,0.25258289155072355,0.33896785970663224,0.5414317684699421,0.6660804809372325,0.2942075251601406,0.3883790649697474,0.3358321587695576,0.4377902702328626
35,36,0.24722432119102067,0.33775591007321126,0.532801698600178,0.664511994590292,0.2882586907496566,0.3870803306196201,0.3292930603082925,0.4364047511660289
36,37,0.2419143856174223,0.336439072067922,0.5241414996227962,0.6628021880867112,0.2823514498477244,0.38566847431270396,0.3227885140780266,0.4348978765574859
37,38,0.23665935486763168,0.3350271352360298,0.5154637298546516,0.6609624400767695,0.27649313174939094,0.38415382083033345,0.31632690863115015,0.43328050642463706
38,39,0.23146459147499276,0.33352903992222405,0.5067799442166347,0.6590030989529895,0.27069010533275073,0.3825457945013425,0.30991561919050864,0.43156254908046104
39,40,0.2263346584700905,0.3319529576605139,0.4981007811684277,0.6569335958263175,0.2649478883536655,0.3808530065033165,0.3035611182372405,0.4297530553461191
40,41,0.22127341414665502,0.3303063629257017,0.4894360395461841,0.6547625427665349,0.25927124355034314,0.37908333242876735,0.2972690729540312,0.427860301931833
41,42,0.21628409532433768,0.32859609731881967,0.4807947468195415,0.6524978185191147,0.25366426329795916,0.3772439813761934,0.29104443127158064,0.4258918654335671
42,43,0.21136939059085302,0.3268284271067643,0.4721852200053982,0.6501466435417764,0.24813044429469994,0.3753415576401814,0.28489149799854685,0.42385468817359856
43,44,0.2065315047972308,0.3250090949082167,0.4636151202560864,0.6477156459018891,0.2426727535465282,0.37338211591923914,0.2788140022958256,0.42175513693026156
44,45,0.2017722159046127,0.3231433662097074,0.4550915019655025,0.6452109193276173,0.23729368673971907,0.3713712108295647,0.27281515757482544,0.419599055449422
45,46,0.1970929251329071,0.32123607130396725,0.4466208570979514,0.6426380745009563,0.2319953199407856,0.36931394140307705,0.2668977147486641,0.41739181150218685
46,47,0.19249470123583612,0.3192916431648014,0.4382091553331119,0.6400022845113706,0.22677935543740113,0.367214991155247,0.26106400963896614,0.41513833914569254
47,48,0.18797831961950717,0.3173141517063317,0.42986188053049346,0.6373083252480973,0.22164716242700921,0.36507866422967594,0.25531600523451126,0.41284317675302024
48,49,0.18354429692960428,0.3153073348177081,0.42158406394342984,0.6345606113920228,0.21659981316865565,0.36290891805958975,0.24965532940770702,0.4105105013014714
49,50,0.17919292165301381,0.3132746265158015,0.41338031455242574,0.631763228570194,0.21163811513541916,0.3607093929295489,0.2440833086178245,0.4081441593432963
50,51,0.17492428121126002,0.31121918251660086,0.4052548468377898,0.6289199621540509,0.20676263963757166,0.3584834387720701,0.2386009980638833,0.40574769502753943
51,52,0.17073828596378038,0.3091439034900647,0.3972115062698217,0.6260343231135909,0.20197374732845721,0.3562341394922262,0.23320920869313405,0.4033243754943877
52,53,0.1666346904875281,0.30705145623208474,0.38925379275970773,0.623109571281665,0.19727161095467172,0.35396433507752867,0.22790853142181533,0.4008772139229726
