t,date,smoothed_phi
2,2022-01-03,7842.6394091663005
3,2022-01-04,7859.20198021447
4,2022-01-05,7880.258657272017
5,2022-01-06,7906.874898335086
6,2022-01-07,7940.208283578153
7,2022-01-08,7981.404149973034
8,2022-01-09,8031.422889827305
9,2022-01-10,8090.801858217785
10,2022-01-11,8159.387287304293
11,2022-01-12,8236.11385561704
12,2022-01-13,8318.939197271582
13,2022-01-14,8405.02449057455
14,2022-01-15,8491.172807806854
15,2022-01-16,8574.423353108727
16,2022-01-17,8652.622982863199
17,2022-01-18,8724.812737544566
18,2022-01-19,8791.363189236234
19,2022-01-20,8853.897258442146
20,2022-01-21,8915.089029232491
21,2022-01-22,8978.409825358407
22,2022-01-23,9047.837808912911
23,2022-01-24,9127.492364773907
24,2022-01-25,9221.127425244462
25,2022-01-26,9331.438960170122
26,2022-01-27,9459.227606689943
27,2022-01-28,9602.604844828162
28,2022-01-29,9756.580461702197
29,2022-01-30,9913.386976114727
30,2022-01-31,10063.656352169772
31,2022-02-01,10198.118486776097
32,2022-02-02,10309.139842137462
33,2022-02-03,10391.47567855045
34,2022-02-04,10442.053943053408
35,2022-02-05,10459.102591486668
36,2022-02-06,10441.165774963942
37,2022-02-07,10386.491350398537
38,2022-02-08,10293.053491268412
39,2022-02-09,10159.21930295437
40,2022-02-10,9984.817810107284
41,2022-02-11,9772.162357528472
42,2022-02-12,9526.51714907388
43,2022-02-13,9255.694312861604
44,2022-02-14,8968.88050769794
45,2022-02-15,8675.181790572544
46,2022-02-16,8382.480312097086
47,2022-02-17,8096.972455572925
48,2022-02-18,7823.3964778605205
49,2022-02-19,7565.682785857651
50,2022-02-20,7327.66389295649
51,2022-02-21,7113.532344742915
52,2022-02-22,6927.868940389977
53,2022-02-23,6775.232739803731
54,2022-02-24,6659.46803596574
55,2022-02-25,6582.990579251352
56,2022-02-26,6546.319694109189
57,2022-02-27,6548.020102461413
58,2022-02-28,6585.058580110605
59,2022-03-01,6653.442423268265
60,2022-03-02,6748.942025586519
61,2022-03-03,6867.7136868175
62,2022-03-04,7006.700098385035
63,2022-03-05,7163.756235196042
64,2022-03-06,7337.50352194631
