t,date,smoothed_phi
4,2022-01-05,128.99948447323646
5,2022-01-06,133.16463361672416
6,2022-01-07,137.97077253567218
7,2022-01-08,143.49732624385183
8,2022-01-09,149.81472979727403
9,2022-01-10,156.97234379529516
10,2022-01-11,164.9840989949417
11,2022-01-12,173.8151799932614
12,2022-01-13,183.37478248282642
13,2022-01-14,193.51982050787967
14,2022-01-15,204.07128932061016
15,2022-01-16,214.83965524088802
16,2022-01-17,225.65120736391208
17,2022-01-18,236.36686574013152
18,2022-01-19,246.8888462772938
19,2022-01-20,257.15613204645575
20,2022-01-21,267.1336096146073
21,2022-01-22,276.80052025352205
22,2022-01-23,286.14211575443267
23,2022-01-24,295.1455204497705
24,2022-01-25,303.7981089240956
25,2022-01-26,312.0852483198265
26,2022-01-27,319.9848209480677
27,2022-01-28,327.4587867966866
28,2022-01-29,334.44618295941416
29,2022-01-30,340.8647990661055
30,2022-01-31,346.62720322723226
31,2022-02-01,351.6700372932412
32,2022-02-02,355.9873644423341
33,2022-02-03,359.6556143451779
34,2022-02-04,362.84204644263775
35,2022-02-05,365.79664076612863
36,2022-02-06,368.8322799304126
37,2022-02-07,372.2970615164917
38,2022-02-08,376.5381864114901
39,2022-02-09,381.8547097289484
40,2022-02-10,388.4416307570341
41,2022-02-11,396.34085775109145
42,2022-02-12,405.42666552668453
43,2022-02-13,415.44806669715666
44,2022-02-14,426.12128604775
45,2022-02-15,437.23205980564285
46,2022-02-16,448.7008829355292
47,2022-02-17,460.589658550583
48,2022-02-18,473.0592480781234
49,2022-02-19,486.30041202654036
50,2022-02-20,500.4559098120601
51,2022-02-21,515.5430375865351
52,2022-02-22,531.3842876066285
53,2022-02-23,547.5609192513872
54,2022-02-24,563.4140930189612
55,2022-02-25,578.1190001395673
56,2022-02-26,590.8370833428716
57,2022-02-27,600.9109105755497
58,2022-02-28,608.0298287890533
59,2022-03-01,612.2961996988869
60,2022-03-02,614.1696961400417
61,2022-03-03,614.3270103049261
62,2022-03-04,613.5030476026716
63,2022-03-05,612.3659318419993
64,2022-03-06,611.4440999687777
65,2022-03-07,611.0959591377193
66,2022-03-08,611.5021203122297
67,2022-03-09,612.6647475460225
68,2022-03-10,614.4114998171584
69,2022-03-11,616.4158765414894
70,2022-03-12,618.2522973294836
71,2022-03-13,619.4928703377257
72,2022-03-14,619.82388713674
73,2022-03-15,619.135058298388
74,2022-03-16,617.5410609799465
75,2022-03-17,615.3326546192989
76,2022-03-18,612.8903050226827
77,2022-03-19,610.5996917571379
78,2022-03-20,608.790795747821
79,2022-03-21,607.702056947643
80,2022-03-22,607.4615438300469
81,2022-03-23,608.0782391105483
82,2022-03-24,609.4429859516531
83,2022-03-25,611.3447843373544
84,2022-03-26,613.5090646217193
85,2022-03-27,615.6570813919352
86,2022-03-28,617.5719219073053
87,2022-03-29,619.1465601570583
88,2022-03-30,620.3934864743849
89,2022-03-31,621.4133364856901
90,2022-04-01,622.3386142037978
91,2022-04-02,623.2753749177045
92,2022-04-03,624.2598744610514
93,2022-04-04,625.2371784408002
94,2022-04-05,626.0622131758308
95,2022-04-06,626.5222640398636
96,2022-04-07,626.3800853693587
97,2022-04-08,625.4337834879384
98,2022-04-09,623.5812239936306
99,2022-04-10,620.8669615296578
100,2022-04-11,617.4886528849033
101,2022-04-12,613.7547211445442
102,2022-04-13,610.0087641998332
103,2022-04-14,606.5509249302334
104,2022-04-15,603.5815786981358
105,2022-04-16,601.1756630466107
106,2022-04-17,599.2820490806006
107,2022-04-18,597.7394597465809
108,2022-04-19,596.3056774860227
109,2022-04-20,594.702016338101
110,2022-04-21,592.6729768909079
111,2022-04-22,590.0504150577608
112,2022-04-23,586.8009211869779
113,2022-04-24,583.0375768813486
114,2022-04-25,578.9954200189966
115,2022-04-26,574.9889315623777
116,2022-04-27,571.3730510862489
117,2022-04-28,568.516598767438
118,2022-04-29,566.7817164337216
119,2022-04-30,566.496261068822
120,2022-05-01,567.9107436568459
121,2022-05-02,571.1441520637097
122,2022-05-03,576.1368369295387
123,2022-05-04,582.6342125600784
124,2022-05-05,590.2159035032938
125,2022-05-06,598.364939388313
126,2022-05-07,606.5540416948008
127,2022-05-08,614.3224504658356
128,2022-05-09,621.3266159543722
129,2022-05-10,627.361632439079
130,2022-05-11,632.3587949906225
131,2022-05-12,636.3663927478626
132,2022-05-13,639.5191899893257
133,2022-05-14,642.0007212832741
134,2022-05-15,644.0027792427052
135,2022-05-16,645.6871995085177
136,2022-05-17,647.1547338399072
137,2022-05-18,648.4242261175373
138,2022-05-19,649.4235467441263
139,2022-05-20,649.9927743546925
140,2022-05-21,649.8996236530749
141,2022-05-22,648.8658076978551
142,2022-05-23,646.6002311090767
143,2022-05-24,642.8320006124102
144,2022-05-25,637.3360052134437
145,2022-05-26,629.9478250985321
146,2022-05-27,620.5711050272887
147,2022-05-28,609.1849071985125
148,2022-05-29,595.857478747239
149,2022-05-30,580.7663426960614
150,2022-05-31,564.2161047196154
151,2022-06-01,546.6400093091177
152,2022-06-02,528.5734379124069
153,2022-06-03,510.59787438304636
154,2022-06-04,493.2675420849869
155,2022-06-05,477.0397644509068
156,2022-06-06,462.2284779713064
157,2022-06-07,448.98968296759534
158,2022-06-08,437.3349892328132
159,2022-06-09,427.16162303730965
160,2022-06-10,418.2866467317905
161,2022-06-11,410.4776752114115
162,2022-06-12,403.4783104486893
163,2022-06-13,397.03077522196685
164,2022-06-14,390.8994632294166
165,2022-06-15,384.8976361052585
166,2022-06-16,378.9164188174233
167,2022-06-17,372.9517400131043
168,2022-06-18,367.12212506537185
169,2022-06-19,361.66995290318124
170,2022-06-20,356.94259522387154
171,2022-06-21,353.3573295642288
172,2022-06-22,351.360914261188
173,2022-06-23,351.39546977801814
174,2022-06-24,353.87463976710023
175,2022-06-25,359.1622604255184
176,2022-06-26,367.5381666487964
177,2022-06-27,379.1392559431593
178,2022-06-28,393.8806996907033
179,2022-06-29,411.386910433698
180,2022-06-30,430.97913574250214
181,2022-07-01,451.7560701028509
182,2022-07-02,472.7600995178426
183,2022-07-03,493.1709619579926
184,2022-07-04,512.4518973947468
185,2022-07-05,530.4041554535793
186,2022-07-06,547.1352787894207
187,2022-07-07,562.9774414122348
188,2022-07-08,578.392661103734
189,2022-07-09,593.8849224535824
190,2022-07-10,609.9223357672912
191,2022-07-11,626.864771381731
192,2022-07-12,644.8958486367872
193,2022-07-13,663.9701407302146
194,2022-07-14,683.7995197676528
195,2022-07-15,703.903846210367
196,2022-07-16,723.7299557901237
197,2022-07-17,742.8058299463154
198,2022-07-18,760.8718391308292
199,2022-07-19,777.9423538785388
200,2022-07-20,794.2905373493143
201,2022-07-21,810.3836061498502
202,2022-07-22,826.8027059735986
203,2022-07-23,844.1655045653615
204,2022-07-24,863.0489423297385
205,2022-07-25,883.8990653895759
