lineages_l,number_genomes_per_lineage
AY.1,6
AY.100,63
AY.103,174
AY.104,1
AY.106,196
AY.107,6
AY.108,13
AY.109,16
AY.110,29
AY.111,62
AY.112,639
AY.112.1,2
AY.112.3,1
AY.113,25
AY.114,67
AY.116,61
AY.117,8
AY.118,26
AY.119,337
AY.119.1,2
AY.119.2,9
AY.120,424
AY.120.1,1
AY.120.2,1
AY.120.2.1,161
AY.121,5441
AY.121.1,755
AY.122,18868
AY.122.1,22
AY.122.4,1
AY.122.6,27
AY.123,20
AY.124,459
AY.124.1,12
AY.124.1.1,3
AY.125,2778
AY.126,7726
AY.127,2317
AY.127.1,4
AY.128,27
AY.129,2584
AY.13,1
AY.131,9
AY.133,5
AY.14,39
AY.16,24
AY.16.1,13
AY.20,72
AY.20.1,6
AY.22,7
AY.23,291
AY.23.2,41
AY.24,45
AY.25,70
AY.25.1,69
AY.26,59
AY.27,3
AY.28,1
AY.29,3
AY.3,67
AY.3.1,1
AY.30,2
AY.32,13
AY.33,1528
AY.33.2,227
AY.34,1123
AY.34.1,325
AY.34.1.1,1
AY.34.2,40
AY.35,4
AY.36,896
AY.36.1,1463
AY.37,17
AY.38,31
AY.39,24
AY.39.1,3
AY.39.2,1
AY.4,9884
AY.4.1,2
AY.4.10,26
AY.4.11,53
AY.4.13,73
AY.4.14,1
AY.4.15,2
AY.4.16,1
AY.4.2,802
AY.4.2.1,265
AY.4.2.2,63
AY.4.2.3,652
AY.4.2.4,7
AY.4.3,118
AY.4.4,428
AY.4.5,381
AY.4.6,374
AY.4.7,252
AY.4.8,30
AY.4.9,311
AY.41,522
AY.42,2839
AY.42.1,3
AY.43,23366
AY.43.2,2
AY.43.3,8
AY.43.4,123
AY.43.5,3
AY.43.6,3
AY.43.8,702
AY.43.9,59
AY.44,91
AY.45,100
AY.46,775
AY.46.2,306
AY.46.4,7
AY.46.5,14
AY.46.6,3968
AY.47,31
AY.5,977
AY.5.1,3
AY.5.2,3
AY.5.3,3
AY.5.4,241
AY.5.5,52
AY.50,8
AY.51,328
AY.53,77
AY.54,2
AY.55,8
AY.58,7
AY.59,1
AY.6,597
AY.60,45
AY.61,76
AY.62,1
AY.63,1
AY.65,98
AY.66,25
AY.68,239
AY.69,2
AY.7,33
AY.7.1,740
AY.7.2,160
AY.70,317
AY.71,93
AY.72,66
AY.73,108
AY.74,4
AY.75,73
AY.75.2,2
AY.76,3
AY.78,68
AY.80,8
AY.82,9
AY.84,588
AY.85,13
AY.88,37
AY.9,300
AY.9.2,3137
AY.9.2.2,3
AY.91,115
AY.91.1,13
AY.92,194
AY.94,25
AY.95,26
AY.98,364
AY.98.1,2304
AY.98.1.1,363
AY.99,4
AY.99.2,7
AZ.2,5
B,19
B.1,32
B.1.1,5
B.1.1.10,10
B.1.1.317,1
B.1.1.318,7
B.1.1.523,2
B.1.1.529,805
B.1.1.7,364
B.1.177,4
B.1.177.75,1
B.1.177.86,4
B.1.221,1
B.1.258,4
B.1.351,5
B.1.351.3,1
B.1.415.1,1
B.1.525,1
B.1.617.2,10691
B.1.619,1
B.1.619.1,4
B.1.620,2
B.1.621,9
B.1.621.1,10
B.1.630,2
B.1.632,6
B.1.637.1,3
B.1.639,1
B.1.640,21
B.1.640.1,5
BA.1,13359
BA.1.1,54468
BA.1.1.1,9160
BA.1.1.10,87
BA.1.1.11,410
BA.1.1.12,15
BA.1.1.13,146
BA.1.1.14,1008
BA.1.1.15,522
BA.1.1.16,121
BA.1.1.17,11
BA.1.1.18,215
BA.1.1.2,10
BA.1.1.3,19
BA.1.1.4,32
BA.1.1.5,1
BA.1.1.6,5
BA.1.1.7,23
BA.1.1.8,4
BA.1.1.9,3
BA.1.10,54
BA.1.12,107
BA.1.13,227
BA.1.13.1,1
BA.1.14,642
BA.1.14.1,10
BA.1.15,2226
BA.1.15.1,927
BA.1.15.2,5
BA.1.15.3,3
BA.1.16,312
BA.1.16.1,1
BA.1.16.2,12
BA.1.17,3032
BA.1.17.2,4917
BA.1.18,9369
BA.1.19,327
BA.1.2,1
BA.1.20,512
BA.1.21,365
BA.1.21.1,54
BA.1.3,1
BA.1.4,4
BA.1.5,4
BA.1.6,13
BA.1.7,3
BA.1.8,108
BA.1.9,9
BA.2,118818
BA.2.1,562
BA.2.10,1364
BA.2.10.1,418
BA.2.10.2,7
BA.2.10.3,11
BA.2.10.4,1
BA.2.11,124
BA.2.12,617
BA.2.12.1,2282
BA.2.12.2,7
BA.2.13,223
BA.2.13.1,5
BA.2.14,116
BA.2.15,1
BA.2.16,7
BA.2.17,3
BA.2.18,373
BA.2.19,340
BA.2.2,5
BA.2.2.1,4
BA.2.20,5
BA.2.21,8
BA.2.22,21
BA.2.23,357
BA.2.23.1,27
BA.2.24,3
BA.2.25,92
BA.2.25.1,10
BA.2.26,16
BA.2.27,6
BA.2.28,3
BA.2.29,2
BA.2.3,3146
BA.2.3.10,2
BA.2.3.11,2
BA.2.3.12,4
BA.2.3.13,1
BA.2.3.14,3
