,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen"
0,1,0.027243850392427715,0.06704726457271692,0.16609791645248262,0.36324853103760235
1,2,0.05154782087396759,0.11476880968641834,0.29225599407468916,0.5429204343547172
2,3,0.07327395260030156,0.14939376703167795,0.3898785634121972,0.6429810043192596
3,4,0.09272777714725977,0.17482917703736212,0.46664857639604973,0.7034234473293302
4,5,0.1101688903260688,0.19364284082171035,0.5278745063759005,0.7420593764340877
5,6,0.12581924905896857,0.20758623590554992,0.577306438641737,0.7677322020173718
6,7,0.1398697420568279,0.21789017369536845,0.6176460987328365,0.7852193667194562
7,8,0.15248543807203208,0.22544061349272004,0.6508743636029943,0.7972825099577171
8,9,0.16380981119847127,0.23088777605358823,0.678466676756507,0.8056091714602923
9,10,0.17396816772835744,0.23471639765093621,0.7015378011144788,0.8112793891262964
10,11,0.18307044456484511,0.23729243148835577,0.720940981162624,0.8150118463553646
11,12,0.19121350911600254,0.23889496857934178,0.7373370692959286,0.8173007802360437
12,13,0.198483060834713,0.23973859112000628,0.751243486326137,0.8184956738614781
13,14,0.2049552122557703,0.23998935809457012,0.7630694075788276,0.8188495246493865
14,15,0.21069781050223169,0.23977644535488085,0.7731413907919072,0.8185491280282353
15,16,0.21577154735747583,0.23957155086557835,0.7817222746473054,0.8182596295202302
16,17,0.2202308961000874,0.23994576086463593,0.789025275721596,0.8187880494565423
17,18,0.22412490563111864,0.2399483351176669,0.795224616633441,0.8187916798473567
18,19,0.2274978764424891,0.23964130969052355,0.8004636191705845,0.8183582385198076
19,20,0.22962356033647202,0.2398524409131071,0.8037040894376652,0.8186563998442464
20,21,0.2265548827713283,0.23998935809457012,0.7990110067061782,0.8188495246493865
21,22,0.22326287548170398,0.2398649039450108,0.7938663186075894,0.8186739867440878
22,23,0.21978899180733658,0.23974049087852156,0.7883113666513972,0.8184983568515914
