,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen"
0,1,0.041759931052578025,0.10164420428036602,0.7455283240519273,0.9524950116975849
1,2,0.07848582740965504,0.17164059714646984,0.9116980630352216,0.9915225297114333
2,3,0.11088962961650917,0.22116989720857405,0.9626066242508151,0.9972541920498315
3,4,0.13955849237776696,0.25686607985969445,0.9817534071018017,0.9987434733870276
4,5,0.16498041270942188,0.2828884159531013,0.9900871032642928,0.9992809146883873
5,6,0.18756388911243982,0.30196290848776985,0.9941380119137675,0.9995200370022155
6,7,0.20765315647849103,0.31594191254833026,0.9962859104272065,0.9996423625230948
7,8,0.22554010408930802,0.3261219265178167,0.9975077439334117,0.9997110643037541
8,9,0.24147368056621865,0.3334326885262141,0.9982443172699829,0.9997520011824111
9,10,0.2556673761131092,0.33855431880675835,0.9987104738909955,0.99977713331457
10,11,0.2683052202842411,0.3419924865430737,0.9990178823985122,0.9997925435985908
11,12,0.27954662386397344,0.3441281614371806,0.999227837294368,0.9998015689145511
12,13,0.2895303135460745,0.3452514588379735,0.9993755963790213,0.9998061556308554
13,14,0.29837754928118876,0.3455852282162134,0.9994822823855726,0.9998074977435454
14,15,0.30619477044635945,0.34530184645159445,0.9995610084747751,0.9998063588476481
15,16,0.3130757842101657,0.3450290959146096,0.9996201748559783,0.9998052562486713
16,17,0.3191035846789584,0.3455272048704181,0.9996653141951062,0.9998072651031497
17,18,0.32435187251655495,0.34553063098194947,0.9997001614149035,0.9998072788477829
18,19,0.3288863302219013,0.34512196165805387,0.9997272935661471,0.9998056323705384
19,20,0.33173846194771006,0.345402999690236,0.9997430705044585,0.999806766156233
20,21,0.3276196996781897,0.3455852282162134,0.999719975431662,0.9998074977435454
21,22,0.3231912750248471,0.34541958797601824,0.9996927867941166,0.9998068328687741
22,23,0.31850708882204415,0.3452539876311935,0.9996611015905539,0.9998061658347903
23,24,0.31361367407675245,0.3455498553727402,0.9996244430516507,0.9998073559524753
24,25,0.3085512969764148,0.34555120166775033,0.9995822603749386,0.9998073613509928
25,26,0.3033548663024219,0.34529039934768535,0.9995339269061283,0.999806312699576
26,27,0.298054690188567,0.34546761915389457,0.9994787372092102,0.9998070259029134
27,28,0.2926771101863437,0.3455852282162134,0.9994159033255833,0.9998074977435454
28,29,0.28724503588836336,0.3454750061716477,0.999344550434003,0.9998070555735543
29,30,0.281778398304938,0.3451580323383089,0.9992637120675525,0.9998057782648657
30,31,0.27629453634981294,0.34465336776352073,0.999172325008793,0.9998037269642056
31,32,0.2708085278542054,0.3439782761441159,0.9990692239622906,0.9998009486555759
32,33,0.2653334742651119,0.3431484165290902,0.9989531360901835,0.9997974788785784
33,34,0.25988074642692305,0.3421780119630756,0.9988226754884459,0.9997933438209214
34,35,0.2544601974715581,0.34107999754114793,0.9986763376770844,0.9997885619422244
35,36,0.24908034776012655,0.33986615078222326,0.9985124941754402,0.9997831452434152
36,37,0.24374854596037887,0.33854720676534034,0.9983293872331716,0.9997771002657
37,38,0.23847110965772045,0.33713296009116234,0.9981251247877858,0.9997704288814139
38,39,0.23325344834472117,0.3356323554147559,0.9978976757203125,0.9997631289233886
39,40,0.22810017118554926,0.33405356803290076,0.9976448654815625,0.9997551946880544
40,41,0.2230151815852569,0.33240407579007536,0.9973643721621317,0.9997466173390759
41,42,0.21800176029220208,0.3306907233839921,0.9970537230797055,0.9997373852320794
42,43,0.2130626385119515,0.328919779997754,0.9967102919571349,0.9997274841763556
43,44,0.20820006230246724,0.32709699105625334,0.9963312967640652,0.9997168976458919
44,45,0.2034158493453756,0.3252276247951199,0.9959137982935068,0.9997056069494175
45,46,0.19871143904030564,0.323316514237995,0.9954546995425608,0.9996935913670848
46,47,0.1940879367438164,0.321368095099264,0.9949507459634923,0.9996808282598422
47,48,0.1895461528673752,0.3193864400624623,0.9943985266474408,0.9996672931563212
48,49,0.1850866374570873,0.31737528982736163,0.9937944764982466,0.9996529598211145
49,50,0.18070971079891363,0.31533808126977303,0.9931348794481525,0.9996378003075675
50,51,0.17641549052490646,0.31327797301603644,0.9924158727605118,0.9996217849976192
51,52,0.17220391563691007,0.31119786869792865,0.9916334524571488,0.9996048826307609
52,53,0.16807476781283492,0.30910043812244536,0.9907834798996958,0.9995870603238063
53,54,0.16402769031590048,0.30698813656382096,0.9898616895451606,0.9995682835828731
54,55,0.16006220478824562,0.3048632223616232,0.9888636978862188,0.9995485163087295
55,56,0.15617772617619707,0.3027277729883112,0.9877850135763867,0.9995277207964747
56,57,0.15237357600464763,0.30058369973175836,0.9866210487294063,0.9995058577303557
57,58,0.14864899419183897,0.2984327611226302,0.985367131370995,0.9994828861744052
58,59,0.14500314957290084,0.2962765752227904,0.9840185190097044,0.9994587635594699
59,60,0.14143514928037149,0.29411663087885986,0.9825704132821278,0.999433445667125
60,61,0.13794404711221664,0.29195429803442663,0.9810179756162514,0.9994068866108884
61,62,0.1345288510023439,0.2897908371850203,0.979356343845493,0.9993790388151009
62,63,0.13118852969492623,0.28762740805164666,0.9775806496950766,0.9993498529917811
63,64,0.12792201871184894,0.2854650775413131,0.9756860370519865,0.9993192781157315
64,65,0.12472822569202613,0.2833048270563895,0.9736676809199871,0.9992872613981325
65,66,0.1216060351720285,0.2811475592088225,0.9715208069522111,0.9992537482588403
66,67,0.11855431286931728,0.2789941039899738,0.969240711445745,0.9992186822975733
67,68,0.11557190952215912,0.2768452244421843,0.9668227816755918,0.9991820052641599
68,69,0.11265766433399726,0.2747016218739676,0.9642625164394687,0.9991436570279993
69,70,0.10981040806447984,0.272563940656959,0.9615555466802037,0.9991035755468749
70,71,0.10702896580445342,0.2704327726393633,0.9586976560490785,0.9990616968352479
71,72,0.10431215946793138,0.2683086612075697,0.9556848012714184,0.9990179549321511
