lineages_l,number_genomes_per_lineage
nan,269
AY.103,9
AY.107,2
AY.119.2,1
AY.25.1,10
AY.25.3,7
AY.27,2
AY.3,3
AY.39,1
AY.4.2.1,1
AY.43,1
AY.44,3
AY.57,2
AY.74,3
AY.86,3
B.1,1
B.1.1,1
B.1.1.529,11
B.1.1.7,1
BA.1,2263
BA.1.1,18778
BA.1.1.1,74
BA.1.1.10,867
BA.1.1.11,1
BA.1.1.13,4
BA.1.1.14,171
BA.1.1.15,20
BA.1.1.16,1838
BA.1.1.17,5
BA.1.1.18,259
BA.1.1.2,69
BA.1.1.4,4
BA.1.1.6,287
BA.1.1.7,7
BA.1.1.8,2
BA.1.1.9,5
BA.1.13,50
BA.1.13.1,1
BA.1.14,215
BA.1.14.1,1
BA.1.15,1598
BA.1.15.1,19
BA.1.15.2,23
BA.1.16,5
BA.1.17,117
BA.1.17.2,1208
BA.1.18,453
BA.1.19,14
BA.1.20,296
BA.1.21,11
BA.1.3,89
BA.1.5,1
BA.1.6,58
BA.1.7,1
BA.1.9,4
BA.2,24432
BA.2.1,101
BA.2.10,516
BA.2.10.1,102
BA.2.10.3,1
BA.2.11,5
BA.2.12,167
BA.2.12.1,15298
BA.2.12.2,3
BA.2.13,52
BA.2.13.1,34
BA.2.14,1
BA.2.15,2
BA.2.16,2
BA.2.17,8
BA.2.18,145
BA.2.2,30
BA.2.2.1,11
BA.2.20,821
BA.2.21,902
BA.2.22,11
BA.2.23,95
BA.2.23.1,7
BA.2.24,1
BA.2.25,1
BA.2.26,13
BA.2.27,2
BA.2.29,4
BA.2.3,10762
BA.2.3.1,10
BA.2.3.10,525
BA.2.3.11,114
BA.2.3.12,4
BA.2.3.13,4
BA.2.3.14,3
BA.2.3.15,5
BA.2.3.16,7
BA.2.3.17,57
BA.2.3.2,79
BA.2.3.20,122
BA.2.3.4,447
BA.2.3.5,9
BA.2.3.6,820
BA.2.3.7,9
BA.2.3.8,2
BA.2.3.9,2
BA.2.30,2
BA.2.31,36
BA.2.31.1,10
BA.2.32,21
BA.2.33,1
BA.2.34,1
BA.2.35,9
BA.2.36,66
BA.2.37,97
BA.2.38,160
BA.2.38.1,10
BA.2.38.2,5
BA.2.38.3,1
BA.2.4,2
BA.2.40.1,26
BA.2.41,7
BA.2.42,2
BA.2.43,8
BA.2.44,6
BA.2.45,2
BA.2.47,7
BA.2.48,28
BA.2.49,14
BA.2.5,172
BA.2.50,10
BA.2.51,19
BA.2.52,12
BA.2.53,3
BA.2.54,3
BA.2.55,3
BA.2.56,98
BA.2.57,1
BA.2.59,1
BA.2.6,12
BA.2.60,8
BA.2.61,9
BA.2.62,1
BA.2.63,1
BA.2.64,9
BA.2.65,1175
BA.2.66,352
BA.2.68,3
BA.2.7,23
BA.2.70,3
BA.2.71,2
BA.2.72,11
BA.2.73,2
BA.2.74,40
BA.2.75,180
BA.2.75.1,84
BA.2.75.2,269
BA.2.75.3,27
BA.2.75.4,11
BA.2.75.5,57
BA.2.75.6,24
BA.2.75.7,1
BA.2.75.9,1
BA.2.76,113
BA.2.78,7
BA.2.79,7
BA.2.8,15
BA.2.81,7
BA.2.82,1
BA.2.83,1
BA.2.86,3
BA.2.86.1,103
BA.2.86.2,2
BA.2.9,2451
BA.2.9.1,11
BA.2.9.2,12
BA.2.9.3,29
BA.2.9.4,3
BA.2.9.5,12
BA.2.9.6,2
BA.2.9.7,18
BA.3,6
BA.4,966
BA.4.1,1978
BA.4.1.1,61
BA.4.1.10,4
BA.4.1.3,1
BA.4.1.4,3
BA.4.1.5,8
BA.4.1.6,42
BA.4.1.8,35
BA.4.1.9,4
BA.4.2,338
BA.4.3,2
BA.4.4,173
BA.4.5,5
BA.4.6,4161
BA.4.6.1,18
BA.4.6.2,37
BA.4.6.3,18
BA.4.6.4,60
BA.4.6.5,567
BA.4.7,94
BA.4.8,1
BA.5,748
BA.5.1,7645
BA.5.1.1,1441
BA.5.1.10,339
BA.5.1.12,193
BA.5.1.15,120
BA.5.1.16,3
BA.5.1.17,22
BA.5.1.18,99
BA.5.1.19,9
BA.5.1.2,701
BA.5.1.20,95
BA.5.1.21,11
BA.5.1.22,649
BA.5.1.23,582
BA.5.1.24,173
BA.5.1.25,266
BA.5.1.26,1
BA.5.1.27,66
BA.5.1.28,11
BA.5.1.3,171
BA.5.1.30,1062
BA.5.1.31,6
BA.5.1.33,105
BA.5.1.34,14
BA.5.1.35,49
BA.5.1.36,21
BA.5.1.37,34
BA.5.1.4,16
BA.5.1.5,339
BA.5.1.6,129
BA.5.1.7,1562
BA.5.1.8,9
BA.5.1.9,3
BA.5.10,300
BA.5.10.1,70
BA.5.11,8
BA.5.12,2
BA.5.2,8807
BA.5.2.1,16221
BA.5.2.10,1
BA.5.2.12,9
BA.5.2.13,509
BA.5.2.14,162
BA.5.2.16,45
BA.5.2.18,48
BA.5.2.19,57
BA.5.2.2,259
BA.5.2.20,905
BA.5.2.21,701
BA.5.2.22,813
BA.5.2.23,77
BA.5.2.24,47
BA.5.2.25,183
BA.5.2.26,83
BA.5.2.27,166
BA.5.2.28,141
BA.5.2.3,361
BA.5.2.31,52
BA.5.2.32,42
BA.5.2.33,74
BA.5.2.34,348
BA.5.2.35,102
BA.5.2.36,8
BA.5.2.37,35
BA.5.2.38,3
BA.5.2.39,1
BA.5.2.4,20
BA.5.2.43,1
BA.5.2.44,14
BA.5.2.47,20
BA.5.2.48,5
BA.5.2.52,9
BA.5.2.53,222
BA.5.2.54,5
BA.5.2.56,16
BA.5.2.57,87
BA.5.2.58,34
BA.5.2.59,8
BA.5.2.6,271
BA.5.2.60,1
BA.5.2.61,1
BA.5.2.62,3
BA.5.2.63,101
BA.5.2.7,16
BA.5.2.8,322
BA.5.2.9,1036
BA.5.3,35
BA.5.3.1,152
BA.5.3.2,39
BA.5.3.3,18
BA.5.3.4,3
BA.5.3.5,2
BA.5.5,1852
BA.5.5.1,84
BA.5.5.2,66
BA.5.5.3,13
BA.5.6,1773
BA.5.6.1,16
BA.5.6.2,72
BA.5.6.3,1
BA.5.6.4,6
BA.5.7,2
BA.5.8,255
BA.5.9,126
BC.2,7
BE.1,1029
BE.1.1,1063
BE.1.1.1,127
BE.1.1.2,95
BE.1.2,53
BE.1.2.1,597
BE.1.4,156
BE.1.4.1,32
BE.1.4.2,8
BE.1.4.4,1
BE.10,35
BE.11,3
BE.12,1
BE.13,3
BE.2,15
BE.3,211
BE.4,163
BE.4.1,23
BE.4.1.1,5
BE.4.2,3
BE.5,144
BE.6,2
BE.9,56
BF.1,296
BF.1.1,12
BF.10,2671
BF.11,420
BF.11.1,101
BF.11.3,193
BF.11.4,11
BF.12,38
BF.13,217
BF.14,115
BF.15,23
BF.16,47
BF.17,1
BF.18,6
BF.19,3
BF.2,61
BF.20,25
BF.21,336
BF.23,1
BF.24,2
BF.25,47
BF.26,654
BF.27,572
BF.28,627
BF.29,2
BF.3,27
BF.3.1,1
BF.30,3
BF.31,8
BF.31.1,93
BF.32,6
BF.34,18
BF.36,50
BF.38,2
BF.39,219
BF.4,322
BF.41,34
BF.41.1,2
BF.5,1106
BF.5.1,4
BF.5.4,1
BF.5.5,10
BF.6,23
BF.7,2102
BF.7.1,1
BF.7.10,3
BF.7.12,6
BF.7.14,17
BF.7.14.1,5
BF.7.14.2,1
BF.7.14.3,1
BF.7.14.6,3
BF.7.16,293
BF.7.16.1,93
BF.7.18,5
BF.7.19,23
BF.7.20,144
BF.7.21,217
BF.7.22,80
BF.7.23,276
BF.7.24,53
BF.7.26,2
BF.7.27,132
BF.7.3,2
BF.7.4,276
BF.7.4.1,171
BF.7.4.2,8
BF.7.5,270
BF.7.6,125
BF.7.7,230
BF.7.8,13
BF.8,245
BF.9,510
BG.2,125
BG.4,14
BG.5,37
BG.6,7
BH.1,8
BJ.1,4
BK.1,279
BL.1,38
BL.1.3,1
BL.2,18
BL.3,6
BL.4,5
BL.5,3
BM.1,6
BM.1.1,41
BM.1.1.1,4
BM.1.1.3,63
BM.1.1.4,2
BM.2,1
BM.2.1,11
BM.4.1,1
BM.4.1.1,5
BN.1,181
BN.1.1,3
BN.1.1.1,1
BN.1.10,25
BN.1.2,19
BN.1.2.1,19
BN.1.2.2,4
BN.1.2.3,6
BN.1.2.4,29
BN.1.2.6,3
BN.1.3,201
BN.1.3.1,70
BN.1.3.12,2
BN.1.3.5,56
BN.1.3.6,8
BN.1.3.7,2
BN.1.4,22
BN.1.4.2,2
BN.1.4.3,5
BN.1.4.5,1
BN.1.5,78
BN.1.5.1,1
BN.1.5.2,19
BN.1.7,16
BN.1.9,11
BN.2,6
BN.2.1,6
BN.3.1,32
BN.4,1
BN.5,11
BN.6,12
BP.1,6
BQ.1,3878
BQ.1.1,12795
BQ.1.1.1,732
BQ.1.1.10,354
BQ.1.1.11,34
