lineage,group
A,A/B/B.1/UNASSIGNED/nan
AY.103,AY.103/AY.107/AY.119.2/AY.25.1/AY.3/AY.39/AY.43/AY.57/AY.74/AY.86
AY.25.3,AY.25.3/AY.27
AY.4.2.1,AY.4.2.1
AY.44,AY.44
B.1.1,B.1.1/B.1.1.7
B.1.1.529,B.1.1.529
BA.1,BA.1/BA.1.13/BA.1.14/BA.1.14.1/BA.1.15/BA.1.15.1/BA.1.16/BA.1.17.2/BA.1.18/BA.1.20/BA.1.21/BA.1.3/BA.1.5/BA.1.6/BA.1.9
BA.1.1,BA.1.1/BA.1.1.1/BA.1.1.11/BA.1.1.13/BA.1.1.15/BA.1.1.16/BA.1.1.18/BA.1.1.2/BA.1.1.4/BA.1.1.6/BA.1.1.7/BA.1.1.8/BA.1.1.9/BA.2.2.1/BC.2
BA.1.1.10,BA.1.1.10/BA.1.1.14/BA.1.1.17
BA.1.13.1,BA.1.13.1/BA.1.15.2/BA.1.17/BA.1.19/BA.1.7
BA.2,BA.2/BA.2.1/BA.2.10/BA.2.10.1/BA.2.12/BA.2.14/BA.2.15/BA.2.16/BA.2.17/BA.2.2/BA.2.21/BA.2.22/BA.2.23/BA.2.23.1/BA.2.25/BA.2.26/BA.2.27/BA.2.29/BA.2.3/BA.2.3.1/BA.2.3.10/BA.2.3.11/BA.2.3.13/BA.2.3.14/BA.2.3.15/BA.2.3.16/BA.2.3.17/BA.2.3.2/BA.2.3.5/BA.2.3.7/BA.2.30/BA.2.31/BA.2.31.1/BA.2.32/BA.2.33/BA.2.34/BA.2.36/BA.2.37/BA.2.4/BA.2.41/BA.2.42/BA.2.49/BA.2.5/BA.2.50/BA.2.55/BA.2.57/BA.2.59/BA.2.6/BA.2.60/BA.2.61/BA.2.62/BA.2.63/BA.2.64/BA.2.65/BA.2.66/BA.2.68/BA.2.71/BA.2.72/BA.2.8/BA.2.9.2/BA.2.9.5/BA.2.9.7/XAC/XAE/XAF/XAG/XAM/XAQ/XE/XM/XN/XQ/XU/XW/XZ
BA.2.10.3,BA.2.10.3/BA.2.3.4/BA.2.51
BA.2.11,BA.2.11/BA.2.35
BA.2.12.1,BA.2.12.1/BG.2/BG.4/BG.5/BG.6
BA.2.12.2,BA.2.12.2
BA.2.13,BA.2.13/BA.2.56/BA.2.78
BA.2.13.1,BA.2.13.1/BA.2.81
BA.2.18,BA.2.18/BA.2.38/BA.2.40.1
BA.2.20,BA.2.20
BA.2.24,BA.2.24
BA.2.3.12,BA.2.3.12
BA.2.3.20,BA.2.3.20/CM.12/CM.2/CM.5
BA.2.3.6,BA.2.3.6
BA.2.3.8,BA.2.3.8/BA.2.3.9/BA.2.70
BA.2.38.1,BA.2.38.1
BA.2.38.2,BA.2.38.2
BA.2.38.3,BA.2.38.3
BA.2.43,BA.2.43/BA.2.44
BA.2.45,BA.2.45
BA.2.47,BA.2.47
BA.2.48,BA.2.48/BA.2.54
BA.2.52,BA.2.52
BA.2.53,BA.2.53
BA.2.7,BA.2.7/BA.2.9
BA.2.73,BA.2.73
BA.2.74,BA.2.74
BA.2.75,BA.2.75/BA.2.75.1/BA.2.75.3/BL.3/BL.4
