lineages_l,number_genomes_per_lineage
nan,209
AY.101,1
AY.122,1
AY.3,1
AY.43,1
AY.46.3,2
AY.99.1,1
AY.99.2,30
B.1,1
B.1.1,1
B.1.1.117,1
B.1.1.28,4
B.1.1.33,3
B.1.1.529,80
B.1.617.2,3
BA.1,5527
BA.1.1,6839
BA.1.1.1,514
BA.1.1.10,5
BA.1.1.14,501
BA.1.1.15,40
BA.1.1.16,4
BA.1.1.18,19
BA.1.1.2,1
BA.1.1.7,2
BA.1.10,2
BA.1.13,43
BA.1.13.1,1
BA.1.14,896
BA.1.14.1,2428
BA.1.14.2,336
BA.1.15,1143
BA.1.15.1,4
BA.1.15.2,2
BA.1.16,2
BA.1.17,109
BA.1.17.2,457
BA.1.18,136
BA.1.19,3
BA.1.20,34
BA.1.21,1
BA.1.5,53
BA.1.6,1
BA.1.9,275
BA.2,9775
BA.2.1,17
BA.2.10,32
BA.2.10.1,4
BA.2.10.2,1
BA.2.11,1
BA.2.12,7
BA.2.12.1,561
BA.2.13,31
BA.2.14,1
BA.2.18,6
BA.2.2,1
BA.2.21,2
BA.2.22,2
BA.2.23,435
BA.2.27,2
BA.2.3,311
BA.2.3.10,1
BA.2.3.16,60
BA.2.3.2,5
BA.2.3.20,8
BA.2.3.6,25
BA.2.31,5
BA.2.35,2
BA.2.36,43
BA.2.37,50
BA.2.38,3
BA.2.38.4,1
BA.2.39,10
BA.2.42,2
BA.2.45,1
BA.2.47,23
BA.2.48,51
BA.2.5,38
BA.2.52,2
BA.2.56,1060
BA.2.6,7
BA.2.62,1
BA.2.63,7
BA.2.65,17
BA.2.67,3
BA.2.69,1
BA.2.7,18
BA.2.72,9
BA.2.73,1
BA.2.74,1
BA.2.75,6
BA.2.75.1,6
BA.2.75.2,7
BA.2.75.5,4
BA.2.81,623
BA.2.86.1,1
BA.2.86.3,1
BA.2.9,785
BA.2.9.2,11
BA.2.9.3,223
BA.2.9.5,2
BA.2.9.7,3
BA.3,2
BA.4,3161
BA.4.1,1482
BA.4.1.5,1
BA.4.1.6,1
BA.4.1.7,1
BA.4.1.8,1
BA.4.1.9,3
BA.4.2,4
BA.4.4,4
BA.4.6,724
BA.4.6.5,6
BA.4.7,3
BA.4.8,1
BA.5,398
BA.5.1,4737
BA.5.1.1,6
BA.5.1.10,6
BA.5.1.12,12
BA.5.1.14,41
BA.5.1.15,842
BA.5.1.16,14
BA.5.1.2,72
BA.5.1.21,96
BA.5.1.22,72
BA.5.1.23,32
BA.5.1.24,7
BA.5.1.25,1
BA.5.1.27,5
BA.5.1.3,2
BA.5.1.30,36
BA.5.1.33,1
BA.5.1.34,1
BA.5.1.35,52
BA.5.1.4,1
BA.5.1.5,8
BA.5.1.7,1
BA.5.1.9,1
BA.5.10,1
BA.5.11,2
BA.5.2,1035
BA.5.2.1,8925
BA.5.2.10,322
BA.5.2.18,1
BA.5.2.2,2
BA.5.2.20,10
BA.5.2.21,3
BA.5.2.22,6
BA.5.2.23,1
BA.5.2.27,3
BA.5.2.28,14
BA.5.2.3,9
BA.5.2.30,1
BA.5.2.33,1
BA.5.2.34,4
BA.5.2.35,2
BA.5.2.57,7
BA.5.2.6,11
BA.5.2.62,1
BA.5.2.9,2
BA.5.3,23
BA.5.3.1,327
BA.5.5,72
BA.5.5.1,1
BA.5.6,70
