lineage,group
BQ.1.1.51,BQ.1.1.51
BQ.1.1.56,BQ.1.1.56
BQ.1.1.66,BQ.1.1.66
BQ.1.1.67,BQ.1.1.67
BQ.1.1.69,BQ.1.1.69
BQ.1.1.72,BQ.1.1.72
BQ.1.1.9,BQ.1.1.9
BQ.1.10.1,BQ.1.10.1
BQ.1.13.1,BQ.1.13.1
BQ.1.19,BQ.1.19
BQ.1.22,BQ.1.22
BQ.1.27,BQ.1.27
BQ.1.31,BQ.1.31
BQ.1.5,BQ.1.5
BQ.2,BQ.2
CA.2,CA.2
CA.7,CA.7
CH.1.1,CH.1.1
CH.1.1.1,CH.1.1.1/CH.1.1.11/CH.1.1.24/CH.1.1.28
CJ.1.2,CJ.1.2
CK.1.2,CK.1.2/CK.1.4
CK.2.1,CK.2.1
CK.2.1.1,CK.2.1.1
CK.3,CK.3/DJ.1.3/DL.1
CL.1,CL.1
CN.1,CN.1
CP.1,CP.1
CQ.1,CQ.1
CV.1,CV.1
CV.2,CV.2
DF.1,DF.1
DJ.1.1,DJ.1.1
DT.1,DT.1/FD.4.1
DV.3,DV.3
DV.3.1,DV.3.1
DV.7.1,DV.7.1
DV.7.1.2,DV.7.1.2
ED.2,ED.2
EE.2,EE.2
EE.3,EE.3
EF.1.1.1,EF.1.1.1/EY.1
EG.1,EG.1/XBB.1.18.1/XBB.1.4.2/XBB.1.5/XBB.1.5.13/XBB.1.5.15/XBB.1.5.65/XBB.1.9.2
EG.1.6,EG.1.6
EG.1.7,EG.1.7
EG.2,EG.2/HF.1
EG.4,EG.4/XBB.1.22/XBB.1.5.100/XBB.1.5.21/XBB.1.5.77
EG.5.1,EG.5.1/EG.5.1.1/FL.15/GN.1/HA.1/HK.11/XBB.1.5.59
EG.5.1.2,EG.5.1.2/EG.5.1.3/EG.5.1.5
EG.5.1.4,EG.5.1.4/FE.1.1.2/FE.1.1.4/FE.1.2
EG.5.1.6,EG.5.1.6
EG.5.2,EG.5.2
EG.6,EG.6/FL.1.3/FL.26/FY.2/XBB.1.15.1/XBB.1.42.2/XBB.1.5.16/XBB.1.5.94
EG.6.1.1,EG.6.1.1
EU.1.1.1,EU.1.1.1
EZ.1,EZ.1
FD.2,FD.2
FE.1,FE.1
FE.1.1,FE.1.1
FE.1.1.1,FE.1.1.1
FH.1,FH.1
FK.1.1,FK.1.1
FL.1.5.1,FL.1.5.1
FL.10.2,FL.10.2
FL.13,FL.13
FL.13.3,FL.13.3
FL.18,FL.18
FL.27,FL.27
FL.4,FL.4
FT.1,FT.1
FU.1,FU.1/FU.2/XBB.1.16
FY.4.1,FY.4.1
GE.1,GE.1
GH.1,GH.1
GJ.1.2,GJ.1.2
GJ.4,GJ.4
GJ.5,GJ.5
GK.1,GK.1/GK.1.1/GK.1.2/JD.1
GK.1.4,GK.1.4/JF.1
GK.2.1,GK.2.1/XBB.1.5.75
GK.3,GK.3
GS.4,GS.4
HA.2,HA.2
HH.1,HH.1
HK.2,HK.2
HK.3,HK.3
