,date,AY.100,AY.20,AY.25,AY.25.1,AY.26,AY.3,AY.39,AY.62,B.1.1.222,B.1.1.519,B.1.1.529,B.1.617.2,BA.1,BA.1.1,BA.1.1.1,BA.1.1.14,BA.1.1.16,BA.1.1.18,BA.1.1.2,BA.1.1.6,BA.1.13,BA.1.15,BA.1.15.1,BA.1.15.2,BA.1.15.3,BA.1.17,BA.1.17.2,BA.1.18,BA.1.19,BA.1.20,BA.1.21,BA.1.5,BA.2,BA.2.1,BA.2.10,BA.2.10.1,BA.2.12,BA.2.12.1,BA.2.13,BA.2.13.1,BA.2.18,BA.2.2,BA.2.2.1,BA.2.21,BA.2.22,BA.2.23,BA.2.23.1,BA.2.24,BA.2.26,BA.2.3,BA.2.3.10,BA.2.3.11,BA.2.3.15,BA.2.3.17,BA.2.3.2,BA.2.3.4,BA.2.3.6,BA.2.31,BA.2.35,BA.2.36,BA.2.37,BA.2.38,BA.2.4,BA.2.40.1,BA.2.44,BA.2.49,BA.2.5,BA.2.52,BA.2.56,BA.2.57,BA.2.6,BA.2.65,BA.2.66,BA.2.7,BA.2.71,BA.2.72,BA.2.75,BA.2.75.2,BA.2.75.6,BA.2.8,BA.2.81,BA.2.82,BA.2.9,BA.2.9.3,BA.2.9.6,BA.2.9.7,BA.3,BA.4,BA.4.1,BA.4.1.1,BA.4.1.6,BA.4.1.8,BA.4.1.9,BA.4.2,BA.4.4,BA.4.6,BA.4.6.1,BA.4.6.5,BA.4.7,BA.5,BA.5.1,BA.5.1.1,BA.5.1.10,BA.5.1.12,BA.5.1.15,BA.5.1.17,BA.5.1.18,BA.5.1.19,BA.5.1.2,BA.5.1.21,BA.5.1.22,BA.5.1.23,BA.5.1.24,BA.5.1.25,BA.5.1.27,BA.5.1.28,BA.5.1.3,BA.5.1.30,BA.5.1.33,BA.5.1.35,BA.5.1.4,BA.5.1.5,BA.5.1.6,BA.5.1.8,BA.5.10,BA.5.10.1,BA.5.11,BA.5.2,BA.5.2.1,BA.5.2.13,BA.5.2.16,BA.5.2.20,BA.5.2.21,BA.5.2.22,BA.5.2.23,BA.5.2.24,BA.5.2.26,BA.5.2.28,BA.5.2.29,BA.5.2.3,BA.5.2.31,BA.5.2.32,BA.5.2.33,BA.5.2.34,BA.5.2.35,BA.5.2.36,BA.5.2.37,BA.5.2.39,BA.5.2.47,BA.5.2.52,BA.5.2.54,BA.5.2.57,BA.5.2.59,BA.5.2.6,BA.5.2.8,BA.5.2.9,BA.5.3,BA.5.3.1,BA.5.5,BA.5.5.1,BA.5.5.2,BA.5.5.3,BA.5.6,BA.5.6.1,BA.5.6.2,BA.5.6.3,BA.5.8,BA.5.9,BE.1,BE.1.1,BE.1.1.1,BE.1.1.2,BE.1.2,BE.1.2.1,BE.1.3,BE.1.4,BE.1.4.1,BE.1.4.2,BE.1.4.3,BE.10,BE.2,BE.3,BE.4,BE.5,BE.9,BF.1,BF.1.1,BF.10,BF.10.1,BF.11,BF.11.1,BF.11.2,BF.12,BF.13,BF.14,BF.2,BF.21,BF.22,BF.25,BF.26,BF.27,BF.28,BF.31,BF.32,BF.36,BF.39,BF.39.1,BF.4,BF.40,BF.5,BF.7,BF.7.19,BF.7.21,BF.7.22,BF.7.24,BF.7.3,BF.7.4,BF.7.4.1,BF.7.4.2,BF.7.5,BF.7.6,BF.7.7,BF.8,BG.1,BG.2,BG.3,BG.4,BG.5,BK.1,BL.6,BM.1,BM.1.1,BM.1.1.3,BM.4.1.1,BN.1,BN.1.10,BN.1.2,BN.1.2.1,BN.1.2.3,BN.1.3,BN.1.3.1,BN.1.3.5,BN.1.3.6,BN.1.4,BN.1.4.3,BN.1.5,BN.1.5.2,BN.1.7,BN.1.9,BN.3.1,BQ.1,BQ.1.1,BQ.1.1.1,BQ.1.1.10,BQ.1.1.11,BQ.1.1.13,BQ.1.1.15,BQ.1.1.17,BQ.1.1.18,BQ.1.1.2,BQ.1.1.23,BQ.1.1.26,BQ.1.1.27,BQ.1.1.28,BQ.1.1.29,BQ.1.1.3,BQ.1.1.31,BQ.1.1.32,BQ.1.1.35,BQ.1.1.36,BQ.1.1.39,BQ.1.1.4,BQ.1.1.40,BQ.1.1.41,BQ.1.1.45,BQ.1.1.5,BQ.1.1.51,BQ.1.1.52,BQ.1.1.53,BQ.1.1.54,BQ.1.1.56,BQ.1.1.57,BQ.1.1.59,BQ.1.1.6,BQ.1.1.61,BQ.1.1.62,BQ.1.1.63,BQ.1.1.65,BQ.1.1.67,BQ.1.1.69,BQ.1.1.7,BQ.1.1.77,BQ.1.1.8,BQ.1.10,BQ.1.10.1,BQ.1.10.2,BQ.1.11,BQ.1.12,BQ.1.13,BQ.1.13.1,BQ.1.14,BQ.1.15,BQ.1.18,BQ.1.19,BQ.1.2,BQ.1.2.1,BQ.1.2.3,BQ.1.23,BQ.1.25,BQ.1.3,BQ.1.3.1,BQ.1.3.2,BQ.1.32,BQ.1.5,BQ.1.6,BQ.1.8,BR.1,BR.2,BS.1,BU.1,BW.1,BW.1.1,BW.1.1.1,BW.1.1.2,BW.1.2,BY.1,BY.1.1.1,CA.1,CA.3.1,CA.7,CD.2,CF.1,CH.1.1,CH.1.1.1,CH.1.1.11,CH.1.1.14,CH.1.1.2,CH.1.1.24,CH.1.1.25,CK.1,CK.1.3,CK.1.4,CK.1.5,CK.2.1,CK.2.1.1,CK.3,CL.1,CM.4.1,CM.5.2,CM.8.1,CN.1,CQ.2,CR.1.1,CT.1,CV.1,CV.2,DB.1,DB.2,DE.1,DF.1,DF.1.1,DG.1,DJ.1,DJ.1.1,DL.1,DM.1,DN.2,DT.2,EE.1,EE.2,EE.5,EF.1,EF.1.1,EF.1.1.1,EF.1.2,EF.1.3,EG.1,EG.1.4,EG.2,EG.5.1,EG.5.1.1,EG.5.1.3,EG.5.1.4,EG.5.1.6,EG.5.2,EG.6.1,EJ.2,EL.1,FA.1,FD.1.1,FD.2,FD.4,FE.1,FE.1.2,FJ.1,FL.1.5.1,FL.13,FL.15,FL.16,FL.2,FL.20.2,FL.21.2,FL.3.1,FL.4,FL.5,FL.7,FT.3,FT.3.1,FT.3.1.1,FU.1,FU.2,FY.1.2,FY.3.1,FY.5,GB.1,GD.1,GE.1,GJ.1.2,GJ.5,GK.1,GK.1.1,GN.1,GN.1.1,GU.1,GV.1,GY.6,GY.7,HF.1.1,HK.7,HP.1,HP.1.1,HR.1,HS.1,HS.1.1,HT.1,HT.2,HV.1,HY.1,HZ.1,HZ.2,JD.2,UNASSIGNED,XAF,XAG,XAH,XAM,XAP,XAS,XAZ,XBB,XBB.1,XBB.1.1,XBB.1.13,XBB.1.15,XBB.1.16,XBB.1.16.1,XBB.1.16.11,XBB.1.16.15,XBB.1.16.18,XBB.1.16.19,XBB.1.16.21,XBB.1.16.22,XBB.1.16.6,XBB.1.16.9,XBB.1.27,XBB.1.28,XBB.1.28.1,XBB.1.3,XBB.1.30,XBB.1.4,XBB.1.4.1,XBB.1.41,XBB.1.41.1,XBB.1.42,XBB.1.42.2,XBB.1.45.1,XBB.1.5,XBB.1.5.1,XBB.1.5.10,XBB.1.5.100,XBB.1.5.104,XBB.1.5.11,XBB.1.5.12,XBB.1.5.13,XBB.1.5.14,XBB.1.5.15,XBB.1.5.16,XBB.1.5.17,XBB.1.5.19,XBB.1.5.2,XBB.1.5.20,XBB.1.5.21,XBB.1.5.24,XBB.1.5.27,XBB.1.5.28,XBB.1.5.3,XBB.1.5.31,XBB.1.5.32,XBB.1.5.33,XBB.1.5.34,XBB.1.5.35,XBB.1.5.36,XBB.1.5.39,XBB.1.5.4,XBB.1.5.40,XBB.1.5.41,XBB.1.5.43,XBB.1.5.47,XBB.1.5.48,XBB.1.5.49,XBB.1.5.51,XBB.1.5.52,XBB.1.5.55,XBB.1.5.59,XBB.1.5.61,XBB.1.5.62,XBB.1.5.63,XBB.1.5.65,XBB.1.5.66,XBB.1.5.67,XBB.1.5.69,XBB.1.5.7,XBB.1.5.72,XBB.1.5.73,XBB.1.5.75,XBB.1.5.76,XBB.1.5.77,XBB.1.5.78,XBB.1.5.79,XBB.1.5.8,XBB.1.5.80,XBB.1.5.91,XBB.1.5.92,XBB.1.5.95,XBB.1.5.96,XBB.1.6,XBB.1.9,XBB.1.9.1,XBB.1.9.3,XBB.2,XBB.2.11.1,XBB.2.2,XBB.2.3,XBB.2.3.11,XBB.2.3.2,XBB.2.3.6,XBB.2.5,XBB.2.6,XBB.2.7,XBB.3,XBB.8,XBD,XBF,XCG,XZ,nan
0,2022-01-01,9.30232558139535,0.0,0.0,0.0,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.651162790697675,72.09302325581395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.976744186046512,0.0,0.0,0.0,2.3255813953488373,0.0,0.0,0.0,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-01-02,2.2388059701492535,10.44776119402985,0.0,0.0,0.7462686567164178,1.4925373134328357,0.0,0.0,0.0,0.0,0.0,0.0,11.940298507462686,42.53731343283582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.641791044776117,0.0,0.7462686567164178,0.0,0.7462686567164178,2.2388059701492535,0.7462686567164178,0.0,0.7462686567164178,2.2388059701492535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4925373134328357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-01-03,1.6260162601626018,2.710027100271003,0.0,0.5420054200542005,0.8130081300813009,0.5420054200542005,0.8130081300813009,0.0,0.0,0.0,0.5420054200542005,0.0,14.363143631436316,49.32249322493225,0.27100271002710025,0.0,0.5420054200542005,0.27100271002710025,0.0,0.0,0.5420054200542005,18.97018970189702,0.0,0.0,0.0,1.8970189701897018,1.3550135501355014,2.9810298102981028,0.0,1.3550135501355014,0.27100271002710025,0.27100271002710025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-01-04,1.1235955056179776,1.6853932584269662,0.2808988764044944,0.0,0.0,0.8426966292134831,0.0,0.0,0.0,0.0,0.8426966292134831,0.0,15.168539325842698,58.98876404494382,0.0,0.2808988764044944,0.0,1.1235955056179776,0.0,0.0,0.2808988764044944,15.168539325842698,0.0,0.5617977528089888,0.0,1.6853932584269662,0.8426966292134831,0.5617977528089888,0.2808988764044944,0.2808988764044944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
