,date,Spike. AY.100,Spike. AY.20,Spike. AY.26,Spike. AY.3,Spike. B.1.1.222,Spike. BA.1.1.1,Spike. BA.1.1.14,Spike. BA.1.1.18,Spike. BA.1.1,Spike. BA.1.15,Spike. BA.1.15.1,Spike. BA.1.15.2,Spike. BA.1.20,Spike. BA.1,Spike. BA.2.10.1,Spike. BA.2.12,Spike. BA.2.12.1,Spike. BA.2.13,Spike. BA.2.18,Spike. BA.2.2,Spike. BA.2.23.1,Spike. BA.2.3.6,Spike. BA.2.38,Spike. BA.2.56,Spike. BA.2.9,Spike. BA.2.9.3,Spike. BA.2.9.7,Spike. BA.2,Spike. BA.3,Spike. BA.4.1.8,Spike. BA.4,Spike. BA.5.1.12,Spike. BA.5.1.19,Spike. BA.5.2.23,Spike. BA.5.2.32,Spike. BA.5.2.34,Spike. BA.5.2.36,Spike. BA.5.2.37,Spike. BA.5,Spike. BE.1.2.1,Spike. BE.1.4.3,Spike. BE.10,Spike. BF.10.1,Spike. BF.11.2,Spike. BG.5,Spike. BN.1.2.1,Spike. BN.1.3,Spike. BN.1.3.1,Spike. BN.1.9,Spike. BN.1,Spike. BN.3.1,Spike. BQ.1.1.13,Spike. BQ.1.1.2,Spike. BQ.1.1.26,Spike. BQ.1.1.28,Spike. BQ.1.1.32,Spike. BQ.1.1.35,Spike. BQ.1.1.54,Spike. BQ.1.1.63,Spike. BQ.1.1.65,Spike. BQ.1.1.67,Spike. BQ.1.1,Spike. BQ.1.10.1,Spike. BQ.1.19,Spike. BQ.1.2.3,Spike. BQ.1.32,Spike. BQ.1.5,Spike. BU.1,Spike. BW.1.1,Spike. BY.1.1.1,Spike. CH.1.1.24,Spike. CH.1.1,Spike. CK.1.3,Spike. CK.1,Spike. CK.2.1,Spike. CM.8.1,Spike. CT.1,Spike. CV.2,Spike. DB.2,Spike. DF.1,Spike. EE.5,Spike. EG.1.4,Spike. EG.1,Spike. EG.5.1.1,Spike. EG.5.1.3,Spike. EG.5.1.6,Spike. EG.5.1,Spike. FA.1,Spike. FD.2,Spike. FD.4,Spike. FE.1,Spike. FL.1.5.1,Spike. FL.15,Spike. FL.2,Spike. FL.21.2,Spike. FT.3,Spike. FT.3.1.1,Spike. FT.3.1,Spike. GD.1,Spike. GJ.1.2,Spike. HS.1.1,Spike. HT.1,Spike. HT.2,Spike. HV.1,Spike. HZ.1,Spike. HZ.2,Spike. XBB.1.15,Spike. XBB.1.16.15,Spike. XBB.1.3,Spike. XBB.1.5.1,Spike. XBB.1.5.15,Spike. XBB.1.5.3,Spike. XBB.1.5.32,Spike. XBB.1.5.40,Spike. XBB.1.5.52,Spike. XBB.1.5.76,Spike. XBB.1.5.78,Spike. XBB.1.5.91,Spike. XBB.1.6,Spike. XBB.1.9,Spike. XBB.1.9.3,Spike. XBB.1,Spike. XBB.2.11.1,Spike. XBB.2.3,Spike. XBB.2.3.2,Spike. XBB.2.5,Spike. XBB,Wuhan-Hu-1
0,2022-01-04,1.129943507234945,1.6949152558241691,0.0,0.8474576279120846,0.8474576279120846,0.0,0.28248587932286057,1.129943507234945,59.322033893506934,15.254237292361026,0.8474576279120846,1.4124293765013085,0.28248587932286057,16.949152538128697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-01-05,1.2135922361160338,2.1844660209700257,0.24271845126204167,1.456310677280988,0.48543689242699606,0.0,0.24271845126204167,0.48543689242699606,50.97087378561128,24.271844661738147,2.42718446213498,1.6990291285430295,1.2135922361160338,13.106796115723066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-01-06,0.47169811514115345,0.7075471676881453,0.2358490525469918,0.7075471676881453,0.47169811514115345,0.0,0.0,0.9433962302823069,56.36792452325934,22.405660373756675,1.4150943353762906,1.650943397970452,0.7075471676881453,13.915094341404593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-01-07,0.6600660016473877,1.3201320133607821,0.33003300082369386,0.33003300082369386,0.33003300082369386,0.0,0.0,1.3201320133607821,50.82508250935711,21.122112213772514,1.9801980150081697,0.6600660016473877,1.6501650141844757,17.821782175337557,0.0,0.0,0.33003300082369386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3201320133607821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-01-08,1.2903225800025804,1.9354838700038708,0.6451612900012902,0.6451612900012902,0.0,0.6451612900012902,0.6451612900012902,3.225806450006451,52.903225810105795,20.000000000039996,2.5806451600051608,0.6451612900012902,1.2903225800025804,12.903225810025804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6451612900012902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-01-09,3.508771930259925,0.0,0.0,0.8771929850869111,0.0,0.0,0.0,2.6315789451730134,49.12280701355122,21.05263158155955,3.508771930259925,0.0,0.8771929850869111,16.66666666621271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771929850869111,0.0,0.0,0.8771929850869111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2022-01-10,1.6835016808085856,1.0101010084851514,0.33670033616171713,0.6734006723234343,1.0101010084851514,0.33670033616171713,0.0,0.6734006723234343,56.22895622961283,14.814814811250232,1.6835016808085856,1.0101010084851514,3.367003371684511,16.835016838287874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33670033616171713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022-01-11,1.6949152553346452,0.8474576226249497,0.0,1.2711864389797976,0.8474576226249497,0.4237288163548477,0.0,0.4237288163548477,45.33898304742634,23.72881355451554,1.6949152553346452,2.1186440716894928,2.542372877959595,19.0677966149512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-01-12,1.1029411755191578,1.1029411755191578,1.470588230667701,0.7352941203706151,0.7352941203706151,1.8382352958897734,0.0,1.8382352958897734,56.98529412221532,18.750000003972744,0.7352941203706151,1.470588230667701,1.1029411755191578,12.132352940784267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-01-13,2.3715414999976274,0.3952569199996046,0.3952569199996046,0.7905138299992093,0.7905138299992093,0.0,1.1857707499988137,3.1620553399968374,56.916996049943066,15.019762849984977,0.3952569199996046,1.5810276699984187,2.3715414999976274,14.624505929985371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
