Days,Mean dProp
2021-07-01,3117.2596617724394
2021-07-02,3117.2596617724394
2021-07-03,3117.2596617724394
2021-07-04,3117.2596617724394
2021-07-05,3117.2596617724394
2021-07-06,3117.2596617724394
2021-07-07,3117.2596617724394
2021-07-08,3117.2596617724394
2021-07-09,3117.2596617724394
2021-07-10,3117.2596617724394
2021-07-11,3117.2596617724394
2021-07-12,3117.2596617724394
2021-07-13,3117.2596617724394
2021-07-14,3117.2596617724394
2021-07-15,3117.2596617724394
2021-07-16,3117.2596617724394
2021-07-17,3117.2596617724394
2021-07-18,3117.2596617724394
2021-07-19,3117.2596617724394
2021-07-20,3117.2596617724394
2021-07-21,3117.2596617724394
2021-07-22,3117.2596617724394
2021-07-23,3117.2596617724394
2021-07-24,3117.2596617724394
2021-07-25,3117.2596617724394
2021-07-26,3117.2596617724394
2021-07-27,3117.2596617724394
2021-07-28,3117.2596617724394
2021-07-29,3117.2596617724394
2021-07-30,3117.2596617724394
2021-07-31,3117.2596617724394
2021-08-01,3117.2596617724394
2021-08-02,3117.2596617724394
2021-08-03,3117.2596617724394
2021-08-04,3117.2596617724394
2021-08-05,3117.2596617724394
2021-08-06,3117.2596617724394
2021-08-07,3117.2596617724394
2021-08-08,3117.2596617724394
2021-08-09,3117.2596617724394
2021-08-10,3117.2596617724394
2021-08-11,3117.2596617724394
2021-08-12,3117.2596617724394
2021-08-13,3117.2596617724394
2021-08-14,3117.2596617724394
2021-08-15,3117.2596617724394
2021-08-16,3117.2596617724394
2021-08-17,3117.2596617724394
2021-08-18,3117.2596617724394
2021-08-19,3117.2596617724394
2021-08-20,3117.2596617724394
2021-08-21,3117.2596617724394
2021-08-22,3117.2596617724394
2021-08-23,3117.2596617724394
2021-08-24,3117.2596617724394
2021-08-25,3117.2596617724394
2021-08-26,3117.2596617724394
2021-08-27,3117.2596617724394
2021-08-28,3117.2596617724394
2021-08-29,3117.2596617724394
2021-08-30,3117.2596617724394
2021-08-31,3117.2596617724394
2021-09-01,3117.2596617724394
2021-09-02,3117.2596617724394
2021-09-03,3117.2596617724394
2021-09-04,3117.2596617724394
2021-09-05,3117.2596617724394
2021-09-06,3117.2596617724394
2021-09-07,3117.2596617724394
2021-09-08,3117.2596617724394
2021-09-09,3117.2596617724394
2021-09-10,3117.2596617724394
2021-09-11,3117.2596617724394
2021-09-12,3117.2596617724394
2021-09-13,3117.2596617724394
2021-09-14,3117.2596617724394
2021-09-15,3117.2596617724394
2021-09-16,3117.2596617724394
2021-09-17,3117.2596617724394
2021-09-18,3117.2596617724394
2021-09-19,3117.2596617724394
2021-09-20,3117.2596617724394
2021-09-21,3117.2596617724394
2021-09-22,3117.2596617724394
2021-09-23,3117.2596617724394
2021-09-24,3117.2596617724394
2021-09-25,3117.2596617724394
2021-09-26,3117.2596617724394
2021-09-27,3117.2596617724394
2021-09-28,3117.2596617724394
2021-09-29,3117.2596617724394
2021-09-30,3117.2596617724394
2021-10-01,3117.2596617724394
2021-10-02,3117.2596617724394
2021-10-03,3117.2596617724394
2021-10-04,3117.2596617724394
2021-10-05,3117.2596617724394
2021-10-06,3117.2596617724394
2021-10-07,3117.2596617724394
2021-10-08,3117.2596617724394
2021-10-09,3117.2596617724394
2021-10-10,3117.2596617724394
2021-10-11,3117.2596617724394
2021-10-12,3117.2596617724394
2021-10-13,3117.2596617724394
2021-10-14,3117.2596617724394
2021-10-15,3117.2596617724394
2021-10-16,3117.2596617724394
2021-10-17,3117.2596617724394
2021-10-18,3117.2596617724394
2021-10-19,3117.2596617724394
2021-10-20,3117.2596617724394
2021-10-21,3117.2596617724394
2021-10-22,3117.2596617724394
2021-10-23,3117.2596617724394
2021-10-24,3117.2596617724394
2021-10-25,3117.2596617724394
2021-10-26,3117.2596617724394
2021-10-27,3117.2596617724394
2021-10-28,3117.2596617724394
2021-10-29,3117.2596617724394
2021-10-30,3117.2596617724394
2021-10-31,3117.2596617724394
2021-11-01,3117.2596617724394
2021-11-02,3117.2596617724394
2021-11-03,3117.2596617724394
2021-11-04,3117.2596617724394
2021-11-05,3117.2596617724394
2021-11-06,3117.2596617724394
2021-11-07,3117.2596617724394
2021-11-08,3117.2596617724394
2021-11-09,3117.2596617724394
2021-11-10,3117.2596617724394
2021-11-11,3117.2596617724394
2021-11-12,3117.2596617724394
2021-11-13,3117.2596617724394
2021-11-14,3117.2596617724394
2021-11-15,3117.2596617724394
2021-11-16,3117.2596617724394
2021-11-17,3117.2596617724394
2021-11-18,3117.2596617724394
2021-11-19,3117.2596617724394
2021-11-20,3117.2596617724394
2021-11-21,3117.2596617724394
2021-11-22,3117.2596617724394
2021-11-23,3117.2596617724394
2021-11-24,3117.2596617724394
2021-11-25,3117.2596617724394
2021-11-26,3117.2596617724394
2021-11-27,3117.2596617724394
2021-11-28,3117.2596617724394
2021-11-29,3117.2596617724394
2021-11-30,3117.2596617724394
2021-12-01,3117.2596617724394
2021-12-02,3117.2596617724394
2021-12-03,3117.2596617724394
2021-12-04,3117.2596617724394
2021-12-05,3117.2596617724394
2021-12-06,3117.2596617724394
2021-12-07,3117.2596617724394
2021-12-08,3117.2596617724394
2021-12-09,3117.2596617724394
2021-12-10,3117.2596617724394
2021-12-11,3117.2596617724394
2021-12-12,3117.2596617724394
2021-12-13,3117.2596617724394
2021-12-14,3117.2596617724394
2021-12-15,3117.2596617724394
2021-12-16,3117.2596617724394
2021-12-17,3117.2596617724394
2021-12-18,3117.2596617724394
2021-12-19,3117.2596617724394
2021-12-20,3117.2596617724394
2021-12-21,3117.2596617724394
2021-12-22,3117.2596617724394
2021-12-23,3117.2596617724394
2021-12-24,3117.2596617724394
2021-12-25,3117.2596617724394
2021-12-26,3117.2596617724394
2021-12-27,3117.2596617724394
2021-12-28,3117.2596617724394
2021-12-29,3117.2596617724394
2021-12-30,3117.2596617724394
2021-12-31,3117.2596617724394
2022-01-01,3117.2596617724394
2022-01-02,3117.2596617724394
2022-01-03,3117.2596617724394
2022-01-04,3117.2596617724394
2022-01-05,3117.2596617724394
2022-01-06,3117.2596617724394
2022-01-07,3117.2596617724394
2022-01-08,3117.2596617724394
2022-01-09,3117.2596617724394
2022-01-10,3117.2596617724394
2022-01-11,3117.2596617724394
2022-01-12,3117.2596617724394
2022-01-13,3117.2596617724394
2022-01-14,3117.2596617724394
2022-01-15,3117.2596617724394
2022-01-16,3117.2596617724394
2022-01-17,3117.2596617724394
2022-01-18,3117.2596617724394
2022-01-19,3117.2596617724394
2022-01-20,3117.2596617724394
2022-01-21,3117.2596617724394
2022-01-22,3117.2596617724394
2022-01-23,3117.2596617724394
2022-01-24,3117.2596617724394
2022-01-25,3117.2596617724394
2022-01-26,3117.2596617724394
2022-01-27,3117.2596617724394
2022-01-28,3117.2596617724394
2022-01-29,3117.2596617724394
2022-01-30,3117.2596617724394
2022-01-31,3117.2596617724394
