lineages_l,number_genomes_per_lineage
nan,1
AY.32,8
AY.38,5
AY.45,24
AY.6,4
AY.91,2
B.1,4
B.1.1.448,1
B.1.1.529,19
B.1.1.7,1
B.1.351,6
B.1.617.2,5
BA.1,167
BA.1.1,44
BA.1.1.1,2
BA.1.13,5
BA.1.14,1
BA.1.15,3
BA.1.17,47
BA.1.17.2,7
BA.1.18,11
BA.1.19,5
BA.1.20,1
BA.1.21,16
BA.1.5,1
BA.2,2991
BA.2.1,9
BA.2.10,9
BA.2.10.1,2
BA.2.12.1,12
BA.2.15,178
BA.2.16,6
BA.2.18,2
BA.2.23,3
BA.2.26,3
BA.2.29,1
BA.2.3,9
BA.2.3.20,2
BA.2.31.1,1
BA.2.36,1
BA.2.37,3
BA.2.38,2
BA.2.38.2,2
BA.2.40.1,2
BA.2.45,1
BA.2.5,1
BA.2.50,7
BA.2.51,1
BA.2.56,6
BA.2.65,2
BA.2.72,1
BA.2.74,1
BA.2.75,1
BA.2.75.1,1
BA.2.75.2,1
BA.2.75.4,1
BA.2.75.7,1
BA.2.76,3
BA.2.78,2
BA.2.8,1
BA.2.86,73
BA.2.86.1,1
BA.2.86.2,31
BA.2.86.3,7
BA.2.9,24
BA.3,13
BA.4,2274
BA.4.1,1531
BA.4.1.1,171
BA.4.1.10,3
BA.4.1.2,6
BA.4.1.5,9
BA.4.1.8,166
BA.4.1.9,24
BA.4.2,11
BA.4.3,3
BA.4.4,89
BA.4.5,16
BA.4.6,101
BA.4.6.3,1
BA.4.6.5,1
BA.4.7,93
BA.4.8,62
BA.5,575
BA.5.1,90
BA.5.1.10,1
BA.5.1.12,2
BA.5.1.17,1
BA.5.1.18,1
BA.5.1.2,3
BA.5.1.21,1
BA.5.1.22,5
BA.5.1.23,13
BA.5.1.24,3
BA.5.1.26,1
BA.5.1.3,7
BA.5.1.33,1
BA.5.1.9,1
BA.5.10,6
BA.5.11,324
BA.5.2,289
BA.5.2.1,519
BA.5.2.13,1
BA.5.2.16,2
BA.5.2.18,2
BA.5.2.20,17
BA.5.2.22,11
BA.5.2.24,1
BA.5.2.26,1
BA.5.2.27,2
BA.5.2.28,1
BA.5.2.3,2
BA.5.2.34,1
BA.5.2.37,2
BA.5.2.38,1
BA.5.2.6,8
BA.5.2.7,1
BA.5.2.9,7
BA.5.3,97
BA.5.3.1,788
BA.5.3.3,16
BA.5.3.5,388
BA.5.5,7
BA.5.6,15
BA.5.8,7
BA.5.9,19
BD.1,1
BE.1,342
BE.1.1,19
BE.1.1.1,6
BE.1.1.2,16
BE.1.4.2,1
BE.10,2
BE.12,4
BE.13,114
BE.2,9
BE.3,12
BE.4,2
BE.5,109
BE.6,5
