lineages_l,number_genomes_per_lineage
nan,5
AY.100,1
AY.20,7
AY.25,1
AY.25.1,1
AY.26,5
AY.3,4
AY.39,1
AY.62,1
B.1.1.222,1
B.1.1.519,1
B.1.1.529,6
B.1.617.2,1
BA.1,485
BA.1.1,3621
BA.1.1.1,16
BA.1.1.14,11
BA.1.1.16,7
BA.1.1.18,86
BA.1.1.2,2
BA.1.1.6,2
BA.1.13,9
BA.1.15,564
BA.1.15.1,2
BA.1.15.2,41
BA.1.15.3,1
BA.1.17,36
BA.1.17.2,24
BA.1.18,33
BA.1.19,1
BA.1.20,51
BA.1.21,17
BA.1.5,4
BA.2,1408
BA.2.1,14
BA.2.10,16
BA.2.10.1,4
BA.2.12,15
BA.2.12.1,3151
BA.2.13,26
BA.2.13.1,7
BA.2.18,96
BA.2.2,1
BA.2.2.1,1
BA.2.21,17
BA.2.22,13
BA.2.23,6
BA.2.23.1,1
BA.2.24,1
BA.2.26,2
BA.2.3,187
BA.2.3.10,6
BA.2.3.11,1
BA.2.3.15,3
BA.2.3.17,1
BA.2.3.2,1
BA.2.3.4,3
BA.2.3.6,11
BA.2.31,2
BA.2.35,1
BA.2.36,6
BA.2.37,2
BA.2.38,8
BA.2.4,1
BA.2.40.1,22
BA.2.44,2
BA.2.49,1
BA.2.5,2
BA.2.52,2
BA.2.56,15
BA.2.57,1
BA.2.6,4
BA.2.65,23
BA.2.66,4
BA.2.7,1
BA.2.71,8
BA.2.72,2
BA.2.75,1
BA.2.75.2,6
BA.2.75.6,1
BA.2.8,1
BA.2.81,1
BA.2.82,1
BA.2.9,1265
BA.2.9.3,19
BA.2.9.6,1
BA.2.9.7,3
BA.3,1
BA.4,147
BA.4.1,534
BA.4.1.1,14
BA.4.1.6,9
BA.4.1.8,202
BA.4.1.9,1
BA.4.2,377
BA.4.4,307
BA.4.6,92
BA.4.6.1,2
BA.4.6.5,22
BA.4.7,1
BA.5,120
BA.5.1,2772
BA.5.1.1,592
BA.5.1.10,25
BA.5.1.12,13
BA.5.1.15,27
BA.5.1.17,1
BA.5.1.18,1
BA.5.1.19,6
BA.5.1.2,5
BA.5.1.21,11
BA.5.1.22,139
BA.5.1.23,672
BA.5.1.24,10
BA.5.1.25,348
BA.5.1.27,3
BA.5.1.28,3
BA.5.1.3,122
BA.5.1.30,259
BA.5.1.33,1
BA.5.1.35,2
BA.5.1.4,26
BA.5.1.5,9
BA.5.1.6,1532
BA.5.1.8,1
BA.5.10,5
BA.5.10.1,2
BA.5.11,1
BA.5.2,457
BA.5.2.1,1446
BA.5.2.13,4
BA.5.2.16,4
BA.5.2.20,23
BA.5.2.21,30
BA.5.2.22,123
BA.5.2.23,31
BA.5.2.24,4
BA.5.2.26,1
BA.5.2.28,3
BA.5.2.29,2
BA.5.2.3,7
BA.5.2.31,6
BA.5.2.32,1
BA.5.2.33,4
BA.5.2.34,7
BA.5.2.35,2
BA.5.2.36,2
BA.5.2.37,2
BA.5.2.39,1
BA.5.2.47,1
BA.5.2.52,4
BA.5.2.54,2
BA.5.2.57,2
BA.5.2.59,1
BA.5.2.6,12
BA.5.2.8,6
BA.5.2.9,1171
BA.5.3,32
BA.5.3.1,25
BA.5.5,198
BA.5.5.1,5
BA.5.5.2,3
BA.5.5.3,4
BA.5.6,230
BA.5.6.1,2
BA.5.6.2,35
BA.5.6.3,1
BA.5.8,9
BA.5.9,2
BE.1,154
BE.1.1,55
BE.1.1.1,4
BE.1.1.2,7
BE.1.2,2
BE.1.2.1,6
BE.1.3,1
BE.1.4,184
BE.1.4.1,1
BE.1.4.2,1
BE.1.4.3,14
BE.10,12
BE.2,130
BE.3,109
BE.4,3
BE.5,13
BE.9,3
BF.1,297
BF.1.1,2
BF.10,166
BF.10.1,4
BF.11,2
BF.11.1,1
BF.11.2,2
BF.12,2
BF.13,2
BF.14,26
BF.2,1
BF.21,24
BF.22,2
BF.25,4
BF.26,62
BF.27,41
BF.28,16
BF.31,4
BF.32,1
BF.36,7
BF.39,4
BF.39.1,1
BF.4,7
BF.40,1
BF.5,37
BF.7,43
BF.7.19,1
BF.7.21,2
BF.7.22,1
BF.7.24,2
BF.7.3,1
BF.7.4,2
BF.7.4.1,10
BF.7.4.2,1
BF.7.5,8
BF.7.6,1
BF.7.7,1
BF.8,151
BG.1,2
BG.2,3
BG.3,2
BG.4,3
BG.5,13
BK.1,8
BL.6,1
BM.1,1
BM.1.1,3
BM.1.1.3,1
BM.4.1.1,1
BN.1,39
BN.1.10,1
BN.1.2,2
BN.1.2.1,3
BN.1.2.3,3
BN.1.3,13
BN.1.3.1,38
BN.1.3.5,2
BN.1.3.6,15
BN.1.4,8
BN.1.4.3,12
BN.1.5,8
BN.1.5.2,2
BN.1.7,1
BN.1.9,6
BN.3.1,27
BQ.1,350
BQ.1.1,813
BQ.1.1.1,14
BQ.1.1.10,153
BQ.1.1.11,1
BQ.1.1.13,16
BQ.1.1.15,15
BQ.1.1.17,1
BQ.1.1.18,71
BQ.1.1.2,8
BQ.1.1.23,2
BQ.1.1.26,3
BQ.1.1.27,6
BQ.1.1.28,2
BQ.1.1.29,1
BQ.1.1.3,24
BQ.1.1.31,1
BQ.1.1.32,11
BQ.1.1.35,14
BQ.1.1.36,2
BQ.1.1.39,2
BQ.1.1.4,68
BQ.1.1.40,22
BQ.1.1.41,7
BQ.1.1.45,1
BQ.1.1.5,42
BQ.1.1.51,9
BQ.1.1.52,30
BQ.1.1.53,3
BQ.1.1.54,9
BQ.1.1.56,1
BQ.1.1.57,2
BQ.1.1.59,1
BQ.1.1.6,2
BQ.1.1.61,4
BQ.1.1.62,1
BQ.1.1.63,49
BQ.1.1.65,83
BQ.1.1.67,6
BQ.1.1.69,26
BQ.1.1.7,5
BQ.1.1.77,1
BQ.1.1.8,2
BQ.1.10,62
BQ.1.10.1,2
BQ.1.10.2,2
BQ.1.11,17
