lineage,group
AY.100,AY.100
AY.20,AY.20
AY.25,AY.25
AY.25.1,AY.25.1
AY.26,AY.26
AY.3,AY.3
AY.39,AY.39
AY.62,AY.62
B.1.1.222,B.1.1.222/B.1.1.529/BA.1.1.6/UNASSIGNED
B.1.1.519,B.1.1.519
B.1.617.2,B.1.617.2
BA.1,BA.1/BA.1.17
BA.1.1,BA.1.1/BA.1.1.16
BA.1.1.1,BA.1.1.1
BA.1.1.14,BA.1.1.14
BA.1.1.18,BA.1.1.18
BA.1.1.2,BA.1.1.2
BA.1.13,BA.1.13
BA.1.15,BA.1.15
BA.1.15.1,BA.1.15.1/BA.1.18/BA.1.19
BA.1.15.2,BA.1.15.2/BA.1.15.3/BA.1.17.2/BA.1.21
BA.1.20,BA.1.20
BA.1.5,BA.1.5
BA.2,BA.2/BA.2.1/BA.2.10/BA.2.21/BA.2.3/BA.2.65/XAF/XAM/XAP
BA.2.10.1,BA.2.10.1
BA.2.12,BA.2.12
BA.2.12.1,BA.2.12.1
BA.2.13,BA.2.13
BA.2.13.1,BA.2.13.1
BA.2.18,BA.2.18/BA.2.40.1
BA.2.2,BA.2.2/BA.2.23/BA.2.3.4/BA.2.8/BA.5.1.35
BA.2.2.1,BA.2.2.1
BA.2.22,BA.2.22
BA.2.23.1,BA.2.23.1/BA.2.26/BA.2.3.10/BA.2.3.11/BA.2.3.2/BA.2.37/BA.2.5/BA.2.57/BA.2.6/BA.2.66/BA.2.71/nan
BA.2.24,BA.2.24
BA.2.3.15,BA.2.3.15
BA.2.3.17,BA.2.3.17
BA.2.3.6,BA.2.3.6
BA.2.31,BA.2.31
BA.2.35,BA.2.35
BA.2.36,BA.2.36
BA.2.38,BA.2.38/BA.2.4/BG.1/BG.4/XAH
BA.2.44,BA.2.44
BA.2.49,BA.2.49/BA.2.7
BA.2.52,BA.2.52
BA.2.56,BA.2.56
BA.2.72,BA.2.72
BA.2.75,BA.2.75
BA.2.75.2,BA.2.75.2/XBD
BA.2.75.6,BA.2.75.6
BA.2.81,BA.2.81
BA.2.82,BA.2.82
BA.2.9,BA.2.9
BA.2.9.3,BA.2.9.3
BA.2.9.6,BA.2.9.6
BA.2.9.7,BA.2.9.7
BA.3,BA.3/XBB.1.5.2/XBB.1.5.67
BA.4,BA.4/BA.4.1/BA.4.1.6/BA.4.2/BA.4.4/BA.5.1/BA.5.1.1/BA.5.1.17/BA.5.1.21/BA.5.1.22/BA.5.1.23/BA.5.1.25/BA.5.1.3/BA.5.1.30/BA.5.1.4/BA.5.1.5/BA.5.1.6/BA.5.1.8/BA.5.2/BA.5.2.1/BA.5.2.20/BA.5.2.21/BA.5.2.22/BA.5.2.26/BA.5.2.31/BA.5.2.33/BA.5.2.8/BA.5.2.9/BA.5.5/BA.5.5.2/BA.5.5.3/BA.5.6/BA.5.8/BE.1/BE.1.1.2/BE.1.4/BE.1.4.1/BE.2/BE.3/BE.5/BF.1/BF.10/BF.21/BF.26/BF.27/BF.28/BF.31/BF.36/BF.39/BF.5/BK.1/XAS
BA.4.1.1,BA.4.1.1
BA.4.1.8,BA.4.1.8/BA.4.1.9/BA.4.6/BA.4.6.5/BA.5.1.18/BA.5.1.28/BA.5.11/BA.5.2.13/BA.5.2.39/BA.5.2.6/BA.5.6.3/BE.1.2/BE.1.4.2/BF.11/BF.11.1/BF.7/BF.7.19/BF.7.22/BF.7.24/BF.7.3/BF.7.4/BF.7.4.1/BF.7.5/BF.7.6
BA.4.6.1,BA.4.6.1
BA.4.7,BA.4.7
