t,date,smoothed_phi
2,2022-01-03,525.4226299742435
3,2022-01-04,532.2269956071732
4,2022-01-05,540.3593912894794
5,2022-01-06,549.9451488484881
6,2022-01-07,561.0691394790208
7,2022-01-08,573.7485044593077
8,2022-01-09,587.9002836437828
9,2022-01-10,603.3093398296619
10,2022-01-11,619.607170867261
11,2022-01-12,636.2763402543173
12,2022-01-13,652.6938448466171
13,2022-01-14,668.2158021172584
14,2022-01-15,682.2871383949223
15,2022-01-16,694.5438023685742
16,2022-01-17,704.8742504909669
17,2022-01-18,713.4247196625877
18,2022-01-19,720.5578233215356
19,2022-01-20,726.7904540033664
20,2022-01-21,732.7379769664324
21,2022-01-22,739.0817658935291
22,2022-01-23,746.5642879813305
23,2022-01-24,756.0046136850898
24,2022-01-25,768.317855451891
25,2022-01-26,784.5148787266694
26,2022-01-27,805.6564011227194
27,2022-01-28,832.7424714574073
28,2022-01-29,866.5365177989346
29,2022-01-30,907.3500140124205
30,2022-01-31,954.8405481412552
31,2022-02-01,1007.8888610220243
32,2022-02-02,1064.6064195962113
33,2022-02-03,1122.4834094258104
34,2022-02-04,1178.6357304032224
35,2022-02-05,1230.0773485086177
36,2022-02-06,1273.9499239142408
37,2022-02-07,1307.6796880189909
38,2022-02-08,1329.0782166544031
39,2022-02-09,1336.4337547564085
40,2022-02-10,1328.6386201125729
41,2022-02-11,1305.364706357975
42,2022-02-12,1267.2451085838497
43,2022-02-13,1215.9721132795194
44,2022-02-14,1154.2163052137375
45,2022-02-15,1085.3300713051335
46,2022-02-16,1012.8989966609873
47,2022-02-17,940.282651575375
48,2022-02-18,870.2866359119508
49,2022-02-19,805.0340481526864
50,2022-02-20,746.0123150923241
51,2022-02-21,694.2148382898044
52,2022-02-22,650.2912762106514
53,2022-02-23,614.647529134877
54,2022-02-24,587.4725274807348
55,2022-02-25,568.7007444873246
56,2022-02-26,557.9445207609513
57,2022-02-27,554.44672999078
58,2022-02-28,557.1031891085786
59,2022-03-01,564.5763500758756
60,2022-03-02,575.4746477847614
61,2022-03-03,588.5343610727723
62,2022-03-04,602.7403319439511
63,2022-03-05,617.3563083797924
64,2022-03-06,631.8771329124149
65,2022-03-07,645.9390710311318
66,2022-03-08,659.2281433772986
67,2022-03-09,671.419792990755
68,2022-03-10,682.1741785474586
69,2022-03-11,691.1974665054046
70,2022-03-12,698.354761342786
71,2022-03-13,703.7897029711248
72,2022-03-14,707.9914252768671
73,2022-03-15,711.7719555614424
74,2022-03-16,716.1653243988861
75,2022-03-17,722.2950264132558
76,2022-03-18,731.2538094058937
77,2022-03-19,744.0110288747585
78,2022-03-20,761.3363858170308
79,2022-03-21,783.7207398012396
80,2022-03-22,811.2834865623556
81,2022-03-23,843.6734215066975
82,2022-03-24,879.988305434932
83,2022-03-25,918.7508037258968
84,2022-03-26,957.9784556307102
85,2022-03-27,995.3681483861195
86,2022-03-28,1028.5829195398912
87,2022-03-29,1055.5916511331257
88,2022-03-30,1074.9868974507317
89,2022-03-31,1086.205756878337
90,2022-04-01,1089.604709349972
91,2022-04-02,1086.3806435775332
92,2022-04-03,1078.3700421263761
93,2022-04-04,1067.782167203201
94,2022-04-05,1056.923861053705
95,2022-04-06,1047.9567654077048
96,2022-04-07,1042.7037540650854
97,2022-04-08,1042.5042085576038
98,2022-04-09,1048.116845938805
99,2022-04-10,1059.682037841027
100,2022-04-11,1076.7675235178979
101,2022-04-12,1098.5122245276805
102,2022-04-13,1123.8468972211008
103,2022-04-14,1151.7283445494086
104,2022-04-15,1181.3085801990137
105,2022-04-16,1211.985074850562
106,2022-04-17,1243.3253526398942
107,2022-04-18,1274.9015086107986
108,2022-04-19,1306.0958731352712
109,2022-04-20,1335.9514667383685
110,2022-04-21,1363.140263600345
111,2022-04-22,1386.0959183074742
112,2022-04-23,1403.2959207950876
113,2022-04-24,1413.6032013314418
114,2022-04-25,1416.542212589512
115,2022-04-26,1412.4241300112553
116,2022-04-27,1402.3206227044986
117,2022-04-28,1387.9475269324791
118,2022-04-29,1371.5202048068418
119,2022-04-30,1355.5996790187207
120,2022-05-01,1342.9069250915074
121,2022-05-02,1336.0731304989272
122,2022-05-03,1337.3205186258167
123,2022-05-04,1348.114065813747
124,2022-05-05,1368.8629316421975
125,2022-05-06,1398.7613896494252
126,2022-05-07,1435.8366711432634
127,2022-05-08,1477.2213841773078
128,2022-05-09,1519.602984624379
129,2022-05-10,1559.7417420045956
130,2022-05-11,1594.9203899168485
131,2022-05-12,1623.2156213274486
132,2022-05-13,1643.5561900259445
133,2022-05-14,1655.6151182042686
134,2022-05-15,1659.6317035050006
135,2022-05-16,1656.256202766204
136,2022-05-17,1646.4684363227466
137,2022-05-18,1631.5649229201224
138,2022-05-19,1613.1602841199851
139,2022-05-20,1593.1281125139542
140,2022-05-21,1573.4297883368242
141,2022-05-22,1555.8425930553515
142,2022-05-23,1541.6655005423313
143,2022-05-24,1531.5047935060993
144,2022-05-25,1525.2051843743675
145,2022-05-26,1521.92635059007
146,2022-05-27,1520.3170501080817
147,2022-05-28,1518.7311028120714
148,2022-05-29,1515.4497635296236
149,2022-05-30,1508.8988063146621
150,2022-05-31,1497.8582703578459
151,2022-06-01,1481.6534027604996
152,2022-06-02,1460.2937564151098
153,2022-06-03,1434.5103092682884
154,2022-06-04,1405.6481291684433
155,2022-06-05,1375.41384360942
156,2022-06-06,1345.5368768987728
157,2022-06-07,1317.4444926269744
158,2022-06-08,1292.0447677194304
159,2022-06-09,1269.6640035602218
160,2022-06-10,1250.1279668887623
161,2022-06-11,1232.9390549984087
162,2022-06-12,1217.490995416272
163,2022-06-13,1203.269197137909
164,2022-06-14,1189.9975148309459
165,2022-06-15,1177.7070700327504
166,2022-06-16,1166.7200009284443
167,2022-06-17,1157.5591128265303
168,2022-06-18,1150.8094850189004
169,2022-06-19,1146.9669501136577
170,2022-06-20,1146.3099195074942
171,2022-06-21,1148.8245616196052
172,2022-06-22,1154.198056093259
173,2022-06-23,1161.8732307136722
174,2022-06-24,1171.1389036658124
175,2022-06-25,1181.2235140394591
176,2022-06-26,1191.3680264624168
177,2022-06-27,1200.8712549420682
178,2022-06-28,1209.1166187771514
179,2022-06-29,1215.596885810261
180,2022-06-30,1219.9506580605014
181,2022-07-01,1222.0129865174767
182,2022-07-02,1221.8675808950284
183,2022-07-03,1219.8778872624
184,2022-07-04,1216.6770483572964
185,2022-07-05,1213.1131822452744
186,2022-07-06,1210.1659923434706
187,2022-07-07,1208.859137398311
188,2022-07-08,1210.1848400497302
189,2022-07-09,1215.0407539511493
190,2022-07-10,1224.1667723582066
191,2022-07-11,1238.0689052995945
192,2022-07-12,1256.9284789653275
193,2022-07-13,1280.5121271213393
194,2022-07-14,1308.1129767804882
195,2022-07-15,1338.5575351209818
196,2022-07-16,1370.3011994051817
197,2022-07-17,1401.610558861808
198,2022-07-18,1430.8024572983222
199,2022-07-19,1456.4898815922038
200,2022-07-20,1477.7806301060195
201,2022-07-21,1494.3868673925026
202,2022-07-22,1506.6267055101148
203,2022-07-23,1515.324360356603
204,2022-07-24,1521.6346472512648
205,2022-07-25,1526.825491416328
206,2022-07-26,1532.0499197649776
207,2022-07-27,1538.133902103068
208,2022-07-28,1545.4070251794624
209,2022-07-29,1553.6114168378094
210,2022-07-30,1561.929688935766
211,2022-07-31,1569.1545038652457
212,2022-08-01,1573.9706928190622
213,2022-08-02,1575.2594089339882
214,2022-08-03,1572.312119198451
215,2022-08-04,1564.8873071208286
216,2022-08-05,1553.1241634292005
217,2022-08-06,1537.3868228215774
218,2022-08-07,1518.1203649229976
219,2022-08-08,1495.7702610303777
220,2022-08-09,1470.7788467141895
221,2022-08-10,1443.6413567295774
222,2022-08-11,1414.9819881909752
223,2022-08-12,1385.5991994245605
224,2022-08-13,1356.4378175918362
225,2022-08-14,1328.479195043149
226,2022-08-15,1302.5851797896112
227,2022-08-16,1279.355569849955
228,2022-08-17,1259.0435572056283
229,2022-08-18,1241.5351671673823
230,2022-08-19,1226.3692787439118
231,2022-08-20,1212.771870356213
232,2022-08-21,1199.6960664544958
233,2022-08-22,1185.8835469185294
234,2022-08-23,1169.980065870749
235,2022-08-24,1150.736736074113
236,2022-08-25,1127.2970422833378
237,2022-08-26,1099.504388772395
238,2022-08-27,1068.0962378541944
239,2022-08-28,1034.645751363111
240,2022-08-29,1001.2181308235113
241,2022-08-30,969.8725977060191
