lineages_l,number_genomes_per_lineage
nan,2778
A,6
A.1,3
AV.1,1
AY.1,1
AY.100,42
AY.103,183
AY.105,1
AY.107,4
AY.109,2
AY.110,1
AY.113,11
AY.114,20
AY.116.1,2
AY.117,11
AY.118,12
AY.119,25
AY.119.2,4
AY.120,2
AY.120.1,1
AY.122,11
AY.125,1
AY.126,2
AY.127,4
AY.20,4
AY.25,81
AY.25.1,34
AY.26,9
AY.3,82
AY.3.1,1
AY.3.3,1
AY.39,33
AY.39.1,2
AY.4,4
AY.4.2,1
AY.43,3
AY.43.3,1
AY.44,101
AY.46.4,1
AY.46.6,1
AY.47,5
AY.5,1
AY.54,1
AY.57,2
AY.6,1
AY.75,3
AY.98.1,1
B,257
B.1,56
B.1.1,19
B.1.1.161,1
B.1.1.228,1
B.1.1.519,2
B.1.1.529,787
B.1.1.7,26
B.1.2,9
B.1.234,8
B.1.240,1
B.1.243,1
B.1.258,1
B.1.351,1
B.1.427,1
B.1.429,3
B.1.503,3
B.1.517,3
B.1.558,1
B.1.577,1
B.1.588,1
B.1.595,2
B.1.617.2,126
B.1.621,1
B.11,1
BA.1,17308
BA.1.1,199333
BA.1.1.1,336
BA.1.1.10,522
BA.1.1.11,82
BA.1.1.12,16
BA.1.1.13,45
BA.1.1.14,1281
BA.1.1.15,65
BA.1.1.16,348
BA.1.1.17,152
BA.1.1.18,19834
BA.1.1.2,1422
BA.1.1.3,1
BA.1.1.4,13
BA.1.1.5,2
BA.1.1.6,38
BA.1.1.7,62
BA.1.1.8,382
BA.1.1.9,4
BA.1.10,9
BA.1.12,25
BA.1.13,69
BA.1.13.1,11
BA.1.14,133
BA.1.14.1,49
BA.1.14.2,6
BA.1.15,23533
BA.1.15.1,154
BA.1.15.2,1258
BA.1.15.3,15
BA.1.16,21
BA.1.17,818
BA.1.17.2,1862
BA.1.18,4816
BA.1.19,124
BA.1.20,6407
BA.1.21,34
BA.1.21.1,4
BA.1.22,3
BA.1.23,16
BA.1.3,4
BA.1.4,7
BA.1.5,21
BA.1.6,20
BA.1.7,8
BA.1.9,14
BA.2,149784
BA.2.1,1116
BA.2.10,6140
BA.2.10.1,1163
BA.2.10.2,1
BA.2.10.3,8
BA.2.10.4,4
BA.2.11,20
BA.2.12,4517
BA.2.12.1,249358
BA.2.12.2,8
BA.2.13,2209
BA.2.13.1,992
BA.2.14,79
BA.2.15,10
BA.2.16,2
BA.2.17,80
BA.2.18,3943
BA.2.19,10
BA.2.2,47
BA.2.2.1,233
BA.2.20,773
BA.2.21,1211
BA.2.22,145
BA.2.23,1274
BA.2.23.1,490
BA.2.24,14
BA.2.25,26
BA.2.26,1403
BA.2.27,15
BA.2.28,94
BA.2.29,85
BA.2.3,30785
BA.2.3.1,11
BA.2.3.10,301
BA.2.3.11,36
BA.2.3.12,116
BA.2.3.13,16
BA.2.3.14,230
BA.2.3.15,75
BA.2.3.16,33
BA.2.3.17,1576
BA.2.3.2,250
BA.2.3.20,919
BA.2.3.21,8
BA.2.3.3,2
BA.2.3.4,678
BA.2.3.5,144
BA.2.3.6,454
BA.2.3.7,67
BA.2.3.8,5
BA.2.3.9,38
BA.2.30,71
BA.2.31,1000
BA.2.31.1,113
BA.2.32,670
BA.2.33,10
BA.2.34,20
BA.2.35,16
BA.2.36,1086
BA.2.37,1144
BA.2.38,969
BA.2.38.1,51
BA.2.38.2,17
BA.2.38.3,5
BA.2.38.4,3
BA.2.39,28
BA.2.4,100
BA.2.40,12
BA.2.40.1,434
BA.2.41,322
BA.2.42,148
BA.2.43,53
BA.2.44,21
BA.2.45,43
BA.2.47,333
BA.2.48,1724
BA.2.49,87
BA.2.5,1325
BA.2.50,34
BA.2.51,21
BA.2.52,312
BA.2.53,8
BA.2.54,14
BA.2.55,75
BA.2.56,869
BA.2.57,60
BA.2.58,11
BA.2.59,403
BA.2.6,457
BA.2.60,31
BA.2.61,15
BA.2.62,6
BA.2.63,48
BA.2.64,145
BA.2.65,1527
BA.2.66,38
BA.2.68,132
BA.2.69,6
BA.2.7,4209
BA.2.70,14
BA.2.71,125
BA.2.72,636
BA.2.73,342
BA.2.74,113
BA.2.75,284
BA.2.75.1,264
BA.2.75.10,15
BA.2.75.2,919
BA.2.75.3,73
BA.2.75.4,49
BA.2.75.5,430
BA.2.75.6,55
BA.2.75.7,30
BA.2.75.9,6
BA.2.76,639
BA.2.76.1,2
BA.2.77,4
BA.2.78,41
BA.2.79,30
BA.2.79.1,2
BA.2.8,200
BA.2.81,60
BA.2.82,5
BA.2.85,2
BA.2.86,24
BA.2.86.1,124
BA.2.86.2,3
BA.2.86.3,3
BA.2.86.4,2
BA.2.9,22961
BA.2.9.1,10
BA.2.9.2,866
BA.2.9.3,270
