t,date,smoothed_phi
2,2022-01-03,487.19168703324783
3,2022-01-04,493.3888217701193
4,2022-01-05,499.51304955995437
5,2022-01-06,505.5926229682762
6,2022-01-07,511.6480305230618
7,2022-01-08,517.6695027192752
8,2022-01-09,523.5866999181177
9,2022-01-10,529.2362623250092
10,2022-01-11,534.3384921894503
11,2022-01-12,538.4978620160218
12,2022-01-13,541.2392028845406
13,2022-01-14,542.0805268253639
14,2022-01-15,540.6281090318205
15,2022-01-16,536.667661002137
16,2022-01-17,530.2237286604425
17,2022-01-18,521.5682902008898
18,2022-01-19,511.1743540683813
19,2022-01-20,499.62592936403655
20,2022-01-21,487.5079732680888
21,2022-01-22,475.30515805708404
22,2022-01-23,463.33412554963917
23,2022-01-24,451.7218612224168
24,2022-01-25,440.4288445384366
25,2022-01-26,429.3061045063769
26,2022-01-27,418.1725605860433
27,2022-01-28,406.9005203700714
28,2022-01-29,395.49848008297243
29,2022-01-30,384.17885990679287
30,2022-01-31,373.3956101402101
31,2022-02-01,363.83805779974966
32,2022-02-02,356.37782297852357
33,2022-02-03,351.9832665584663
34,2022-02-04,351.6297663590577
35,2022-02-05,356.2316707991415
36,2022-02-06,366.6016778044876
37,2022-02-07,383.4187764837831
38,2022-02-08,407.17365050720065
39,2022-02-09,438.0685274713088
40,2022-02-10,475.87339552920037
41,2022-02-11,519.772335867058
42,2022-02-12,568.2595629996914
43,2022-02-13,619.1500692566116
44,2022-02-14,669.7434107541258
45,2022-02-15,717.124371606326
46,2022-02-16,758.5252896617101
47,2022-02-17,791.6461909681884
48,2022-02-18,814.8498017904242
49,2022-02-19,827.2065861925339
50,2022-02-20,828.4265644884754
51,2022-02-21,818.7508167846995
52,2022-02-22,798.877127641801
53,2022-02-23,769.9666650784332
54,2022-02-24,733.7293308389342
55,2022-02-25,692.5216217544772
56,2022-02-26,649.3333919777326
57,2022-02-27,607.536684658138
58,2022-02-28,570.3700274710259
59,2022-03-01,540.3100760734328
60,2022-03-02,518.6031936729684
61,2022-03-03,505.1616580145433
62,2022-03-04,498.8154855383368
63,2022-03-05,497.7365861120577
64,2022-03-06,499.8362096454073
65,2022-03-07,503.0367184396366
66,2022-03-08,505.42860738953954
67,2022-03-09,505.38319783930064
68,2022-03-10,501.6956130596096
69,2022-03-11,493.79271786956883
70,2022-03-12,481.9665240831322
71,2022-03-13,467.5117931252872
72,2022-03-14,452.6194203281211
73,2022-03-15,439.9653595512178
74,2022-03-16,432.10791578918906
75,2022-03-17,430.92540238661684
76,2022-03-18,437.2834508759433
77,2022-03-19,450.97003554851614
78,2022-03-20,470.81935327587445
79,2022-03-21,494.93225345239455
80,2022-03-22,520.948312414338
81,2022-03-23,546.359819819359
82,2022-03-24,568.8490394987028
83,2022-03-25,586.5966651757417
84,2022-03-26,598.4923509407462
85,2022-03-27,604.2009298363288
86,2022-03-28,604.0872924763357
87,2022-03-29,599.0450269249087
88,2022-03-30,590.2862366702254
89,2022-03-31,579.1361681279471
90,2022-04-01,566.8553169350771
91,2022-04-02,554.4984643252553
92,2022-04-03,542.8165399635977
93,2022-04-04,532.2065244030158
94,2022-04-05,522.7109544932481
95,2022-04-06,514.0625631884876
96,2022-04-07,505.7655697781946
97,2022-04-08,497.2050118759523
98,2022-04-09,487.7758851358343
99,2022-04-10,477.0195948163188
100,2022-04-11,464.74576479701193
101,2022-04-12,451.1099745998877
102,2022-04-13,436.62292358682225
103,2022-04-14,422.08696023324455
104,2022-04-15,408.4812416433019
105,2022-04-16,396.83005801625677
106,2022-04-17,388.0825345727308
107,2022-04-18,383.0148777352963
108,2022-04-19,382.1548141885324
109,2022-04-20,385.73063777031894
110,2022-04-21,393.65810330013267
111,2022-04-22,405.5812372211868
112,2022-04-23,420.96720628611774
113,2022-04-24,439.2284254033878
114,2022-04-25,459.82869913946405
115,2022-04-26,482.33865648351343
116,2022-04-27,506.4323514703319
117,2022-04-28,531.8430841668071
118,2022-04-29,558.3091128671763
119,2022-04-30,585.5372613337058
120,2022-05-01,613.1992603273941
121,2022-05-02,640.9584213966509
122,2022-05-03,668.5098708838459
123,2022-05-04,695.6123888467068
124,2022-05-05,722.0963303906258
125,2022-05-06,747.8464655829257
126,2022-05-07,772.7729550339806
127,2022-05-08,796.7905014376187
128,2022-05-09,819.8213279197835
