lineages_l,number_genomes_per_lineage
nan,1
A.2.2,1
AY.127.3,40
AY.24,11
AY.39,2
AY.39.1,4
AY.39.1.2,1
AY.39.1.4,3
B.1.1.136,21
B.1.1.529,47
B.1.617.2,11
BA.1,620
BA.1.1,1048
BA.1.1.1,25
BA.1.1.13,9
BA.1.1.14,295
BA.1.1.15,302
BA.1.1.18,3
BA.1.1.2,16
BA.1.1.7,1
BA.1.1.9,12
BA.1.13.1,1
BA.1.14,7
BA.1.15,10
BA.1.15.1,16
BA.1.16,1
BA.1.17,7670
BA.1.17.1,268
BA.1.17.2,176
BA.1.18,19
BA.1.19,2
BA.1.20,1
BA.1.21,3
BA.2,25291
BA.2.1,10
BA.2.10,1772
BA.2.10.1,2143
BA.2.10.3,3
BA.2.12,31
BA.2.12.1,972
BA.2.12.2,1199
BA.2.13,44
BA.2.13.1,1
BA.2.15,2
BA.2.16,4
BA.2.17,54
BA.2.18,52
BA.2.19,1
BA.2.2,518
BA.2.20,4
BA.2.21,1
BA.2.22,5
BA.2.23,39
BA.2.23.1,15
BA.2.24,2
BA.2.26,1
BA.2.27,6
BA.2.28,1
BA.2.29,2
BA.2.3,5936
BA.2.3.1,1
BA.2.3.11,1
BA.2.3.12,12
BA.2.3.13,3
BA.2.3.14,6
BA.2.3.16,207
BA.2.3.17,11
BA.2.3.18,1
BA.2.3.2,150
BA.2.3.20,306
BA.2.3.4,1
BA.2.3.5,2
BA.2.3.6,2
BA.2.3.7,10
BA.2.3.9,13
BA.2.31.1,104
BA.2.32,14
BA.2.33,784
BA.2.34,1
BA.2.36,61
BA.2.37,176
BA.2.38,253
BA.2.38.1,13
BA.2.38.2,8
BA.2.38.3,4
BA.2.38.4,3
BA.2.4,28
BA.2.40,12
BA.2.40.1,30
BA.2.41,7
BA.2.42,1093
BA.2.43,16
BA.2.47,5
BA.2.48,4
BA.2.49,3
BA.2.5,45
BA.2.50,1
BA.2.51,1
BA.2.52,6
BA.2.56,53
BA.2.57,125
BA.2.6,1
BA.2.61,17
BA.2.62,505
BA.2.64,65
BA.2.65,34
BA.2.68,3
BA.2.69,1
BA.2.7,8
BA.2.71,3
BA.2.72,1
BA.2.73,5
BA.2.74,52
BA.2.75,141
BA.2.75.1,144
BA.2.75.10,3
BA.2.75.2,398
BA.2.75.3,38
BA.2.75.4,15
BA.2.75.5,204
BA.2.75.6,18
BA.2.75.7,5
BA.2.75.8,23
BA.2.76,168
BA.2.78,56
BA.2.79,12
BA.2.79.1,1
BA.2.8,2
BA.2.82,64
BA.2.83,1
BA.2.86,15
BA.2.86.1,101
BA.2.86.2,21
BA.2.86.3,14
BA.2.86.4,1
BA.2.9,452
BA.2.9.1,1
BA.2.9.4,2
BA.2.9.5,14
BA.2.9.6,1
BA.2.9.7,1
BA.3,1
