lineage,group
A.2.2,A.2.2/nan
AY.127.3,AY.127.3
AY.24,AY.24/AY.39.1.2/AY.39.1.4
AY.39,AY.39
AY.39.1,AY.39.1
B.1.1.136,B.1.1.136
B.1.1.529,B.1.1.529
B.1.617.2,B.1.617.2
BA.1,BA.1/BA.1.15/BA.1.15.1/BA.1.16/BA.1.17/BA.1.17.1/BA.1.17.2/BA.1.18/BA.1.19/BA.1.20/BA.1.21
BA.1.1,BA.1.1/BA.1.1.1/BA.1.1.14/BA.1.1.15/BA.1.1.18/BA.1.1.2/BA.1.1.7/BA.1.1.9
BA.1.1.13,BA.1.1.13
BA.1.13.1,BA.1.13.1
BA.1.14,BA.1.14
BA.2,BA.2/BA.2.10/BA.2.12/BA.2.15/BA.2.16/BA.2.17/BA.2.19/BA.2.2/BA.2.21/BA.2.22/BA.2.23/BA.2.23.1/BA.2.28/BA.2.29/BA.2.3/BA.2.3.1/BA.2.3.11/BA.2.3.14/BA.2.3.16/BA.2.3.17/BA.2.3.2/BA.2.3.4/BA.2.3.5/BA.2.3.7/BA.2.3.9/BA.2.31.1/BA.2.32/BA.2.33/BA.2.34/BA.2.36/BA.2.37/BA.2.4/BA.2.40/BA.2.42/BA.2.49/BA.2.5/BA.2.50/BA.2.57/BA.2.6/BA.2.61/BA.2.62/BA.2.65/BA.2.7/BA.2.72/BA.2.8/BA.2.9/BA.2.9.5/BA.2.9.7/XAC/XAM/XE/XL/XM/XN/XU
BA.2.1,BA.2.1/BA.2.10.1/BA.2.26/BA.2.27/BA.2.3.12/BA.2.3.18/BA.2.41/BA.2.64
BA.2.10.3,BA.2.10.3
BA.2.12.1,BA.2.12.1/BG.2/BG.3/BG.5
BA.2.12.2,BA.2.12.2
BA.2.13,BA.2.13/BA.2.13.1/BA.2.56/BA.2.9.1
BA.2.18,BA.2.18/BA.2.38/BA.2.40.1
BA.2.20,BA.2.20
BA.2.24,BA.2.24
BA.2.3.13,BA.2.3.13
BA.2.3.20,BA.2.3.20/CM.12/CM.2/CM.4/CM.5/CM.5.1/CM.6/XBJ.1
BA.2.3.6,BA.2.3.6
BA.2.38.1,BA.2.38.1
BA.2.38.2,BA.2.38.2
BA.2.38.3,BA.2.38.3
BA.2.38.4,BA.2.38.4
BA.2.43,BA.2.43
BA.2.47,BA.2.47
BA.2.48,BA.2.48
BA.2.51,BA.2.51/BA.2.71
BA.2.52,BA.2.52
BA.2.68,BA.2.68
BA.2.69,BA.2.69
BA.2.73,BA.2.73
BA.2.74,BA.2.74
BA.2.75,BA.2.75
BA.2.75.1,BA.2.75.1/BA.2.75.3/BL.4/BM.3
BA.2.75.10,BA.2.75.10
BA.2.75.2,BA.2.75.2/BM.1.1/BM.1.1.3/BM.4.1.1/BY.1/CA.3/CA.6/CH.2/XBD
BA.2.75.4,BA.2.75.4
BA.2.75.5,BA.2.75.5/BN.2/BN.5/BN.6
BA.2.75.6,BA.2.75.6/BL.1/BL.1.1/BL.2/BL.2.1
BA.2.75.7,BA.2.75.7/BM.1/BM.4.1
BA.2.75.8,BA.2.75.8
BA.2.76,BA.2.76
BA.2.78,BA.2.78
BA.2.79,BA.2.79
BA.2.79.1,BA.2.79.1
BA.2.82,BA.2.82
BA.2.83,BA.2.83
BA.2.86,BA.2.86/BA.2.86.1/BA.2.86.2/BA.2.86.3/BA.2.86.4/JN.3/JQ.1
BA.2.9.4,BA.2.9.4
BA.2.9.6,BA.2.9.6
BA.3,BA.3
BA.3.1,BA.3.1
