,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen"
0,1,0.31256101884866316,0.5974464208613479
1,2,0.5049292984908473,0.7850971991879754
2,3,0.6293738649445062,0.8628650024739515
3,4,0.7132648184448068,0.9012206189434032
4,5,0.7718082377816161,0.9224626468208288
5,6,0.8138805516714076,0.9351932987991187
6,7,0.8448856841188296,0.9432390695917764
7,8,0.8682347452763204,0.9484955472407931
8,9,0.8861498443468847,0.9519844549833645
9,10,0.9001191700340936,0.9542952591463327
10,11,0.9111641216703452,0.9557876309081001
11,12,0.9200012021238971,0.9566915536964642
12,13,0.9271429605018675,0.9571600244747787
13,14,0.9329625555162239,0.9572983073072354
14,15,0.9377360101521668,0.9571809271827553
15,16,0.9416704480238811,0.9570676658589302
16,17,0.9449233235056782,0.9572742978559774
17,18,0.9476157475420138,0.9572757158954059
18,19,0.9498418703371196,0.9571062603302831
19,20,0.9511962481016806,0.9572228606365367
20,21,0.9492291494864095,0.9572983073072354
21,22,0.9470312313709088,0.9572297337078236
22,23,0.9446092091834078,0.957161073742148
23,24,0.9419679119820518,0.9572836718970037
24,25,0.9391107883807952,0.9572842290084291
25,26,0.9360402881734124,0.9571761793235966
26,27,0.9327581536885095,0.9572496287805533
27,28,0.9292656446107536,0.9572983073072354
28,29,0.9255637130640838,0.9572526878016675
29,30,0.9216531410057476,0.9571212423514848
30,31,0.9175346486869868,0.9569111837748263
31,32,0.9132089806213184,0.9566286831508652
32,33,0.9086769738536098,0.9562790449333893
33,34,0.9039396121363075,0.9558668488051668
34,35,0.8989980687547233,0.9553960652724263
35,36,0.8938537401069986,0.9548701503895475
36,37,0.8885082716714325,0.9542921237945851
37,38,0.8829635776391719,0.9536646333202452
38,39,0.8772218552220766,0.9529900087461386
39,40,0.8712855944413529,0.9522703067213277
40,41,0.8651575840460544,0.9515073484710876
41,42,0.8588409140900306,0.950702751578779
42,43,0.8523389756027022,0.9498579568808501
43,44,0.8456554577167443,0.9489742513138582
44,45,0.838794342559562,0.9480527873947443
45,46,0.8317598981716785,0.9470945998900958
46,47,0.8245566696810602,0.946100620129745
47,48,0.817189468935768,0.945071688339331
48,49,0.8096633627765146,0.944008564301277
49,50,0.8019836601143473,0.9429119366007448
50,51,0.7941558979657586,0.9417824306700466
51,52,0.7861858265871753,0.9406206158097421
52,53,0.7780793938423756,0.9394270113357039
53,54,0.7698427289293642,0.9382020919775704
54,55,0.7614821255872054,0.9369462926342571
55,56,0.7530040248979329,0.9356600125758153
56,57,0.7444149977936831,0.9343436191672723
57,58,0.7357217273744123,0.9329974511786867
58,59,0.7269309911368523,0.9316218217361003
59,60,0.7180496432105878,0.9302170209600366
60,61,0.7090845966922672,0.9287833183314386
61,62,0.7000428061639208,0.9273209648192267
62,63,0.6909312504761462,0.9258301947988218
63,64,0.6817569158715293,0.924311227786879
64,65,0.672526779518105,0.9227642700139913
65,66,0.6632477935169627,0.92118951585415
66,67,0.6539268694422744,0.9195871491272146
67,68,0.6445708634661365,0.9179573442884791
68,69,0.6351865621146765,0.9163002675175593
69,70,0.6257806686959603,0.9146160777172414
70,71,0.6163597904343494,0.9129049274315564
71,72,0.6069304263401756,0.9111669636911713
72,73,0.5974989558379438,0.909402328793175
73,74,0.5880716281707751,0.9076111610214568
74,75,0.5786545525935212,0.9057935953131266
75,76,0.569253689361912,0.9039497638757666
76,77,0.5598748415202982,0.9020797967597386
77,78,0.5505236474860205,0.9001838223892855
78,79,0.541205574424212,0.898261968055734
79,80,0.5319259124029141,0.8963143603757365
80,81,0.5226897693147899,0.894341125717171
81,82,0.5135020665484439,0.8923423905950352
82,83,0.5043675353894086,0.8903182820394246
83,84,0.49529071412824066,0.888268927937476
84,85,0.4862759458508732,0.8861944573509639
85,86,0.47732737688439086,0.8840950008110817
86,87,0.468448955869728,0.8819706905917886
87,88,0.4596444334314034,0.8798216609629828
88,89,0.45091736241332825,0.8776480484246483
89,90,0.44227109864889713,0.875449991923024
90,91,0.43370880223299213,0.8732276330497619
91,92,0.4252334392632249,0.8709811162249592
92,93,0.41684778401760514,0.8687105888648863
93,94,0.4085544215359318,0.8664162015351715
94,95,0.40035575057248285,0.8640981080901486
95,96,0.39225398688801183,0.8617564657990271
96,97,0.3842511668496771,0.8593914354595021
97,98,0.3763491513082361,0.857003181499385
98,99,0.3685496297227041,0.8545918720667952
99,100,0.360854124503617,0.852157679109433
100,101,0.35326399554706533,0.8497007784434137
101,102,0.3457804449327885,0.8472213498121288
102,103,0.3384045217607625,0.8447195769355687
103,104,0.33113712710194054,0.8421956475505255
104,105,0.32397901904003246,0.8396497534420757
105,106,0.31693081778248067,0.8370820904667182
106,107,0.30999301082006836,0.8344928585675372
107,108,0.30316595811586355,0.8318822617817357
108,109,0.2964498973054881,0.8292505082408779
109,110,0.2898449488919519,0.8265978101641603
