,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen"
0,1,0.14559224903535317,0.3230110285830117
1,2,0.25845254760766334,0.4907227062808268
2,3,0.34745043603476433,0.5876823225312358
3,4,0.41867149088041555,0.6479608761317346
4,5,0.4763955060491042,0.687350924009972
5,6,0.5236978579121059,0.7139685167577505
6,7,0.5628308216025595,0.7323313015061337
7,8,0.5954719666494364,0.745119650580269
8,9,0.6228898585950939,0.7540090321269526
9,10,0.646056959127394,0.7600930947493675
10,11,0.665728022868834,0.7641120439989176
11,12,0.6824954755207888,0.7665823409459772
12,13,0.6968291452146187,0.7678736524441833
13,14,0.7091051757651831,0.7682562871807449
14,15,0.7196273434215525,0.7679314480410935
15,16,0.7286429628843842,0.767618465966762
16,17,0.7363548885959499,0.7681898036887049
17,18,0.7429306637746547,0.7681937297535134
18,19,0.7485095624259125,0.7677250659908145
19,20,0.7519705547938947,0.7680474395287097
20,21,0.7469606681129257,0.7682562871807449
21,22,0.741487529909308,0.7680664569219989
22,23,0.7355993800700651,0.7678765532832917
23,24,0.7293381359410864,0.7682157585069
24,25,0.7227406235960288,0.7682173011329064
25,26,0.7158395236107986,0.7679183189530465
26,27,0.708664103751925,0.7681215148119892
27,28,0.7012407912401547,0.7682562871807449
28,29,0.6935936232747653,0.7681299816233398
29,30,0.6857446044966756,0.7677664611985334
30,31,0.6777139928253042,0.7671867870756144
31,32,0.6695205298100111,0.7664096214566716
32,33,0.6611816277327015,0.7654515633363225
33,34,0.6527135227955115,0.7643274296193941
34,35,0.6441314015537828,0.7630504915587604
35,36,0.635449506116047,0.7616326744837624
36,37,0.6266812223905374,0.7600847272295718
37,38,0.6178391547110735,0.7584163664488651
38,39,0.60893518945039,0.7566364000137211
39,40,0.5999805496717576,0.7547528329405303
40,41,0.5909858424397106,0.7527729586504619
41,42,0.5819611000776053,0.7507034378793319
42,43,0.5729158164008681,0.7485503671479381
43,44,0.5638589787528726,0.7463193383772035
44,45,0.5547990965123273,0.7440154909663449
45,46,0.545744226616852,0.7416435574346598
46,47,0.5367019965493626,0.7392079035489023
47,48,0.5276796251561241,0.7367125637110596
48,49,0.5186839416032922,0.734161272259713
49,50,0.5097214027289731,0.7315574912372775
50,51,0.5007981090075753,0.7289044350915042
51,52,0.49191981931043594,0.7262050927095742
52,53,0.4830919646197549,0.7234622471245236
53,54,0.4743196608305331,0.7206784931845333
54,55,0.46560772075652235,0.7178562534342366
55,56,0.4569606654404075,0.7149977924222711
56,57,0.44838273485499425,0.7121052296197634
57,58,0.43987789807062583,0.7091805511093949
58,59,0.4314498629540332,0.7062256201834034
59,60,0.42310208545512595,0.7032421869707508
60,61,0.41483777853056003,0.7002318971981902
61,62,0.40665992074621615,0.6971963001767267
62,63,0.398571264594769,0.6941368560935841
63,64,0.390574344559274,0.6910549426800305
64,65,0.382671484949054,0.687951861316986
65,66,0.37486480753003704,0.6848288426330651
66,67,0.3671562389680775,0.6816870516434193
67,68,0.35954751810056207,0.6785275924722767
68,69,0.35204020304881045,0.6753515126973334
69,70,0.34463567818129004,0.6721598073500179
70,71,0.33733516093554416,0.6689534226020276
71,72,0.3301397085048655,0.6657332591653825
72,73,0.32305022439416786,0.6625001754304591
73,74,0.31606746484815895,0.6592549903640257
74,75,0.3091920451537916,0.6559984861871497
75,76,0.30242444581803174,0.6527314108509383
76,77,0.2957650186212253,0.6494544803263961
77,78,0.28921399254574853,0.64616838072317
78,79,0.28277147957915516,0.6428737702506324
79,80,0.2764374803907048,0.6395712810335568
80,81,0.2702118898799205,0.6362615207935649
81,82,0.26409450259568545,0.6329450744065881
82,83,0.25808501802434225,0.6296225053457083
83,84,0.2521830457452575,0.6262943570179775
84,85,0.24638811045240405,0.6229611540031175
85,86,0.24069965684061734,0.6196234032013637
86,87,0.23511705435535912,0.6162815948971441
87,88,0.22963960180500298,0.6129362037447672
88,89,0.22426653183487444,0.6095876896818118
89,90,0.2189970152625229,0.6062364987754806
90,91,0.21383016527393617,0.6028830640067855
91,92,0.20876504148067176,0.5995278059970661
92,93,0.20380065383814172,0.5961711336810146
93,94,0.1989359664255228,0.592813444930069
94,95,0.19416990108804977,0.5894551271297643
95,96,0.18950134094266347,0.5860965577143629
96,97,0.1849291337482456,0.5827381046618558
97,98,0.18045209514188854,0.5793801269521979
98,99,0.17606901174286138,0.5760229749914455
99,100,0.17177864412614474,0.5726669910042692
100,101,0.16757972966757906,0.5693125093971421
101,102,0.16347098526285975,0.5659598570943478
