condition,group
1-57,D1
2-15,C
ADG-2,F3
B38,A
BD-236,A
BD-254,C
BD-319,B
BD-362,C
BD-368,C
BD-369,A
BD-397,C
BD-403,C
BD-417,B
BD-449,F3
BD-467,D2
BD-494,A
BD-498,A
BD-500,A
BD-503,A
BD-504,A
BD-508,A
BD-536,C
BD-566,B
BD-598,A
BD-599,A
BD-605,A
BD-612,A
BD-614,A
BD-616,A
BD-618,A
BD-619,A
BD-623,B
BD-643,D1
BD-692,E2.2
BD-693,A
BD-694,A
BD-702,F2
BD-708,F1
BD-713,E2.1
BD-715,A
BD-739,A
BD-744,E2.1
BD-748,E2.2
BD-790,C
BD-791,C
BD-796,E2.2
BD-801,F2
BD-804,D1
BD-805,B
BD-812,D2
BD-815,E3
BD-817,D2
BD-822,A
BD-824,D1
BD-833,B
BD-836,B
BD-864,D1
BD-870,C
BD-899,F2
BD-900,C
BD-907,E1
BD-913,E2.2
BD-914,E2.1
BD-915,A
BD-918,D1
BD-922,B
BD-923,E2.1
BD55-1004,F1
BD55-1009,D1
BD55-1027,E3
BD55-1029,E2.1
BD55-1038,F1
BD55-1039,D1
BD55-1041,E3
BD55-1049,C
BD55-1051,C
BD55-1061,A
BD55-1064,F1
BD55-1065,C
BD55-1070,F1
BD55-1073,E2.1
BD55-1075,F2
BD55-1078,C
BD55-1084,C
BD55-1091,E1
BD55-1092,A
BD55-1096,F2
BD55-1104,D2
BD55-1109,D2
BD55-1114,E1
BD55-1117,F2
BD55-1128,F1
BD55-1129,F2
BD55-1132,F1
BD55-1136,D2
BD55-1140,E3
BD55-1146,E3
BD55-1171,C
BD55-1180,B
BD55-1192,C
BD55-1199,E3
BD55-1208,A
BD55-1223,C
BD55-1225,F2
BD55-1226,F1
BD55-1232,E1
BD55-1233,F2
BD55-1237,F2
BD55-1239,F2
BD55-1241,E3
BD55-1242,F1
BD55-1244,F1
BD55-1245,E1
BD55-1249,A
BD55-1251,E2.2
BD55-1256,C
BD55-1263,B
BD55-1266,E2.2
BD55-1268,D1
BD55-1273,F2
BD55-1274,E2.1
BD55-1275,E2.2
BD55-1294,E1
BD55-1297,F1
BD55-1307,E2.2
BD55-1312,E2.1
BD55-1315,A
BD55-1323,C
BD55-1334,B
BD55-1338,F1
BD55-1339,E1
BD55-1341,F1
BD55-1343,F2
BD55-1346,A
BD55-1354,D1
BD55-1374,A
BD55-1398,F1
BD55-1403,E1
BD55-1405,E3
BD55-1411,F2
BD55-1412,F2
BD55-1416,F1
BD55-1421,B
BD55-1429,F1
BD55-1432,E2.1
BD55-1435,C
BD55-1442,E2.2
BD55-1450,F3
BD55-1451,A
BD55-1453,E3
BD55-1456,A
BD55-1458,E3
BD55-1472,E2.2
BD55-1486,E3
BD55-1502,A
BD55-1503,A
BD55-1508,B
BD55-1558,C
BD55-1570,E3
BD55-1575,A
BD55-1576,C
BD55-1579,C
BD55-1694,C
BD55-1706,D1
BD55-1763,A
BD55-1779,D1
BD55-1789,F3
BD55-1809,A
BD55-1811,E3
BD55-1831,E2.2
BD55-1868,F2
BD55-1957,E2.2
BD55-1962,D1
BD55-1970,A
BD55-2314,E3
BD55-2413,F1
BD55-2532,E1
BD55-2696,F2
BD55-300,A
