,date,Spike. AY.101,Spike. AY.122,Spike. B,Spike. BA.1,Spike. BA.1.1,Spike. BA.1.1.1,Spike. BA.1.1.10,Spike. BA.1.1.14,Spike. BA.1.1.15,Spike. BA.1.1.2,Spike. BA.1.13,Spike. BA.1.14.1,Spike. BA.1.14.2,Spike. BA.1.5,Spike. BA.2.10.2,Spike. BA.2.12.1,Spike. BA.2.13,Spike. BA.2.14,Spike. BA.2.22,Spike. BA.2.27,Spike. BA.2.3.6,Spike. BA.2.48,Spike. BA.2.56,Spike. BA.2.65,Spike. BA.2.75.1,Spike. BA.2.75.2,Spike. BA.2.75.5,Spike. BA.2.86.1,Spike. BA.2,Spike. BA.4.1,Spike. BA.4.1.8,Spike. BA.4,Spike. BA.5.1.14,Spike. BA.5.1.27,Spike. BA.5.11,Spike. BA.5.2.3,Spike. BA.5,Spike. BE.1.4,Spike. BE.10,Spike. BE.5,Spike. BF.12,Spike. BF.33,Spike. BN.1.5,Spike. BN.1,Spike. BN.3.1,Spike. BQ.1.1.10,Spike. BQ.1.1.11,Spike. BQ.1.1.15,Spike. BQ.1.1.17,Spike. BQ.1.1.22,Spike. BQ.1.1.23,Spike. BQ.1.1.49,Spike. BQ.1.1,Spike. BQ.1.10.1,Spike. BQ.1.5,Spike. BQ.1,Spike. CH.1.1.1,Spike. CK.1.2,Spike. CK.3,Spike. CL.1,Spike. EF.1.1.1,Spike. EG.1,Spike. EG.4,Spike. EG.5.1.2,Spike. EG.5.1.4,Spike. EG.5.1.6,Spike. EG.5.1,Spike. EG.5.2,Spike. EG.6,Spike. FE.1,Spike. FE.1.1,Spike. FE.1.1.1,Spike. FH.1,Spike. FL.1.5.1,Spike. FL.13.3,Spike. FL.4,Spike. FU.1,Spike. GJ.1.2,Spike. GJ.4,Spike. GK.1.4,Spike. GK.1,Spike. HA.2,Spike. HK.3,Spike. HV.1,Spike. JD.1.1,Spike. JD.1.1.1,Spike. JD.1.2,Spike. JD.2,Spike. JK.1,Spike. JN.1,Spike. P.1,Spike. XBB,Spike. XBB.1,Spike. XBB.1.15,Spike. XBB.1.16.11,Spike. XBB.1.16.15,Spike. XBB.1.16.6,Spike. XBB.1.18,Spike. XBB.1.5.1,Spike. XBB.1.5.103,Spike. XBB.1.5.17,Spike. XBB.1.5.18,Spike. XBB.1.5.26,Spike. XBB.1.5.3,Spike. XBB.1.5.31,Spike. XBB.1.5.36,Spike. XBB.1.5.51,Spike. XBB.1.5.63,Spike. XBB.1.5.76,Spike. XBB.1.5.86,Spike. XBB.1.9,Spike. XBB.1.9.1,Spike. XBB.2.3,Spike. XBB.2.3.11,Spike. XBB.2.3.13,Spike. XBB.2.6,Spike. XBL.3,Spike. nan,Wuhan-Hu-1
550,2023-07-08,0.0,0.0,0.0,0.18018018075734402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7207207230293761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7207207230293761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.927927922998812,0.18018018075734402,0.0,27.387387384143313,0.0,1.621621616707988,0.0,0.0,6.306306306290824,4.144144147310805,0.0,0.0,0.0,0.90090090378672,0.0,0.0,0.0,0.0,1.4414414460587521,25.045045044405956,0.0,0.0,0.0,0.0,0.0,11.171171166522896,1.621621616707988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4414414460587521,0.0,1.4414414460587521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3423423397373644,0.0,0.18018018075734402,3.783783785796116,1.4414414460587521,0.0,0.0,0.0,0.0,0.0
551,2023-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771929850860264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771929850860264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.894736845598799,0.0,0.0,28.07017544205109,0.0,0.8771929850860264,0.0,0.0,5.26315789034072,2.63157894517036,0.0,0.0,0.0,0.8771929850860264,0.0,0.0,0.0,0.0,1.7543859600843335,28.07017544205109,0.0,0.0,0.0,0.0,0.0,11.403508775855183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7543859600843335,0.0,1.7543859600843335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63157894517036,0.0,0.0,3.5087719302563865,1.7543859600843335,0.0,0.0,0.0,0.0,0.0
552,2023-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11135857870823436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7795100206903799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7795100206903799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.795100227081972,0.0,0.11135857870823436,26.503340753918348,0.0,1.4476614727616122,0.0,0.0,5.56792873362998,2.449888640779374,0.0,0.11135857870823436,0.4454342946547637,0.7795100206903799,0.0,0.0,0.0,0.11135857870823436,1.5590200413807598,28.0623608053882,0.0,0.0,0.0,0.0,0.0,12.360801782605103,0.3340757260356162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6703786200889943,0.0,1.5590200413807598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.449888640779374,0.0,0.0,3.229398661469754,1.6703786200889943,0.0,0.0,0.0,0.11135857870823436,0.0
553,2023-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22624434728541692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6787330317657531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6787330317657531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.692307696708702,0.0,0.22624434728541692,24.886877828047446,0.0,2.0361990952972593,0.0,0.0,5.882352938606361,2.262443442582676,0.0,0.22624434728541692,0.90497737905117,0.6787330317657531,0.0,0.0,0.0,0.22624434728541692,1.3574660635315061,28.054298639590797,0.0,0.0,0.0,0.0,0.0,13.348416288029643,0.6787330317657531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.583710410816923,0.0,1.3574660635315061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.262443442582676,0.0,0.0,2.941176474348429,1.583710410816923,0.0,0.0,0.0,0.22624434728541692,0.0
554,2023-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3448275870125128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747126416568701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747126416568701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.586206894091374,0.0,0.3448275870125128,23.218390801654788,0.0,2.6436781637319466,0.0,0.0,6.206896556133277,2.068965522075077,0.0,0.3448275870125128,1.3793103480500513,0.5747126416568701,0.0,0.0,0.0,0.3448275870125128,1.1494252833137402,28.04597700973801,0.0,0.0,0.0,0.0,0.0,14.367816091881519,1.0344827610375384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4942528703262528,0.0,1.1494252833137402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.068965522075077,0.0,0.0,2.6436781637319466,1.4942528703262528,0.0,0.0,0.0,0.3448275870125128,0.0
555,2023-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4672897166325617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4672897166325617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4672897166325617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.476635516588276,0.0,0.4672897166325617,21.495327106406247,0.0,3.2710280366148474,0.0,0.0,6.542056073229695,1.8691588766237048,0.0,0.4672897166325617,1.8691588766237048,0.4672897166325617,0.0,0.0,0.0,0.4672897166325617,0.9345794433585812,28.037383179635945,0.0,0.0,0.0,0.0,0.0,15.420560749809114,1.401869159991143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.401869159991143,0.0,0.9345794433585812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8691588766237048,0.0,0.0,2.3364485932562666,1.401869159991143,0.0,0.0,0.0,0.4672897166325617,0.0
556,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5938242238706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3562945403793704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3562945403793704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.363420430508573,0.0,0.5938242238706055,19.714964365758263,0.0,3.9192399037930272,0.0,0.0,6.888361043336079,1.662707834913705,0.0,0.5938242238706055,2.375296915672446,0.3562945403793704,0.0,0.0,0.0,0.5938242238706055,0.712589070663729,28.02850356051681,0.0,0.0,0.0,0.0,0.0,16.508313542723975,1.7814726817068285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3064133046293465,0.0,0.712589070663729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.662707834913705,0.0,0.0,2.0190023752930752,1.3064133046293465,0.0,0.0,0.0,0.5938242238706055,0.0
557,2023-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7246376818830116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24154589396100387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24154589396100387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.246376808733497,0.0,0.7246376818830116,17.87439613292105,0.0,4.589371985259073,0.0,0.0,7.246376808733497,1.4492753637660232,0.0,0.7246376818830116,2.8985507275320463,0.24154589396100387,0.0,0.0,0.0,0.7246376818830116,0.48309178792200774,28.01932366918659,0.0,0.0,0.0,0.0,0.0,17.632850238960046,2.173913045649035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2077294698050194,0.0,0.48309178792200774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4492753637660232,0.0,0.0,1.690821257727027,1.2077294698050194,0.0,0.0,0.0,0.7246376818830116,0.0
558,2023-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859950861452824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1228501216220777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1228501216220777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.125307124768467,0.0,0.859950861452824,15.97051597244258,0.0,5.282555280240741,0.0,0.0,7.616707621355058,1.2285012263190571,0.0,0.859950861452824,3.439803435713016,0.1228501216220777,0.0,0.0,0.0,0.859950861452824,0.2457002432441554,28.00982801258555,0.0,0.0,0.0,0.0,0.0,18.79606880004521,2.5798525843584716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1056511046969792,0.0,0.2457002432441554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2285012263190571,0.0,0.0,1.3513513479411348,1.1056511046969792,0.0,0.0,0.0,0.859950861452824,0.0
559,2023-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000001009997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000706998,0.0,1.0000000001009997,14.000000001413996,0.0,6.000000000605998,0.0,0.0,8.000000000807997,1.0000000001009997,0.0,1.0000000001009997,4.000000000403999,0.0,0.0,0.0,0.0,1.0000000001009997,0.0,28.000000002827992,0.0,0.0,0.0,0.0,0.0,20.000000002019995,3.000000000302999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000001009997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000001009997,0.0,0.0,1.0000000001009997,1.0000000001009997,0.0,0.0,0.0,1.0000000001009997,0.0
