,date,Spike. AY.32,Spike. AY.38,Spike. AY.45,Spike. B.1,Spike. B.1.1.448,Spike. B.1.1.529,Spike. B.1.351,Spike. BA.1.1,Spike. BA.1.13,Spike. BA.1.14,Spike. BA.1.17.2,Spike. BA.1.19,Spike. BA.1.21,Spike. BA.1,Spike. BA.2.1,Spike. BA.2.10,Spike. BA.2.12.1,Spike. BA.2.26,Spike. BA.2.29,Spike. BA.2.38.2,Spike. BA.2.50,Spike. BA.2.76,Spike. BA.2.86.1,Spike. BA.2.86,Spike. BA.2,Spike. BA.3,Spike. BA.4.1.10,Spike. BA.4.1.8,Spike. BA.4.1.9,Spike. BA.4.5,Spike. BA.4.6.5,Spike. BA.4.7,Spike. BA.4,Spike. BA.5.1.12,Spike. BA.5.10,Spike. BA.5.2.20,Spike. BA.5.2.37,Spike. BA.5.3,Spike. BA.5.9,Spike. BE.1.1,Spike. BE.10,Spike. BE.13,Spike. BE.6,Spike. BF.4,Spike. BG.3,Spike. BN.1,Spike. BN.1.4,Spike. BQ.1.1.10,Spike. BQ.1.1.15,Spike. BQ.1.1.28,Spike. BQ.1.1.4,Spike. BQ.1.1.74,Spike. BQ.1.1,Spike. BQ.1.10,Spike. BQ.1.24,Spike. CH.1.1.10,Spike. CH.1.1.11,Spike. CH.1.1,Spike. CL.1,Spike. CM.4,Spike. DN.1.1,Spike. DT.2,Spike. EG.1,Spike. EG.1.4,Spike. EG.2,Spike. EG.4,Spike. EG.5.1,Spike. EG.5.1.1,Spike. EG.5.1.3,Spike. EG.5.1.6,Spike. EW.1,Spike. EW.2,Spike. EW.3,Spike. FL.1.5.1,Spike. FL.12,Spike. FL.13,Spike. FL.15.1.1,Spike. FL.18,Spike. FL.35,Spike. FL.9,Spike. FN.1,Spike. FU.2.1,Spike. GE.1,Spike. GE.1.2,Spike. GP.2,Spike. HK.3,Spike. HV.1,Spike. JB.1,Spike. JB.2,Spike. JB.2.1,Spike. JP.1,Spike. JQ.1,Spike. XAY,Spike. XAY.1,Spike. XAY.1.1,Spike. XAY.2,Spike. XBB.1,Spike. XBB.1.16,Spike. XBB.1.16.1,Spike. XBB.1.16.11,Spike. XBB.1.17.1,Spike. XBB.1.41,Spike. XBB.1.41.1,Spike. XBB.1.5,Spike. XBB.1.5.15,Spike. XBB.1.5.16,Spike. XBB.1.5.17,Spike. XBB.1.5.40,Spike. XBB.1.5.53,Spike. XBB.1.5.56,Spike. XBB.1.5.62,Spike. XBB.1.9,Spike. XBB.2,Spike. XBB.3,Spike. XBB.3.2,Spike. XBB.3.5,Spike. XBB,Spike. XBF.5,Spike. XCH.1,Spike. XT,Wuhan-Hu-1
0,2022-01-03,0.0,0.0,0.0,0.0,0.51546392,0.0,0.0,8.7628866,2.06185567,1.54639175,5.67010309,1.54639175,5.15463918,51.54639175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.19587629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-01-04,0.0,0.0,0.0,0.0,1.0050251300010047,1.0050251300010047,0.0,10.050251260010047,0.5025125600005024,0.0,5.025125630005023,1.0050251300010047,3.5175879400035166,53.266331660053254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.61809045002361,1.0050251300010047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-01-05,0.0,0.0,0.6535947700006535,0.0,0.6535947700006535,0.0,0.0,12.418300650012416,1.307189540001307,0.6535947700006535,7.189542480007188,0.6535947700006535,2.6143790900026143,43.13725490004313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176471002941,1.307189540001307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-01-06,0.0,0.0,0.0,0.0,1.4925373100029855,0.0,0.0,14.179104480028363,0.0,0.0,5.223880600010449,2.2388059700044782,5.970149250011942,42.53731343008509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.358208960056725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.8474576300000002,8.474576270000002,0.0,0.8474576300000002,8.474576270000002,0.0,0.0,48.305084750000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.203389830000006,0.8474576300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-01-08,0.0,0.0,0.0,0.0,0.0,1.7241379300017246,0.0,12.06896552001207,0.0,0.0,6.896551720006898,0.0,6.896551720006898,37.93103448003794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.586206900027587,6.896551720006898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2022-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,2.5,0.0,2.5,0.0,7.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022-01-10,0.0,0.0,0.0,0.0,0.6024096433746478,0.0,0.0,9.03614458019803,1.2048192766890546,0.6024096433746478,5.421686750130866,0.6024096433746478,1.8072289200637022,45.18072289092991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.33734940072842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6024096433746478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6024096433746478,0.0
8,2022-01-11,0.0,0.0,0.9615384600009615,0.0,0.0,3.8461538500038466,0.0,6.7307692300067306,0.9615384600009615,1.923076920001923,4.807692310004807,0.0,1.923076920001923,50.96153846005096,0.9615384600009615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.000000000025004,0.9615384600009615,0.0,0.0,0.0,0.0,0.0,0.0,0.9615384600009615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-01-12,0.0,0.0,0.7575757609103766,0.0,0.7575757609103766,0.0,0.0,11.363636362898072,1.5151515116692378,0.7575757609103766,5.303030306069605,3.030303033489991,1.5151515116692378,41.666666667343435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333793536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
