t,date,smoothed_phi
3,2022-01-04,1027.5120150281937
4,2022-01-05,1036.2014702939632
5,2022-01-06,1048.0031473959007
6,2022-01-07,1063.718676108023
7,2022-01-08,1084.2220378994423
8,2022-01-09,1110.3903666475703
9,2022-01-10,1142.9905413367806
10,2022-01-11,1182.524177590839
11,2022-01-12,1229.0555709463338
12,2022-01-13,1282.0755095984007
13,2022-01-14,1340.4727464379484
14,2022-01-15,1402.6711300221
15,2022-01-16,1466.932779057547
16,2022-01-17,1531.7487367064837
17,2022-01-18,1596.1887225957225
18,2022-01-19,1660.0978540563196
19,2022-01-20,1724.0973677179027
20,2022-01-21,1789.4179933374774
21,2022-01-22,1857.6279218603058
22,2022-01-23,1930.3095005164273
23,2022-01-24,2008.7153068943335
24,2022-01-25,2093.4237141460408
25,2022-01-26,2184.030772250091
26,2022-01-27,2278.951328586404
27,2022-01-28,2375.426739892152
28,2022-01-29,2469.8085989012693
29,2022-01-30,2558.0921179015504
30,2022-01-31,2636.552135081171
31,2022-02-01,2702.274090658556
32,2022-02-02,2753.425282840939
33,2022-02-03,2789.2442881815423
34,2022-02-04,2809.848365330832
35,2022-02-05,2816.0042154145945
36,2022-02-06,2808.97435994658
37,2022-02-07,2790.475995362598
38,2022-02-08,2762.709287270952
39,2022-02-09,2728.3568254508655
40,2022-02-10,2690.452114896365
41,2022-02-11,2652.0777053666034
42,2022-02-12,2615.9582153759898
43,2022-02-13,2584.0907519547263
44,2022-02-14,2557.5440221904632
45,2022-02-15,2536.4683183059847
46,2022-02-16,2520.2641058580266
47,2022-02-17,2507.8182643388704
48,2022-02-18,2497.737029345163
49,2022-02-19,2488.5472564593497
50,2022-02-20,2478.8689906331156
51,2022-02-21,2467.5703092616877
52,2022-02-22,2453.905184492899
53,2022-02-23,2437.618259042274
54,2022-02-24,2418.9875105511956
55,2022-02-25,2398.7742128371347
56,2022-02-26,2378.064277713233
57,2022-02-27,2358.016506038358
58,2022-02-28,2339.5715313899573
59,2022-03-01,2323.1982341361963
60,2022-03-02,2308.7420716263873
61,2022-03-03,2295.395499000753
62,2022-03-04,2281.763532141831
63,2022-03-05,2265.9776969759096
64,2022-03-06,2245.825822219467
65,2022-03-07,2218.8967242520625
66,2022-03-08,2182.7647283731794
67,2022-03-09,2135.242544906573
68,2022-03-10,2074.7054347646963
69,2022-03-11,2000.4398050390864
70,2022-03-12,1912.9167767262436
71,2022-03-13,1813.8719273756212
72,2022-03-14,1706.1164327279982
73,2022-03-15,1593.1045391791301
74,2022-03-16,1478.3835081840334
75,2022-03-17,1365.0917692527605
76,2022-03-18,1255.6301981620177
77,2022-03-19,1151.5478001987626
78,2022-03-20,1053.6116748715074
79,2022-03-21,962.000544802607
80,2022-03-22,876.5632924964436
81,2022-03-23,797.0929392798361
82,2022-03-24,723.5627764046467
83,2022-03-25,656.2584734845648
84,2022-03-26,595.7467757640511
85,2022-03-27,542.6772825867915
86,2022-03-28,497.50340593038777
87,2022-03-29,460.2617354177109
88,2022-03-30,430.5096795572061
89,2022-03-31,407.4204582835982
90,2022-04-01,389.9573823807152
91,2022-04-02,377.0409533501388
92,2022-04-03,367.6601173763239
93,2022-04-04,360.92031569942844
94,2022-04-05,356.04448153262365
95,2022-04-06,352.35049126591286
96,2022-04-07,349.22840722749737
97,2022-04-08,346.13724832053316
98,2022-04-09,342.6312920797143
99,2022-04-10,338.4069738318699
100,2022-04-11,333.3413397220006
101,2022-04-12,327.49158645662243
102,2022-04-13,321.05122428295965
103,2022-04-14,314.2901139905458
104,2022-04-15,307.5132263258415
105,2022-04-16,301.0541362100997
106,2022-04-17,295.29478802160867
107,2022-04-18,290.688524942637
108,2022-04-19,287.76093560020865
109,2022-04-20,287.0723056789012
110,2022-04-21,289.1476936888241
111,2022-04-22,294.40893105410896
112,2022-04-23,303.15485753848185
113,2022-04-24,315.6123155742233
114,2022-04-25,332.03342883436045
115,2022-04-26,352.7823445352394
116,2022-04-27,378.3575384736982
117,2022-04-28,409.3204224766
118,2022-04-29,446.1272568732352
119,2022-04-30,488.88752151677323
120,2022-05-01,537.1069125901502
121,2022-05-02,589.5119418956773
122,2022-05-03,644.0633574822591
123,2022-05-04,698.2092493353305
124,2022-05-05,749.3138956893295
125,2022-05-06,795.101564686559
126,2022-05-07,833.9562906193887
127,2022-05-08,865.0141664341568
128,2022-05-09,888.0895079214658
129,2022-05-10,903.5202443876844
130,2022-05-11,912.001331752632
131,2022-05-12,914.4388770898937
132,2022-05-13,911.8332742773337
133,2022-05-14,905.1923657312254
134,2022-05-15,895.477103506571
135,2022-05-16,883.5843330447888
136,2022-05-17,870.3707743068695
137,2022-05-18,856.7177307407281
138,2022-05-19,843.6250563674225
139,2022-05-20,832.3024963467396
140,2022-05-21,824.2005826664029
141,2022-05-22,820.9135678477419
142,2022-05-23,823.9289123553992
143,2022-05-24,834.2977132725173
144,2022-05-25,852.3855502178671
145,2022-05-26,877.8312079678911
146,2022-05-27,909.6997431396697
147,2022-05-28,946.7022971206133
148,2022-05-29,987.3629000524195
149,2022-05-30,1030.0976177785565
150,2022-05-31,1073.240424382655
151,2022-06-01,1115.0643282676074
152,2022-06-02,1153.8228522826105
153,2022-06-03,1187.807665339345
154,2022-06-04,1215.4042881517994
155,2022-06-05,1235.1344611572335
156,2022-06-06,1245.6920372543755
157,2022-06-07,1245.9934830638203
158,2022-06-08,1235.2618675274462
159,2022-06-09,1213.1429789909007
160,2022-06-10,1179.8246298594215
161,2022-06-11,1136.1133701959402
162,2022-06-12,1083.4315536954923
163,2022-06-13,1023.7313526621037
164,2022-06-14,959.3612144479947
165,2022-06-15,892.9377259596749
166,2022-06-16,827.2583390176345
167,2022-06-17,765.2481525185558
168,2022-06-18,709.8944916591222
169,2022-06-19,664.1146630418282
170,2022-06-20,630.5367574863631
171,2022-06-21,611.2337958618724
172,2022-06-22,607.4961035920087
173,2022-06-23,619.718238650579
174,2022-06-24,647.4183919782149
175,2022-06-25,689.3456121506372
176,2022-06-26,743.6098406950678
177,2022-06-27,807.7982149989505
178,2022-06-28,879.0866326695717
179,2022-06-29,954.3801123505655
180,2022-06-30,1030.5029506497563
181,2022-07-01,1104.422953075919
182,2022-07-02,1173.462459518238
183,2022-07-03,1235.4461728423214
184,2022-07-04,1288.7633664306802
185,2022-07-05,1332.3605177758473
186,2022-07-06,1365.705827678557
187,2022-07-07,1388.7661489793486
188,2022-07-08,1402.0112441933907
189,2022-07-09,1406.4235574515938
190,2022-07-10,1403.464872137482
191,2022-07-11,1394.9551288814596
192,2022-07-12,1382.85875354671
193,2022-07-13,1369.0281620866583
194,2022-07-14,1354.984637853317
195,2022-07-15,1341.8019800761713
196,2022-07-16,1330.1125523888045
197,2022-07-17,1320.2120133092578
198,2022-07-18,1312.219500883823
199,2022-07-19,1306.2526711339458
200,2022-07-20,1302.5887227018713
201,2022-07-21,1301.7935829600372
202,2022-07-22,1304.8091112191053
203,2022-07-23,1312.9921320275262
204,2022-07-24,1328.0963346029846
205,2022-07-25,1352.1739851091093
206,2022-07-26,1387.3505275982552
207,2022-07-27,1435.4096316993314
208,2022-07-28,1497.1596829284467
209,2022-07-29,1571.6816611097888
210,2022-07-30,1655.7707581395416
211,2022-07-31,1744.0220893379883
212,2022-08-01,1829.820182193189
213,2022-08-02,1906.9399514673987
214,2022-08-03,1970.9889569528432
215,2022-08-04,2020.0215035096426
216,2022-08-05,2054.241270502177
217,2022-08-06,2075.204632683054
218,2022-08-07,2085.0053350024527
219,2022-08-08,2085.7062048815524
220,2022-08-09,2079.0585512678235
221,2022-08-10,2066.4359170385274
222,2022-08-11,2048.886983741255
223,2022-08-12,2027.2303611309999
224,2022-08-13,2002.1407803556353
225,2022-08-14,1974.2031616514423
226,2022-08-15,1943.9354722225544
227,2022-08-16,1911.796833389802
228,2022-08-17,1878.1974343233856
229,2022-08-18,1843.513409506601
230,2022-08-19,1808.094219563202
